Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,1329.55,1346.85,1281.1,1301.9,4965,EQ,714,6.95,3401
2026-04-21,1310.0,1410.0,1287.15,1388.05,14954,EQ,1338,11.18,11137
2026-04-22,1399.0,1399.0,1341.05,1355.15,3250,EQ,507,6.41,2074
2026-04-23,1341.0,1359.65,1261.3,1291.8,8436,EQ,1210,6.97,4874
2026-04-24,1300.05,1333.8,1282.65,1322.35,4115,EQ,731,5.63,2443
2026-04-27,1323.05,1362.3,1293.15,1298.85,4597,EQ,553,8.31,3573
2026-04-28,1312.55,1323.4,1301.0,1310.6,2074,EQ,287,7.23,1524
2026-04-29,1319.0,1319.0,1237.8,1264.7,16393,EQ,2318,7.07,9483
2026-04-30,1258.4,1261.25,1166.5,1199.3,16417,EQ,2786,5.89,8716
2026-05-04,1203.3,1267.2,1203.3,1258.5,3855,EQ,937,4.11,2670
2026-05-05,1259.8,1294.1,1220.1,1283.0,7486,EQ,780,9.6,6109
2026-05-06,1296.7,1325.0,1269.0,1318.0,10341,EQ,1207,8.57,8129
2026-05-07,1308.7,1319.8,1281.0,1299.6,19427,EQ,694,27.99,17347
2026-05-08,1308.3,1308.3,1261.6,1294.1,6570,EQ,352,18.66,5811
2026-05-11,1324.9,1324.9,1240.0,1249.4,7584,EQ,737,10.29,5361
2026-05-12,1269.8,1290.0,1228.2,1234.2,6246,EQ,572,10.92,4135
2026-05-13,1221.3,1316.0,1221.3,1290.8,12071,EQ,770,15.68,8538
2026-05-14,1340.0,1376.9,1340.0,1370.6,35509,EQ,1818,19.53,28573
2026-05-15,1370.8,1424.7,1346.1,1371.7,6157,EQ,780,7.89,4366
2026-05-18,1373.6,1373.6,1273.9,1295.3,6197,EQ,1183,5.24,3080
2026-05-19,1295.3,1341.8,1250.0,1269.6,7336,EQ,1133,6.47,4141
2026-05-20,1282.7,1282.7,1231.1,1263.0,3885,EQ,751,5.17,2234
2026-05-21,1245.8,1291.2,1176.1,1201.8,15062,EQ,2204,6.83,7669
2026-05-22,1210.1,1262.2,1190.0,1206.1,8298,EQ,1152,7.2,5633
2026-05-25,1218.9,1258.9,1203.1,1236.2,3584,EQ,729,4.92,2222
2026-05-26,1250.0,1250.0,1182.0,1198.1,21896,EQ,1991,11.0,10312
2026-05-27,1202.0,1235.6,1197.1,1221.7,8633,EQ,857,10.07,6080
2026-05-29,1265.0,1273.5,1223.9,1241.2,7362,EQ,893,8.24,4786
2026-06-01,1172.1,1245.9,1089.1,1102.8,37258,EQ,4552,8.18,21917
2026-06-02,1085.0,1136.6,1085.0,1113.5,19324,EQ,1326,14.57,15382
2026-06-03,1123.9,1149.0,1117.6,1138.9,12025,EQ,756,15.91,9854
2026-06-04,1141.2,1148.9,1110.6,1126.9,4876,EQ,748,6.52,3392
2026-06-05,1140.1,1149.0,1110.0,1120.6,4361,EQ,545,8.0,2840
2026-06-08,1112.4,1205.8,1100.0,1154.4,15917,EQ,2291,6.95,7916
2026-06-09,1154.4,1219.1,1147.0,1201.5,23670,EQ,2414,9.81,17511
2026-06-10,1228.0,1441.5,1199.9,1253.4,52053,EQ,3585,14.52,32735
2026-06-11,1234.7,1269.0,1225.0,1254.1,12997,EQ,1374,9.46,8063
2026-06-12,1255.1,1272.8,1239.9,1245.4,10923,EQ,679,16.09,9254
2026-06-15,1250.2,1306.0,1239.7,1287.4,16880,EQ,2125,7.94,10629
2026-06-16,1287.5,1287.5,1249.1,1258.7,6393,EQ,817,7.82,4029
2026-06-17,1288.0,1288.0,1193.0,1202.3,11786,EQ,1848,6.38,6835
2026-06-18,1206.0,1228.0,1191.4,1201.1,4596,EQ,797,5.77,2513
2026-06-19,1204.3,1225.9,1172.6,1196.1,23965,EQ,1694,14.15,17914
