Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,27.0,27.0,22.3,26.5,584,EQ,23,25.39,487
2026-04-21,26.45,26.45,24.15,24.9,2963,EQ,96,30.86,2887
2026-04-22,28.0,28.0,25.0,26.0,3183,EQ,117,27.21,2558
2026-04-23,27.85,27.85,26.0,26.45,2355,EQ,77,30.58,2279
2026-04-24,26.9,27.8,24.25,26.25,5977,EQ,112,53.37,4554
2026-04-27,28.0,29.95,26.3,27.55,5530,EQ,236,23.43,4185
2026-04-28,31.5,33.05,31.0,33.05,65727,EQ,411,159.92,36497
2026-04-29,39.65,39.65,38.1,39.65,148107,EQ,589,251.46,77203
2026-04-30,43.6,43.6,41.55,43.6,219537,EQ,1509,145.49,134330
2026-05-04,47.96,47.96,47.96,47.96,31101,EQ,148,210.14,27538
2026-05-05,48.85,48.85,45.57,45.57,18833,BE,183,102.91,18833
2026-05-06,43.3,43.3,43.3,43.3,8491,BE,70,121.3,8491
2026-05-07,41.14,41.14,41.14,41.14,5832,BE,78,74.77,5832
2026-05-08,39.09,39.09,39.09,39.09,3631,BE,57,63.7,3631
