Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,252.95,253.0,252.0,252.0,15,EQ,5,3.0,13
2026-04-21,252.0,252.0,227.45,237.3,1219,EQ,53,23.0,1035
2026-04-22,236.0,238.0,231.0,237.9,678,EQ,35,19.37,662
2026-04-23,240.0,254.9,232.0,254.8,1043,EQ,10,104.3,1041
2026-04-24,233.0,242.55,230.0,232.6,908,EQ,104,8.73,889
2026-04-27,236.0,238.2,233.45,234.0,806,EQ,13,62.0,802
2026-04-28,229.95,230.0,225.0,227.05,1381,EQ,55,25.11,1278
2026-04-29,224.0,234.0,224.0,225.05,380,EQ,19,20.0,341
2026-04-30,220.0,228.0,216.05,227.95,99,EQ,21,4.71,83
2026-05-04,227.95,233.92,223.15,229.97,2659,EQ,45,59.09,2642
2026-05-05,229.97,230.0,220.5,229.98,764,EQ,100,7.64,760
2026-05-06,229.98,229.99,212.0,218.76,3139,EQ,334,9.4,2761
2026-05-07,224.0,228.0,220.99,224.95,1152,EQ,38,30.32,1113
2026-05-08,225.0,233.0,217.99,227.36,5169,EQ,53,97.53,5076
2026-05-11,235.8,235.8,225.0,226.49,262,EQ,26,10.08,255
2026-05-12,224.0,227.0,221.0,221.0,106,EQ,13,8.15,104
2026-05-13,220.98,240.0,212.0,230.25,3216,EQ,54,59.56,3137
2026-05-14,230.25,254.4,230.1,232.52,3500,EQ,80,43.75,3365
2026-05-15,235.0,239.0,230.05,237.99,1179,EQ,23,51.26,1173
2026-05-18,239.0,239.0,223.0,231.32,823,EQ,38,21.66,790
2026-05-19,232.0,238.0,228.0,230.0,1276,EQ,18,70.89,1261
2026-05-20,230.0,230.0,216.0,226.0,3925,EQ,59,66.53,3830
2026-05-21,227.0,236.0,220.0,220.46,3050,EQ,48,63.54,2945
2026-05-22,220.0,233.0,218.1,231.8,953,EQ,34,28.03,831
2026-05-25,230.65,248.9,225.0,245.38,1060,EQ,82,12.93,953
2026-05-26,224.0,250.0,222.05,233.0,1894,EQ,147,12.88,1244
2026-05-27,233.0,233.0,225.5,228.0,2683,EQ,47,57.09,2560
2026-05-29,224.0,230.0,211.0,212.14,3573,EQ,200,17.86,3181
2026-06-01,212.0,213.0,201.35,205.78,3716,EQ,90,41.29,3467
2026-06-02,206.0,209.0,199.0,209.0,7912,EQ,106,74.64,7592
2026-06-03,209.0,220.0,209.0,218.22,13575,EQ,98,138.52,12018
2026-06-04,220.25,220.25,209.0,217.89,1674,EQ,66,25.36,1491
2026-06-05,215.0,219.0,212.0,215.33,348,EQ,47,7.4,346
2026-06-08,215.33,215.33,208.5,215.0,855,EQ,37,23.11,852
