Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-09,112.0,117.6,111.8,117.6,1954800,ST,642,3044.86,1954800
2026-03-10,120.05,123.45,114.0,123.45,454800,ST,117,3887.18,452400
2026-03-11,121.0,129.6,121.0,129.6,109200,ST,64,1706.25,108000
2026-03-12,136.05,136.05,136.0,136.05,316800,ST,48,6600.0,314400
2026-03-13,142.5,142.85,133.0,138.85,786000,ST,88,8931.82,488400
2026-03-16,132.0,141.95,131.95,136.0,80400,ST,35,2297.14,79200
2026-03-17,133.0,136.0,132.95,134.45,1285200,ST,115,11175.65,1279200
2026-03-18,127.75,139.3,127.75,133.0,470400,ST,57,8252.63,459600
2026-03-19,133.0,139.65,133.0,139.35,40800,ST,29,1406.9,40800
2026-03-20,135.0,146.3,134.9,145.05,1650000,ST,53,31132.08,1648800
2026-03-23,155.95,164.0,142.0,143.7,148800,SM,91,1635.16,80400
2026-03-24,143.0,150.5,132.0,146.45,51600,SM,36,1433.33,43200
2026-03-25,146.5,150.0,143.25,145.7,57600,SM,8,7200.0,55200
2026-03-27,145.7,145.7,138.0,138.15,33600,SM,17,1976.47,30000
2026-03-30,135.05,135.05,123.0,126.95,56400,SM,36,1566.67,37200
2026-04-01,135.0,135.0,121.2,125.25,27600,SM,12,2300.0,24000
2026-04-02,125.0,134.95,125.0,134.95,4800,SM,4,1200.0,4800
2026-04-06,126.0,136.95,126.0,136.95,412800,SM,16,25800.0,271200
2026-04-07,139.0,142.0,134.0,135.25,63600,SM,20,3180.0,52800
2026-04-08,136.65,138.5,134.0,134.7,8400,SM,7,1200.0,4800
2026-04-09,134.9,134.9,134.9,134.9,1200,SM,1,1200.0,1200
2026-04-10,135.0,135.0,132.0,133.85,9600,SM,6,1600.0,8400
