Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,41.5,41.55,39.95,40.0,33643,EQ,96,350.45,33039
2026-04-21,40.0,40.8,39.7,40.6,44537,EQ,127,350.69,39692
2026-04-22,40.0,41.4,40.0,41.4,39348,EQ,116,339.21,34212
2026-04-23,41.4,42.2,40.6,41.8,66023,EQ,364,181.38,51594
2026-04-24,41.8,41.95,41.0,41.0,3185,EQ,35,91.0,3185
2026-04-27,40.2,40.85,40.2,40.2,38349,EQ,114,336.39,37471
2026-04-28,39.4,39.4,39.4,39.4,11902,EQ,40,297.55,11902
2026-04-29,38.65,39.0,38.65,38.65,73563,EQ,180,408.68,71870
2026-04-30,37.9,38.6,37.9,37.95,22428,EQ,132,169.91,20948
2026-05-04,38.7,38.7,37.22,37.52,62762,EQ,391,160.52,51022
2026-05-05,36.77,38.27,36.77,37.83,66225,EQ,353,187.61,49692
2026-05-06,38.0,38.58,37.35,37.97,89900,EQ,492,182.72,69367
2026-05-07,37.97,38.7,37.22,37.32,28638,EQ,446,64.21,24907
2026-05-08,38.0,38.0,36.58,36.64,45127,EQ,327,138.0,34083
2026-05-11,36.66,37.37,36.02,36.99,44950,EQ,269,167.1,28212
2026-05-12,36.98,37.0,36.26,36.26,77971,EQ,154,506.31,57835
2026-05-13,36.98,36.98,35.54,35.54,40399,EQ,160,252.49,36809
2026-05-14,34.83,34.83,34.83,34.83,63440,EQ,75,845.87,63439
2026-05-15,34.14,35.52,34.14,34.51,253108,EQ,378,669.6,181139
2026-05-18,34.68,34.85,33.82,33.82,52816,EQ,95,555.96,51581
2026-05-19,33.15,34.49,33.15,33.28,70243,EQ,362,194.04,58714
2026-05-20,33.0,33.94,32.67,33.18,94072,EQ,484,194.36,62498
2026-05-21,33.52,33.84,32.99,33.81,107536,EQ,269,399.76,79936
2026-05-22,34.35,34.48,33.14,33.88,130465,EQ,575,226.9,62121
2026-05-25,34.04,34.55,33.61,34.4,36546,EQ,523,69.88,23718
2026-05-26,34.59,34.94,34.0,34.76,43811,EQ,591,74.13,35944
2026-05-27,35.28,35.45,34.21,34.36,436708,EQ,293,1490.47,425834
2026-05-29,34.53,35.04,33.68,33.79,113539,EQ,795,142.82,78221
2026-06-01,34.0,34.0,33.12,33.13,117798,EQ,379,310.81,79700
2026-06-02,33.28,33.28,32.47,32.47,42562,EQ,122,348.87,37592
2026-06-03,32.58,32.59,31.83,32.34,65308,EQ,174,375.33,52084
2026-06-04,32.34,32.98,31.71,32.76,69781,EQ,258,270.47,41047
2026-06-05,34.0,34.39,31.81,34.39,97927,EQ,333,294.08,70781
2026-06-08,35.8,36.1,35.79,36.1,48869,EQ,75,651.59,44795
2026-06-09,37.9,37.9,37.9,37.9,71558,EQ,71,1007.86,71542
2026-06-10,39.79,39.79,36.53,37.91,340703,EQ,670,508.51,251332
2026-06-11,39.0,39.8,36.91,39.8,289722,EQ,276,1049.72,244320
2026-06-12,41.79,41.79,39.16,39.51,207259,EQ,849,244.12,125615
2026-06-15,40.99,40.99,37.63,38.29,227562,EQ,1319,172.53,106375
2026-06-16,37.55,39.6,37.1,37.34,57562,EQ,431,133.55,40473
2026-06-17,37.35,39.2,35.48,37.35,569862,EQ,1446,394.1,196593
2026-06-18,37.78,38.5,37.02,37.83,72052,EQ,277,260.12,53927
2026-06-19,37.1,38.43,36.5,38.08,34644,EQ,240,144.35,23540
2026-06-22,38.08,39.98,37.21,39.62,1141976,EQ,603,1893.82,1070152
2026-06-23,39.02,41.6,38.51,40.67,448218,EQ,626,716.0,404543
2026-06-24,42.7,42.7,42.7,42.7,173837,EQ,98,1773.85,173837
2026-06-25,44.83,44.83,44.83,44.83,118919,EQ,86,1382.78,118919
