Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-30,205.0,215.25,205.0,215.25,2297600,ST,1706,1346.78,2293600
2026-05-04,226.0,226.0,226.0,226.0,26400,ST,26,1015.38,26400
2026-05-05,237.3,237.3,226.0,237.1,848000,ST,670,1265.67,751200
2026-05-06,225.25,248.95,225.25,247.95,457600,ST,396,1155.56,307200
2026-05-07,247.5,247.5,235.6,235.6,184000,ST,175,1051.43,164000
2026-05-08,233.0,239.0,223.85,227.0,340000,ST,353,963.17,287200
2026-05-11,224.0,238.35,218.0,232.3,252000,ST,262,961.83,192000
2026-05-12,232.3,233.0,220.7,220.7,134400,ST,150,896.0,125600
2026-05-13,219.0,219.5,209.7,210.9,173600,ST,191,908.9,147200
2026-05-14,211.8,217.5,200.4,212.95,180000,ST,182,989.01,149600
2026-05-15,211.0,219.0,205.0,207.95,235200,SM,219,1073.97,154400
2026-05-18,205.1,209.85,188.0,206.4,228000,SM,263,866.92,130400
2026-05-19,209.0,217.0,204.6,209.0,65600,SM,74,886.49,43200
2026-05-20,204.4,207.95,201.0,205.55,47200,SM,53,890.57,34400
2026-05-21,206.0,206.9,196.0,197.85,53600,SM,64,837.5,40800
2026-05-22,198.9,205.5,189.9,193.1,145600,SM,141,1032.62,109600
2026-05-25,202.35,203.5,196.0,202.15,50400,SM,59,854.24,35200
2026-05-26,201.05,203.0,195.05,200.35,60800,SM,70,868.57,40800
