Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-12,18.3,18.98,16.96,18.19,76331,EQ,982,77.73,12654
2026-03-13,18.31,19.0,17.23,17.54,66312,EQ,262,253.1,62059
2026-03-16,18.54,18.54,17.5,17.51,64940,EQ,224,289.91,62618
2026-03-17,17.51,18.69,17.51,17.62,35004,EQ,484,72.32,27364
2026-03-18,18.1,18.58,17.9,18.37,35720,EQ,179,199.55,31202
2026-03-19,18.5,18.5,17.37,17.48,10240,EQ,328,31.22,5644
2026-03-20,17.23,17.99,16.6,16.85,80388,EQ,526,152.83,70038
2026-03-23,17.35,17.35,16.05,16.15,47325,EQ,306,154.66,39547
2026-03-24,16.59,17.0,16.03,16.13,67264,EQ,182,369.58,62735
2026-03-25,16.0,16.97,16.0,16.08,133928,EQ,360,372.02,120412
2026-03-27,17.4,17.4,14.31,14.81,101162,EQ,649,155.87,74396
2026-03-30,14.99,15.59,13.25,13.99,51585,EQ,475,108.6,29996
2026-04-01,14.6,15.99,14.35,15.76,49147,EQ,597,82.32,28946
2026-04-02,15.5,16.04,14.6,15.37,14147,EQ,515,27.47,7538
2026-04-06,16.7,16.7,15.01,16.14,13617,EQ,326,41.77,9252
2026-04-07,16.22,16.8,16.0,16.6,4648,EQ,173,26.87,3502
2026-04-08,17.75,19.92,16.97,18.02,318241,EQ,954,333.59,104879
2026-04-09,18.6,19.6,18.18,18.41,65506,EQ,436,150.24,23060
2026-04-10,19.26,20.25,18.62,19.66,36082,EQ,523,68.99,25512
2026-04-13,19.64,19.64,18.6,19.21,24976,EQ,201,124.26,16476
2026-04-15,20.0,20.0,19.01,19.46,32588,EQ,215,151.57,24500
2026-04-16,19.95,19.95,19.05,19.43,9010,EQ,127,70.94,6502
2026-04-17,19.2,19.2,18.7,19.0,12180,BE,81,150.37,12180
2026-04-20,19.6,19.6,18.2,19.3,7008,BE,61,114.89,7008
2026-04-21,19.3,19.3,18.41,18.99,15855,BE,86,184.36,15855
2026-04-22,18.86,19.49,18.45,19.0,5946,BE,85,69.95,5946
2026-04-23,19.0,19.2,18.6,18.71,4285,BE,55,77.91,4285
2026-04-24,18.7,19.44,18.61,18.65,10144,BE,70,144.91,10144
2026-04-27,18.65,19.2,18.2,18.41,4936,BE,68,72.59,4936
2026-04-28,19.0,19.0,18.2,18.97,7183,BE,67,107.21,7183
2026-04-29,18.99,19.4,18.21,18.78,9969,BE,78,127.81,9969
2026-04-30,18.89,19.3,18.5,18.99,3225,BE,33,97.73,3225
2026-05-04,18.8,18.99,18.25,18.8,4069,BE,65,62.6,4069
2026-05-05,19.0,19.0,18.1,18.41,5739,BE,55,104.35,5739
2026-05-06,18.84,19.0,18.3,18.76,2510,BE,37,67.84,2510
2026-05-07,17.85,18.99,17.83,17.84,38670,BE,173,223.53,38670
2026-05-08,17.77,17.8,17.4,17.69,17665,BE,112,157.72,17665
2026-05-11,17.74,17.98,16.81,16.93,50279,BE,162,310.36,50279
2026-05-12,16.83,16.83,16.09,16.14,44979,BE,185,243.13,44979
2026-05-13,16.46,16.69,16.1,16.23,16936,BE,98,172.82,16936
2026-05-14,16.49,16.49,15.52,16.26,9888,BE,105,94.17,9888
2026-05-15,16.59,16.59,16.06,16.31,9413,BE,83,113.41,9413
2026-05-18,16.31,16.69,15.62,15.92,9065,BE,92,98.53,9065
2026-05-19,16.0,16.43,16.0,16.18,3717,EQ,43,86.44,3289
2026-05-20,16.1,16.98,16.01,16.69,37697,EQ,250,150.79,31740
2026-05-21,17.0,17.0,16.25,16.48,41079,EQ,640,64.19,33721
2026-05-22,17.08,17.08,16.3,16.32,7373,EQ,124,59.46,5400
2026-05-25,16.35,16.93,16.02,16.33,39649,EQ,151,262.58,21218
2026-05-26,16.33,16.98,15.52,16.58,22207,EQ,153,145.14,15320
2026-05-27,16.45,16.88,16.05,16.52,18757,EQ,140,133.98,12308
2026-05-29,16.52,16.95,16.0,16.17,37012,EQ,240,154.22,14315
2026-06-01,16.0,16.75,16.0,16.45,5391,EQ,99,54.45,4017
2026-06-02,16.2,16.77,16.2,16.24,9977,EQ,115,86.76,6719
2026-06-03,15.91,16.63,15.91,16.25,7411,EQ,116,63.89,3605
2026-06-04,16.74,16.74,16.0,16.02,22648,EQ,138,164.12,14837
2026-06-05,16.69,16.69,16.02,16.3,9233,EQ,92,100.36,5493
2026-06-08,16.68,16.68,16.11,16.34,26140,EQ,127,205.83,19704
