Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-03,22.0,22.0,20.9,20.9,269259,BE,839,320.93,269259
2026-07-06,19.86,19.86,19.86,19.86,47942,BE,352,136.2,47942
2026-07-07,18.87,18.87,18.87,18.87,43115,BE,274,157.35,43115
2026-07-08,17.93,17.93,17.93,17.93,74333,BE,243,305.9,74333
2026-07-09,17.04,17.04,17.04,17.04,49444,BE,272,181.78,49444
2026-07-10,16.19,16.19,16.19,16.19,89437,BE,326,274.35,89437
2026-07-13,15.39,15.5,15.39,15.39,8367252,BE,6436,1300.07,8367252
2026-07-14,14.63,14.63,14.63,14.63,1034537,BE,669,1546.39,1034537
2026-07-15,13.9,14.63,13.9,13.9,8086905,BE,9237,875.49,8086905
2026-07-16,13.52,14.37,13.21,13.21,2700362,BE,3141,859.71,2700362
2026-07-17,12.46,12.74,12.03,12.59,12690614,EQ,24316,521.9,9338073
