Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-06,137.0,143.85,137.0,143.85,1442,BE,25,57.68,1442
2026-04-07,151.04,151.04,151.04,151.04,1407,BE,41,34.32,1407
2026-04-08,158.59,158.59,158.59,158.59,281,BE,11,25.55,281
2026-04-09,166.51,166.51,166.51,166.51,515,EQ,9,57.22,515
2026-04-10,174.83,174.83,174.83,174.83,302,EQ,12,25.17,302
2026-04-13,183.57,183.57,183.57,183.57,536,EQ,14,38.29,456
2026-04-15,192.74,192.74,192.74,192.74,864,EQ,23,37.57,864
2026-04-16,202.37,202.37,202.37,202.37,131,EQ,8,16.38,131
2026-04-17,212.48,212.48,212.48,212.48,1136,EQ,20,56.8,1136
2026-04-20,223.1,223.1,223.1,223.1,1366,EQ,30,45.53,1366
2026-04-21,245.41,245.41,245.41,245.41,1594,EQ,26,61.31,1594
2026-04-22,269.95,269.95,269.95,269.95,11019,EQ,56,196.77,9004
2026-04-23,283.44,283.44,283.44,283.44,2100,BE,26,80.77,2100
2026-04-24,297.61,297.61,297.61,297.61,809,BE,26,31.12,809
2026-04-27,312.49,312.49,312.49,312.49,1144,BE,26,44.0,1144
2026-04-28,328.11,328.11,328.11,328.11,633,BE,20,31.65,633
2026-04-29,344.51,344.51,344.51,344.51,954,BE,27,35.33,954
2026-04-30,361.73,361.73,361.73,361.73,2195,BE,22,99.77,2195
2026-05-04,379.8,379.8,379.8,379.8,2872,BE,21,136.76,2872
2026-05-05,398.75,398.75,398.75,398.75,2179,BE,24,90.79,2179
2026-05-06,418.65,418.65,418.65,418.65,1203,BE,32,37.59,1203
2026-05-07,439.55,439.55,439.55,439.55,3297,BE,28,117.75,3297
2026-05-08,461.5,461.5,461.5,461.5,27991,BE,161,173.86,27991
2026-05-11,484.55,484.55,484.55,484.55,800,BE,28,28.57,800
2026-05-12,508.75,508.75,508.75,508.75,1961,BE,42,46.69,1961
2026-05-13,534.15,534.15,534.15,534.15,1089,BE,18,60.5,1089
2026-05-14,560.0,560.85,560.0,560.85,1007,BE,35,28.77,1007
2026-05-15,588.85,588.85,588.85,588.85,10856,BE,71,152.9,10856
2026-05-18,618.25,618.25,618.25,618.25,884,BE,35,25.26,884
2026-05-19,649.15,649.15,649.15,649.15,1051,BE,27,38.93,1051
2026-05-20,681.6,681.6,681.6,681.6,2703,BE,43,62.86,2703
2026-05-21,715.65,715.65,715.65,715.65,2295,BE,19,120.79,2295
2026-05-22,751.4,751.4,679.9,684.05,12197,BE,389,31.35,12197
2026-05-25,649.85,649.85,649.85,649.85,2102,BE,31,67.81,2102
2026-05-26,617.4,682.3,617.4,636.05,13532,BE,208,65.06,13532
2026-05-27,604.25,626.05,604.25,604.25,7360,BE,102,72.16,7360
2026-05-29,576.0,603.0,574.05,574.1,2865,BE,90,31.83,2865
2026-06-01,546.0,599.0,546.0,552.25,1424,BE,64,22.25,1424
2026-06-02,545.4,579.85,531.1,579.85,758,BE,35,21.66,758
2026-06-03,608.8,608.8,566.0,578.45,1107,BE,57,19.42,1107
2026-06-04,560.05,580.0,560.05,567.65,684,BE,34,20.12,684
2026-06-05,565.0,594.95,563.35,569.95,555,BE,34,16.32,555
2026-06-08,569.95,580.0,560.15,576.3,1106,BE,43,25.72,1106
