Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,1600.05,1637.95,1530.1,1549.2,190,EQ,26,7.31,159
2026-04-21,1550.05,1631.0,1541.15,1542.65,378,EQ,11,34.36,371
2026-04-22,1699.0,1699.0,1510.0,1547.9,333,EQ,56,5.95,216
2026-04-23,1547.9,1607.3,1484.9,1536.1,1401,EQ,80,17.51,1303
2026-04-24,1618.0,1618.0,1520.2,1532.25,160,EQ,18,8.89,142
2026-04-27,1501.65,1590.0,1501.65,1558.0,280,EQ,53,5.28,265
2026-04-28,1550.05,1550.1,1530.1,1540.7,463,EQ,22,21.05,455
2026-04-29,1540.05,1554.0,1530.0,1540.65,90,EQ,19,4.74,76
2026-04-30,1540.05,1688.0,1525.05,1572.75,353,EQ,21,16.81,349
2026-05-04,1572.0,1688.0,1551.1,1619.9,2257,EQ,176,12.82,1984
2026-05-05,1619.9,1619.9,1575.1,1584.7,367,EQ,66,5.56,224
2026-05-06,1560.1,1620.0,1560.1,1575.1,17,EQ,9,1.89,14
2026-05-07,1553.1,1635.0,1553.1,1613.0,95,EQ,20,4.75,76
2026-05-08,1613.0,1613.0,1565.3,1603.8,227,EQ,28,8.11,219
2026-05-11,1603.0,1603.0,1550.0,1556.8,289,EQ,25,11.56,282
2026-05-12,1558.0,1558.0,1537.1,1540.0,43,EQ,12,3.58,42
2026-05-13,1540.0,1573.9,1515.1,1573.9,61,EQ,12,5.08,59
2026-05-14,1609.9,1609.9,1548.0,1590.1,96,EQ,19,5.05,93
2026-05-15,1561.2,1591.1,1561.2,1590.6,43,EQ,7,6.14,43
2026-05-18,1567.1,1590.0,1567.1,1571.2,251,EQ,19,13.21,247
2026-05-19,1560.0,1599.9,1555.0,1599.9,30,EQ,10,3.0,30
2026-05-20,1598.0,1598.9,1552.2,1589.3,13,EQ,5,2.6,12
2026-05-21,1636.0,1640.0,1590.1,1595.2,1061,EQ,62,17.11,557
2026-05-22,1620.0,1629.2,1580.0,1624.1,591,EQ,93,6.35,531
2026-05-25,1630.0,1670.0,1575.4,1651.2,1018,EQ,168,6.06,847
2026-05-26,1643.0,1672.0,1612.0,1662.5,1377,EQ,274,5.03,1002
