Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-21,318.0,356.95,318.0,348.25,26831287,EQ,571845.0,46.92,15376710.0
2026-01-22,346.6,369.05,346.6,365.6,6398227,EQ,167959.0,38.09,3403098.0
2026-01-23,371.95,391.8,365.6,375.65,4941533,EQ,98632.0,50.1,2056881.0
2026-01-27,375.5,375.95,356.25,360.1,1042101,EQ,37347.0,27.9,380571.0
2026-01-28,359.9,372.45,353.0,366.85,832466,EQ,39029.0,21.33,322213.0
2026-01-29,363.9,373.95,358.0,363.3,672932,EQ,44906.0,14.99,281942.0
2026-01-30,362.85,378.5,362.0,366.7,986941,EQ,56524.0,17.46,312329.0
2026-02-01,364.8,380.0,325.25,367.15,477410,EQ,35259.0,13.54,191582.0
2026-02-02,370.0,373.95,361.05,363.85,319891,EQ,20318.0,15.74,123692.0
2026-02-03,374.0,384.9,371.15,380.85,833115,EQ,38139.0,21.84,390281.0
2026-02-04,378.9,382.0,366.5,373.35,582033,EQ,35626,16.34,377683
2026-02-05,370.8,377.3,369.3,374.0,223615,EQ,20461,10.93,136268
2026-02-06,372.3,385.8,370.75,376.55,277606,EQ,19316,14.37,116563
2026-02-09,378.95,389.9,377.05,386.8,477915,EQ,27013,17.69,300852
2026-02-10,389.4,421.0,388.75,416.8,1423984,EQ,42674,33.37,563382
2026-02-11,410.9,428.0,401.35,409.5,711277,EQ,27623,25.75,276223
2026-02-12,424.0,434.95,380.1,386.3,1551603,EQ,44197,35.11,448679
2026-02-13,385.0,385.95,367.4,377.05,605877,EQ,36351,16.67,214131
2026-02-16,372.05,388.75,372.05,381.5,248961,EQ,15093,16.5,117052
2026-02-17,379.55,394.4,379.25,384.0,251583,EQ,11865,21.2,100977
2026-02-18,378.1,392.75,378.1,390.2,239538,EQ,11817,20.27,112528
2026-02-19,388.0,438.4,388.0,408.2,4494001,EQ,91106,49.33,750358
2026-02-20,408.2,418.0,405.55,410.75,528293,EQ,16293,32.42,197269
2026-02-23,412.05,415.9,397.6,400.7,284788,EQ,9780,29.12,143749
2026-02-24,400.65,400.65,378.6,383.15,507857,EQ,30365,16.73,337872
2026-02-25,384.95,388.2,376.3,386.45,321229,EQ,16792,19.13,185965
2026-02-26,388.0,396.0,379.5,388.7,152888,EQ,7585,20.16,66780
2026-02-27,389.25,390.3,376.75,382.0,457427,EQ,46442,9.85,257298
2026-03-02,365.1,385.0,364.0,379.95,464669,EQ,14488,32.07,365672
2026-03-04,371.0,383.75,369.05,378.55,302533,EQ,33408,9.06,155584
2026-03-05,383.0,385.25,376.0,382.1,48197,EQ,3884,12.41,19356
2026-03-06,381.0,389.5,377.6,386.3,95101,EQ,12700,7.49,44431
2026-03-09,380.0,386.25,375.1,379.9,311070,EQ,15562,19.99,235099
2026-03-10,380.95,390.0,376.0,384.85,336497,EQ,25295,13.3,179220
2026-03-11,384.0,394.8,380.0,384.2,223383,EQ,12789,17.47,135826
2026-03-12,384.95,385.2,376.1,380.65,90423,EQ,10646,8.49,43890
2026-03-13,377.0,383.25,361.75,364.65,123237,EQ,8407,14.66,50435
2026-03-16,367.95,374.0,342.1,361.75,144559,EQ,10976,13.17,68834
2026-03-17,367.2,376.0,351.0,356.45,78788,EQ,11593,6.8,32097
2026-03-18,354.0,356.5,346.8,351.2,212406,EQ,11662,18.21,126372
2026-03-19,347.0,358.0,341.0,348.25,122911,EQ,8194,15.0,82441
2026-03-20,353.4,355.9,345.0,349.1,196435,EQ,10763,18.25,154127
2026-03-23,343.85,360.0,325.55,334.25,395431,EQ,9680,40.85,319692
2026-03-24,342.45,343.0,333.05,339.1,81034,EQ,11348,7.14,39257
2026-03-25,344.9,345.0,323.0,327.25,149620,EQ,13413,11.15,69302
2026-03-27,325.75,325.75,312.05,323.95,208265,EQ,16598,12.55,140662
2026-03-30,318.1,333.3,311.65,326.15,175278,EQ,10034,17.47,117473
2026-04-01,339.75,339.75,325.25,329.15,62956,EQ,8987,7.01,30581
2026-04-02,322.0,329.7,315.0,322.8,277999,EQ,4609,60.32,237248
2026-04-06,320.0,325.0,312.1,316.7,272125,EQ,15583,17.46,154787
2026-04-07,313.0,321.8,310.2,320.2,167830,EQ,7043,23.83,122636
2026-04-08,338.0,340.0,324.95,338.0,154636,EQ,9024,17.14,93648
2026-04-09,343.0,357.0,335.05,339.45,185688,EQ,15820,11.74,102672
2026-04-10,343.0,357.0,342.95,354.3,444135,EQ,29790,14.91,323959
