Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-05,134.5,137.5,127.8,135.15,1041000,ST,376,2768.62,1018000
2026-05-06,136.0,136.0,130.5,131.5,38000,ST,30,1266.67,38000
2026-05-07,130.5,134.5,129.05,130.65,109000,ST,36,3027.78,108000
2026-05-08,129.5,134.0,129.0,131.3,141000,ST,42,3357.14,140000
2026-05-11,128.0,130.0,128.0,129.65,32000,ST,19,1684.21,32000
2026-05-12,128.05,132.0,128.0,129.5,47000,ST,24,1958.33,47000
2026-05-13,128.0,130.0,128.0,129.5,113000,ST,21,5380.95,113000
2026-05-14,129.5,129.5,125.1,125.1,60000,ST,19,3157.89,60000
2026-05-15,125.0,129.0,125.0,127.15,67000,ST,20,3350.0,66000
2026-05-18,126.4,129.5,122.0,128.5,73000,ST,37,1972.97,72000
2026-05-19,130.0,132.5,126.5,130.0,85000,SM,23,3695.65,82000
2026-05-20,126.05,129.0,118.2,123.05,35000,SM,32,1093.75,22000
2026-05-21,126.25,127.7,110.0,113.45,45000,SM,32,1406.25,40000
2026-05-22,113.45,119.0,100.0,107.9,101000,SM,77,1311.69,60000
2026-05-25,109.75,118.0,108.05,111.9,34000,SM,31,1096.77,18000
2026-05-26,113.0,113.0,102.0,105.4,65000,SM,55,1181.82,34000
2026-05-27,110.0,110.0,100.3,102.35,50000,SM,27,1851.85,38000
2026-05-29,104.9,106.8,90.0,98.05,136000,SM,97,1402.06,56000
2026-06-01,97.0,106.0,78.45,78.45,205000,SM,170,1205.88,141000
2026-06-02,70.65,70.65,70.65,70.65,10000,SM,9,1111.11,10000
2026-06-03,68.0,75.0,63.6,73.9,307000,SM,180,1705.56,226000
2026-06-04,79.0,81.25,77.25,81.25,69000,SM,59,1169.49,58000
2026-06-05,81.0,86.95,77.05,85.7,96000,SM,49,1959.18,68000
2026-06-08,85.7,88.0,83.9,84.75,24000,SM,19,1263.16,18000
