Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,32.3,36.45,30.9,32.45,62875,EQ,211,297.99,45912
2026-04-21,32.8,33.75,30.65,31.95,34819,EQ,410,84.92,23468
2026-04-22,32.0,35.1,31.2,33.35,60895,EQ,534,114.04,45484
2026-04-23,34.0,34.0,31.5,31.8,74597,EQ,601,124.12,41869
2026-04-24,32.35,35.8,31.4,35.25,342648,EQ,3664,93.52,186806
2026-04-27,35.1,36.15,34.5,35.25,96146,EQ,858,112.06,63002
2026-04-28,35.5,35.5,33.0,33.2,82427,EQ,834,98.83,62868
2026-04-29,33.35,34.05,32.15,32.65,54321,EQ,686,79.19,25681
2026-04-30,32.45,32.5,31.5,31.75,79095,EQ,614,128.82,53488
2026-05-04,31.55,34.5,31.5,32.42,89701,EQ,626,143.29,43011
2026-05-05,32.31,32.9,31.04,31.47,62956,EQ,637,98.83,43502
2026-05-06,31.51,32.17,30.3,31.21,64984,EQ,608,106.88,39112
2026-05-07,31.99,31.99,30.96,31.71,59605,EQ,539,110.58,30126
2026-05-08,32.2,33.33,31.52,33.17,87667,EQ,1152,76.1,51721
2026-05-11,31.73,33.25,31.61,31.93,44510,EQ,732,60.81,25912
2026-05-12,31.18,31.77,30.7,30.91,42850,EQ,464,92.35,23372
2026-05-13,31.8,31.8,30.67,30.96,21786,EQ,228,95.55,13281
2026-05-14,31.02,31.49,30.75,30.93,20742,EQ,183,113.34,15613
2026-05-15,31.8,34.0,31.23,32.53,122981,EQ,1243,98.94,66596
2026-05-18,32.05,32.5,31.25,31.32,27801,EQ,212,131.14,18167
2026-05-19,31.06,32.2,31.0,31.26,38176,EQ,320,119.3,21480
2026-05-20,32.0,33.25,31.13,32.84,67491,EQ,958,70.45,37454
2026-05-21,32.46,34.5,31.85,32.75,161871,EQ,1772,91.35,87110
2026-05-22,33.6,34.5,32.6,32.86,143874,EQ,1656,86.88,83378
2026-05-25,32.9,33.74,32.0,32.47,71948,EQ,703,102.34,48028
2026-05-26,32.51,33.19,31.42,32.48,127786,EQ,1426,89.61,76334
2026-05-27,32.5,35.7,32.5,34.52,283380,EQ,2609,108.62,154979
2026-05-29,35.0,36.4,33.31,35.29,235878,EQ,2189,107.76,113015
2026-06-01,35.29,36.95,35.02,35.63,200330,EQ,1498,133.73,106501
2026-06-02,36.0,38.5,35.5,37.3,340255,EQ,3377,100.76,149362
2026-06-03,38.38,38.38,35.31,35.77,159917,EQ,1920,83.29,96246
2026-06-04,36.23,36.28,34.33,34.63,86521,EQ,1042,83.03,53348
2026-06-05,34.63,35.75,33.7,34.24,75754,EQ,626,121.01,44946
2026-06-08,33.63,35.4,33.63,34.62,71771,EQ,746,96.21,39938
2026-06-09,35.49,35.49,33.94,34.06,161329,EQ,657,245.55,110592
2026-06-10,34.7,34.7,33.0,33.05,34126,EQ,356,95.86,20969
2026-06-11,33.0,33.07,30.61,31.25,139346,EQ,1054,132.21,99124
2026-06-12,31.5,33.5,31.5,32.56,76263,EQ,784,97.27,42815
