Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-02,200.0,200.0,180.0,180.0,17587998,EQ,63644,276.35,11151253
2026-04-06,162.0,168.12,162.0,162.0,7662853,EQ,34426,222.59,4880915
2026-04-07,145.8,145.8,145.8,145.8,88418,EQ,1318,67.08,88418
2026-04-08,131.22,135.38,131.22,131.22,6173766,EQ,6187,997.86,3859273
2026-04-09,124.66,124.66,124.66,124.66,106583,EQ,1357,78.54,106583
2026-04-10,120.78,130.55,120.78,126.09,13225779,EQ,71042,186.17,3901339
2026-04-13,123.4,124.4,119.79,119.79,2456632,EQ,10452,235.04,1052035
2026-04-15,121.19,125.77,117.02,124.48,3248635,EQ,16160,201.03,1576240
2026-04-16,128.0,129.7,121.79,127.44,7005165,EQ,23286,300.83,2854679
2026-04-17,128.01,131.98,125.01,130.77,4860219,EQ,16890,287.76,2594760
2026-04-20,132.0,134.95,128.0,134.01,1896122,EQ,9002,210.63,1070303
2026-04-21,134.89,140.71,134.11,140.71,2898574,EQ,9253,313.26,905793
2026-04-22,141.96,145.27,137.01,139.28,2541073,EQ,12117,209.71,1223812
2026-04-23,137.8,141.75,135.0,137.39,1671620,EQ,10890,153.5,851975
2026-04-24,138.0,138.5,133.0,133.67,848137,EQ,6038,140.47,372421
2026-04-27,135.7,140.35,134.5,136.49,1095808,EQ,5718,191.64,571236
2026-04-28,137.5,138.48,134.51,134.81,395460,EQ,3768,104.95,187958
2026-04-29,136.45,140.1,134.5,134.67,974946,EQ,6131,159.02,389871
2026-04-30,135.78,135.9,132.29,134.5,464499,EQ,4403,105.5,188508
2026-05-04,135.99,136.4,129.8,132.23,774097,EQ,5327,145.32,420874
2026-05-05,132.0,132.8,130.0,130.8,379979,EQ,3892,97.63,233616
2026-05-06,131.45,132.26,129.5,130.88,545118,EQ,4213,129.39,296614
2026-05-07,131.98,134.15,129.64,133.73,1496098,EQ,7949,188.21,749860
2026-05-08,133.6,133.9,131.01,131.56,561837,EQ,4208,133.52,148891
