Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,72.8,72.8,72.8,72.8,41,EQ,1,41.0,41
2026-08-18,76.0,76.0,73.0,73.0,145,EQ,8,18.12,145
2026-08-20,73.0,73.0,73.0,73.0,1,EQ,1,1.0,1
2026-08-21,75.0,75.0,73.0,73.5,391,EQ,14,27.93,336
2026-08-24,72.5,75.0,70.64,74.98,839,EQ,20,41.95,489
2026-08-25,74.97,75.0,74.0,74.0,5001,EQ,15,333.4,5001
2026-08-26,74.0,74.0,72.01,72.01,310,EQ,3,103.33,210
2026-08-27,73.5,85.69,72.01,85.69,263,EQ,4,65.75,262
2026-08-28,77.45,86.49,77.45,82.42,10639,EQ,172,61.85,8776
2026-08-31,82.42,82.42,77.0,77.0,919,EQ,49,18.76,907
2026-09-01,85.0,92.4,76.5,78.57,46059,EQ,956,48.18,16094
2026-09-02,82.0,82.0,76.1,78.91,1443,EQ,117,12.33,1139
2026-09-03,78.91,81.4,75.01,76.35,925,EQ,31,29.84,676
