Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-02,11.0,12.0,10.8,11.03,12404271,EQ,3058,4056.33,10773655
2026-03-04,11.03,11.15,10.03,10.17,2989981,EQ,2682,1114.83,2047978
2026-03-05,10.34,10.34,9.7,9.95,1230509,EQ,1999,615.56,759403
2026-03-06,10.0,10.2,9.82,9.88,779703,EQ,1306,597.02,574775
2026-03-09,10.0,10.0,9.76,9.81,1022649,EQ,1243,822.73,549853
2026-03-10,10.19,10.35,9.96,10.25,1344294,EQ,1112,1208.9,936747
2026-03-11,10.3,10.35,10.05,10.08,891143,EQ,1479,602.53,511442
2026-03-12,10.04,10.2,9.88,10.13,1029502,EQ,1381,745.48,470771
2026-03-13,10.1,10.1,9.69,9.81,1442118,EQ,3663,393.7,1143343
2026-03-16,9.75,9.75,9.2,9.35,1490100,EQ,1968,757.16,673432
2026-03-17,9.78,9.78,9.4,9.48,1076599,EQ,1122,959.54,504234
2026-03-18,9.39,9.5,9.33,9.47,823649,EQ,1148,717.46,351170
2026-03-19,9.47,9.47,8.76,8.84,2019616,EQ,2957,682.99,1075454
2026-03-20,8.96,9.05,8.73,8.85,766610,EQ,1684,455.23,445434
2026-03-23,8.3,8.3,7.68,7.99,2251837,EQ,3329,676.43,958529
2026-03-24,8.5,8.55,8.01,8.48,1860398,EQ,1740,1069.19,925828
2026-03-25,8.71,9.0,8.7,8.84,853566,EQ,1364,625.78,514508
2026-03-27,8.54,8.63,8.41,8.49,1163056,EQ,1735,670.35,511350
2026-03-30,8.66,8.75,8.5,8.71,497696,EQ,957,520.06,304985
2026-04-01,8.97,9.06,8.71,8.92,1018826,EQ,1186,859.04,512770
2026-04-02,8.74,8.81,8.45,8.66,811947,EQ,1403,578.72,479242
2026-04-06,8.79,8.92,8.64,8.91,592708,EQ,1333,444.64,386759
2026-04-07,8.95,8.95,8.75,8.82,858769,EQ,1059,810.92,340616
2026-04-08,9.06,9.26,9.05,9.22,1232850,EQ,1208,1020.57,615481
2026-04-09,9.05,9.1,8.89,8.96,991877,EQ,966,1026.79,629422
2026-04-10,9.05,9.16,9.0,9.06,761461,EQ,1029,740.0,418133
2026-04-13,9.05,9.05,8.9,8.96,382933,EQ,1059,361.6,235159
2026-04-15,9.5,9.74,9.35,9.41,1035568,EQ,1097,944.0,650336
2026-04-16,9.64,9.68,9.46,9.51,476998,EQ,979,487.23,340277
2026-04-17,9.5,9.59,9.37,9.53,993350,EQ,1091,910.49,688974
