Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,372.0,394.0,368.5,382.25,115746,EQ,850,136.17,27097
2026-04-21,388.65,402.8,388.65,398.55,68815,EQ,1095,62.84,45810
2026-04-22,404.0,405.95,391.15,394.9,47018,EQ,565,83.22,13108
2026-04-23,392.8,402.0,383.6,397.4,95529,EQ,2036,46.92,41454
2026-04-24,400.65,404.0,390.0,395.2,160066,EQ,1781,89.87,71108
2026-04-27,404.9,404.9,390.0,399.55,138056,EQ,1271,108.62,59879
2026-04-28,397.4,399.85,383.6,394.3,112466,EQ,1022,110.05,86316
2026-04-29,400.05,403.0,390.1,392.55,99558,EQ,1344,74.08,23611
2026-04-30,396.5,399.95,390.5,397.1,56137,EQ,970,57.87,37645
2026-05-04,405.8,405.8,389.0,394.75,44455,EQ,861,51.63,28659
2026-05-05,393.1,396.7,388.0,390.1,26998,EQ,565,47.78,14972
2026-05-06,394.05,399.0,386.0,388.95,98558,EQ,795,123.97,50267
2026-05-07,396.7,396.7,389.3,392.35,27290,EQ,943,28.94,16687
2026-05-08,394.05,410.95,388.8,396.55,83492,EQ,1443,57.86,64742
2026-05-11,400.85,401.0,392.85,394.95,29692,EQ,571,52.0,18786
2026-05-12,396.9,398.15,364.0,380.75,26461,EQ,617,42.89,20394
2026-05-13,391.0,391.0,353.7,375.95,88195,EQ,1223,72.11,62845
2026-05-14,371.0,391.15,366.8,386.25,75907,EQ,1529,49.64,20998
2026-05-15,383.05,394.2,383.0,384.85,229547,EQ,1591,144.28,12011
2026-05-18,389.9,390.0,375.15,380.55,191331,EQ,2070,92.43,49299
2026-05-19,386.0,386.0,375.2,379.8,107817,EQ,1387,77.73,10854
2026-05-20,379.95,389.4,374.45,382.65,122393,EQ,1333,91.82,5869
2026-05-21,379.0,385.9,379.0,380.45,137907,EQ,1280,107.74,10989
2026-05-22,384.8,386.75,366.1,372.8,150514,EQ,2878,52.3,17785
2026-05-25,374.2,375.0,361.0,363.0,159922,EQ,2965,53.94,15663
2026-05-26,363.45,367.5,351.7,356.05,139667,EQ,2323,60.12,18441
2026-05-27,355.95,357.8,350.75,353.1,109381,EQ,874,125.15,3536
2026-05-29,356.65,356.8,348.0,348.95,315502,EQ,2087,151.17,174531
2026-06-01,353.25,358.0,339.95,351.75,97144,EQ,2627,36.98,21192
2026-06-02,352.0,367.2,350.05,364.9,146370,EQ,2946,49.68,9927
2026-06-03,366.75,369.7,354.4,358.95,170960,EQ,5555,30.78,26804
2026-06-04,358.9,366.1,357.25,359.85,86378,EQ,3896,22.17,5613
2026-06-05,359.85,365.55,359.2,362.75,107834,EQ,2343,46.02,8164
2026-06-08,360.0,389.7,355.3,376.7,205285,EQ,4212,48.74,43959
