Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,633.0,633.0,625.0,625.0,5,EQ,5,1.0,5
2026-04-21,575.1,639.9,555.05,610.2,243,EQ,35,6.94,192
2026-04-22,639.9,639.95,636.0,636.0,31,EQ,10,3.1,27
2026-04-23,636.0,636.0,636.0,636.0,5,EQ,4,1.25,4
2026-04-24,636.0,636.0,601.0,619.5,24,EQ,8,3.0,24
2026-04-27,621.0,664.95,601.0,644.5,123,EQ,29,4.24,73
2026-04-28,644.0,644.0,638.0,638.0,2,EQ,2,1.0,2
2026-04-29,653.85,658.5,632.0,649.95,218,EQ,21,10.38,214
2026-04-30,666.0,666.0,622.55,622.6,13,EQ,8,1.62,10
2026-05-04,672.0,698.0,622.1,661.25,405,EQ,78,5.19,177
2026-05-05,635.6,655.0,635.6,655.0,262,EQ,5,52.4,142
2026-05-06,660.0,701.0,626.1,635.0,234,EQ,19,12.32,121
2026-05-07,640.0,664.0,628.0,649.4,12,EQ,8,1.5,12
2026-05-08,649.4,663.8,626.0,663.8,63,EQ,6,10.5,63
2026-05-11,678.0,678.0,607.0,616.0,77,EQ,15,5.13,66
2026-05-12,719.95,719.95,617.3,663.65,385,EQ,72,5.35,138
2026-05-13,710.0,723.0,682.15,696.8,1024,EQ,116,8.83,330
2026-05-14,696.8,698.0,625.0,664.25,38,EQ,12,3.17,25
2026-05-15,640.0,640.0,631.05,631.2,200,EQ,17,11.76,200
2026-05-18,631.2,631.2,610.1,610.1,41,EQ,11,3.73,40
2026-05-20,612.0,619.0,612.0,619.0,10,EQ,5,2.0,10
2026-05-21,671.6,678.0,623.0,670.0,534,EQ,33,16.18,315
2026-05-22,670.0,670.0,660.0,660.0,11,EQ,4,2.75,10
2026-05-25,660.0,701.0,650.0,699.95,164,EQ,19,8.63,161
2026-05-26,699.95,699.95,624.0,650.65,168,EQ,42,4.0,124
2026-05-27,650.65,651.0,650.0,650.0,102,EQ,4,25.5,102
2026-05-29,660.0,660.0,630.5,650.0,97,EQ,11,8.82,92
2026-06-01,660.0,660.0,627.0,627.0,16,EQ,14,1.14,15
2026-06-02,630.0,630.0,627.0,627.0,70,EQ,9,7.78,70
2026-06-03,630.0,639.4,610.0,638.55,110,EQ,15,7.33,106
2026-06-05,639.0,639.0,611.1,612.8,154,EQ,13,11.85,124
2026-06-10,612.0,612.0,606.0,606.0,8,EQ,4,2.0,8
2026-06-11,606.0,639.95,583.0,630.0,68,EQ,18,3.78,42
2026-06-12,634.0,637.95,595.05,603.35,146,EQ,19,7.68,70
2026-06-16,638.9,694.95,600.0,626.7,1339,EQ,126,10.63,326
2026-06-17,635.0,635.0,610.0,613.65,220,EQ,17,12.94,188
