Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,153.8,178.0,148.25,153.65,2231,EQ,66,33.8,1872
2026-04-21,154.0,160.7,150.0,153.75,2538,EQ,53,47.89,2452
2026-04-22,154.95,155.85,151.0,151.2,1216,EQ,75,16.21,955
2026-04-23,154.0,161.95,150.15,155.5,3707,EQ,77,48.14,3425
2026-04-24,155.45,158.9,151.0,156.9,1446,EQ,71,20.37,1203
2026-04-27,161.45,161.45,154.55,156.35,956,EQ,39,24.51,705
2026-04-28,158.0,158.0,151.5,153.75,3855,EQ,64,60.23,3765
2026-04-29,156.45,159.0,150.3,154.55,2880,EQ,109,26.42,2371
2026-04-30,152.05,156.95,150.55,153.1,2007,EQ,104,19.3,1776
2026-05-04,150.05,160.02,150.04,154.01,2058,EQ,63,32.67,1883
2026-05-05,154.01,156.98,154.01,156.8,333,EQ,20,16.65,266
2026-05-06,162.0,162.0,151.7,157.49,2682,EQ,117,22.92,2349
2026-05-07,163.25,163.25,157.0,159.3,668,EQ,44,15.18,455
2026-05-08,157.0,159.89,154.74,156.45,982,EQ,35,28.06,817
