Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-25,395.2,414.95,395.2,414.95,726000,ST,704,1031.25,726000
2026-06-29,394.25,394.25,394.25,394.25,78000,ST,73,1068.49,78000
2026-06-30,374.55,374.55,374.55,374.55,3600,ST,6,600.0,3600
2026-07-01,370.0,370.0,355.85,355.85,3600,ST,4,900.0,3600
2026-07-02,338.1,338.1,338.1,338.1,6000,ST,6,1000.0,6000
2026-07-03,321.2,348.0,321.2,322.3,313200,ST,299,1047.49,305400
2026-07-06,315.25,315.25,306.2,306.2,88800,ST,106,837.74,74400
2026-07-07,293.1,300.5,290.9,290.9,35400,ST,50,708.0,33600
2026-07-08,288.9,296.0,276.4,276.7,81000,ST,113,716.81,73200
2026-07-09,278.0,290.5,278.0,290.5,37800,ST,55,687.27,34200
2026-07-10,301.1,307.0,275.0,277.75,66600,SM,106,628.3,38400
2026-07-13,270.1,287.0,268.5,285.85,33000,SM,45,733.33,15600
2026-07-14,285.0,296.0,278.0,280.35,51600,SM,79,653.16,26400
2026-07-15,280.0,286.0,271.0,273.75,27600,SM,46,600.0,17400
2026-07-16,275.4,281.5,270.5,277.5,30600,SM,49,624.49,21000
2026-07-17,271.0,272.0,222.0,222.85,567000,SM,586,967.58,309600
2026-07-20,225.95,267.4,225.95,261.85,335400,SM,438,765.75,147600
2026-07-21,259.0,260.0,244.1,251.5,62400,SM,87,717.24,41400
