Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-16,129.0,133.8,120.55,128.91,9822584,EQ,81152,121.04,4282670
2026-02-17,128.9,149.69,128.8,134.93,14318825,EQ,147321,97.19,3526755
2026-02-18,136.93,141.42,128.4,129.68,5380130,EQ,37443,143.69,1143726
2026-02-19,131.0,134.3,128.12,129.14,1204432,EQ,9530,126.38,337443
2026-02-20,129.12,129.13,123.25,124.97,2030947,EQ,12137,167.34,815407
2026-02-23,126.0,127.99,120.66,123.03,1101435,EQ,9125,120.71,397697
2026-02-24,123.0,124.29,118.51,119.42,816394,EQ,9360,87.22,292708
2026-02-25,119.21,121.59,118.37,119.99,758224,EQ,12770,59.38,180143
2026-02-26,119.51,128.5,117.2,126.84,1159499,EQ,10252,113.1,401797
2026-02-27,125.0,125.0,118.0,119.05,781840,EQ,9662,80.92,333485
2026-03-02,112.0,122.25,110.9,119.22,960160,EQ,16136,59.5,236384
2026-03-04,118.0,119.89,113.25,117.85,786440,EQ,11231,70.02,144496
2026-03-05,119.0,121.4,113.83,115.26,582071,EQ,7553,77.06,146662
2026-03-06,114.5,121.45,111.0,115.78,2490438,EQ,22300,111.68,393359
2026-03-09,111.49,115.0,108.0,111.6,759362,EQ,8701,87.27,180518
2026-03-10,113.98,117.62,111.14,112.83,527687,EQ,6338,83.26,147744
2026-03-11,112.83,113.52,108.0,108.86,371418,EQ,4652,79.84,132296
2026-03-12,108.69,108.69,103.74,105.41,341297,EQ,4657,73.29,85471
2026-03-13,105.4,105.4,98.01,99.5,488332,EQ,4898,99.7,145194
2026-03-16,97.56,101.4,93.11,100.54,807322,EQ,10094,79.98,234054
2026-03-17,100.04,102.9,97.44,102.29,380841,EQ,4770,79.84,85289
2026-03-18,102.93,110.79,101.12,109.54,912642,EQ,11026,82.77,329876
2026-03-19,108.99,108.99,103.08,104.04,275658,EQ,5156,53.46,58850
2026-03-20,105.0,110.49,104.24,107.55,346626,EQ,8599,40.31,96158
2026-03-23,105.0,105.0,96.11,102.6,930011,EQ,11533,80.64,322907
2026-03-24,104.4,106.01,96.0,103.27,1356850,EQ,10310,131.61,519070
2026-03-25,103.9,113.0,103.0,111.9,871814,EQ,9083,95.98,267828
2026-03-27,110.0,110.0,97.3,99.33,1016102,EQ,11813,86.02,403163
2026-03-30,99.49,102.0,93.38,95.13,590499,EQ,6563,89.97,187476
2026-04-01,101.49,101.52,94.22,96.44,543084,EQ,7594,71.51,149784
2026-04-02,95.12,95.12,88.22,91.02,2671077,EQ,20084,133.0,818487
2026-04-06,91.02,94.0,88.56,91.41,1693709,EQ,17898,94.63,388277
2026-04-07,91.41,92.11,89.0,90.07,1254830,EQ,4775,262.79,959285
2026-04-08,96.0,102.88,93.77,100.87,2173881,EQ,18937,114.8,907858
2026-04-09,100.9,107.35,97.61,103.86,1273698,EQ,25571,49.81,453707
2026-04-10,104.5,112.96,104.49,108.32,1017856,EQ,16787,60.63,400694
2026-04-13,104.91,110.5,102.03,108.96,649260,EQ,14887,43.61,240134
2026-04-15,111.0,113.0,107.5,108.6,713939,EQ,8653,82.51,376587
2026-04-16,110.74,118.0,108.71,117.13,1155180,EQ,13092,88.24,481668
2026-04-17,117.13,120.13,113.8,118.24,477404,EQ,5859,81.48,224892
2026-04-20,118.24,127.0,117.9,123.93,1211739,EQ,12078,100.33,494973
2026-04-21,124.54,139.0,123.93,130.66,2323283,EQ,25415,91.41,965176
2026-04-22,131.78,139.5,130.66,138.44,1650540,EQ,22738,72.59,584458
2026-04-23,137.5,140.64,135.45,135.97,984628,EQ,16505,59.66,508569
2026-04-24,137.0,137.0,132.65,134.87,512167,EQ,11990,42.72,213341
2026-04-27,137.57,158.0,137.16,148.42,18536140,EQ,136321,135.97,2302978
2026-04-28,148.51,156.29,142.5,145.08,4955267,EQ,41201,120.27,1326465
2026-04-29,146.8,148.31,134.53,139.55,3361240,EQ,33159,101.37,959172
2026-04-30,139.51,139.52,131.5,132.43,1271891,EQ,12032,105.71,470234
2026-05-04,134.3,136.5,128.01,133.69,1349868,EQ,14156,95.36,435107
2026-05-05,132.91,135.5,130.35,133.58,901307,EQ,10489,85.93,232967
2026-05-06,136.0,147.43,135.12,145.67,3908941,EQ,39160,99.82,1105663
2026-05-07,146.49,146.5,140.3,141.78,999387,EQ,12139,82.33,314574
2026-05-08,142.65,157.9,142.48,150.55,4884918,EQ,40443,120.79,1359683
2026-05-11,151.16,161.38,141.0,143.64,3639203,EQ,33682,108.05,1044346
2026-05-12,142.93,143.53,133.5,134.85,2059939,EQ,23417,87.97,911276
2026-05-13,134.86,137.64,132.25,133.4,1013449,EQ,15281,66.32,330536
2026-05-14,134.47,139.67,127.22,132.47,2228108,EQ,28693,77.65,586421
2026-05-15,133.93,134.32,122.0,125.27,1161569,EQ,14620,79.45,323638
2026-05-18,125.48,129.9,123.84,128.11,859875,EQ,19601,43.87,249254
2026-05-19,132.1,139.9,128.2,138.43,3260065,EQ,25669,127.0,1610788
2026-05-20,137.91,145.0,133.92,141.22,2170815,EQ,25945,83.67,692520
2026-05-21,141.83,144.81,136.35,138.2,1158487,EQ,16153,71.72,301980
2026-05-22,139.0,143.01,136.61,140.43,919131,EQ,10329,88.99,287833
2026-05-25,145.0,149.45,142.3,145.26,2261884,EQ,21551,104.95,783833
2026-05-26,145.2,150.99,143.61,146.91,1606904,EQ,15873,101.24,626815
