Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-12,16.52,16.69,16.49,16.5,11097,EQ,88,126.1,7076
2026-03-13,16.91,16.91,16.15,16.2,8641,EQ,141,61.28,8018
2026-03-16,16.2,16.47,16.07,16.46,23686,EQ,60,394.77,22700
2026-03-17,16.54,16.58,16.36,16.51,4907,EQ,59,83.17,2691
2026-03-18,16.56,16.94,16.5,16.61,6683,EQ,25,267.32,5013
2026-03-19,16.61,16.61,16.0,16.21,28816,EQ,197,146.27,27312
2026-03-20,16.17,16.59,15.98,16.35,8386,EQ,124,67.63,4284
2026-03-23,16.07,16.27,15.38,15.41,1313137,EQ,242,5426.19,1311488
2026-03-24,15.61,15.81,15.54,15.77,3417,EQ,31,110.23,1869
2026-03-25,15.97,16.22,15.96,16.08,18372,EQ,64,287.06,16887
2026-03-27,16.0,16.0,15.6,15.69,6439,EQ,120,53.66,3662
2026-03-30,15.67,15.67,15.11,15.18,1343912,EQ,251,5354.23,1330237
2026-04-01,15.55,15.99,15.3,15.43,32566285,EQ,13659,2384.24,32179986
2026-04-02,15.5,15.5,12.08,14.69,50882,EQ,191,266.4,24960
2026-04-06,15.33,15.84,15.26,15.6,11863,EQ,138,85.96,7237
2026-04-07,15.63,15.87,15.59,15.8,7563,EQ,83,91.12,6868
2026-04-08,16.41,17.8,16.35,16.92,15213260,EQ,4145,3670.27,15163676
2026-04-09,16.92,17.5,16.31,16.35,291319,EQ,1164,250.27,123706
2026-04-10,17.09,17.09,16.48,16.69,70463,EQ,289,243.82,58596
