Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,85.0,88.95,81.05,81.85,14641,EQ,90,162.68,12996
2026-04-21,88.95,88.95,80.05,82.25,15077,EQ,261,57.77,11614
2026-04-22,84.85,86.0,81.75,83.2,5667,EQ,160,35.42,5264
2026-04-23,83.25,83.85,79.85,81.65,31233,EQ,802,38.94,16102
2026-04-24,84.8,84.8,80.75,81.25,10525,EQ,147,71.6,7939
2026-04-27,83.85,83.85,80.1,82.1,10016,EQ,237,42.26,6909
2026-04-28,79.05,84.0,79.0,83.55,12891,EQ,227,56.79,7481
2026-04-29,83.85,85.95,81.5,83.05,30161,EQ,760,39.69,14728
2026-04-30,83.95,83.95,80.7,82.65,8853,EQ,261,33.92,5921
2026-05-04,82.65,83.87,79.98,81.7,94543,EQ,695,136.03,88829
2026-05-05,81.71,83.36,79.81,80.17,28156,EQ,441,63.85,17427
2026-05-06,83.99,83.99,80.2,81.76,14499,EQ,439,33.03,9863
2026-05-07,82.16,84.97,82.16,84.04,22710,EQ,374,60.72,17306
2026-05-08,83.99,84.8,83.0,83.39,16721,EQ,348,48.05,11296
2026-05-11,84.6,85.0,83.0,84.49,27557,EQ,397,69.41,22458
2026-05-12,84.59,85.76,79.15,81.65,35827,EQ,601,59.61,28740
2026-05-13,80.4,82.99,80.0,81.85,24032,EQ,363,66.2,13574
2026-05-14,81.85,82.47,79.6,80.88,42559,EQ,442,96.29,29988
2026-05-15,80.88,83.18,80.88,81.67,11006,EQ,170,64.74,5448
2026-05-18,83.0,83.0,77.0,77.82,25936,EQ,381,68.07,17854
2026-05-19,79.94,81.59,77.98,79.21,17954,EQ,354,50.72,10556
2026-05-20,84.5,84.5,80.2,80.96,6147,EQ,219,28.07,3924
2026-05-21,80.25,81.54,79.2,80.13,34313,EQ,709,48.4,23038
2026-05-22,80.26,80.77,78.5,78.89,7171,EQ,163,43.99,4323
2026-05-25,80.0,80.0,78.5,78.96,21735,EQ,274,79.32,14403
2026-05-26,78.02,79.8,77.42,77.84,26614,EQ,252,105.61,18797
2026-05-27,78.0,80.68,77.01,79.68,12554,EQ,221,56.81,7214
2026-05-29,83.4,83.4,77.61,78.3,29365,EQ,578,50.8,18368
2026-06-01,78.3,79.88,78.3,78.69,10823,EQ,160,67.64,8540
2026-06-02,77.24,80.54,75.6,78.62,26302,EQ,331,79.46,20938
2026-06-03,76.3,79.79,76.0,77.24,15684,EQ,324,48.41,10159
2026-06-04,77.23,78.58,75.55,76.32,11934,EQ,279,42.77,7983
2026-06-05,76.78,76.83,74.15,74.51,39355,EQ,719,54.74,22024
2026-06-08,74.5,76.02,71.21,73.12,27669,EQ,778,35.56,15970
