Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-27,61.0,74.0,60.0,72.28,187142,EQ,4145,45.15,75455
2026-03-30,77.99,77.99,65.34,68.98,145091,EQ,3761,38.58,45254
2026-04-01,75.98,75.98,67.0,67.61,59248,EQ,1891,31.33,21869
2026-04-02,67.62,67.93,63.99,64.99,32798,EQ,908,36.12,14853
2026-04-06,69.8,70.98,65.95,67.23,60383,EQ,1553,38.88,10555
2026-04-07,65.95,74.45,65.58,67.78,43886,EQ,2506,17.51,7357
2026-04-08,69.0,72.7,68.0,68.38,32812,EQ,824,39.82,16959
2026-04-09,70.8,70.8,67.8,68.02,14565,EQ,564,25.82,7296
2026-04-10,68.02,69.7,66.02,66.64,28444,EQ,553,51.44,20375
2026-04-13,66.64,66.75,63.01,65.22,28557,EQ,960,29.75,12681
2026-04-15,68.0,68.0,66.26,67.38,37653,EQ,1725,21.83,9759
2026-04-16,68.9,69.0,67.0,68.39,23219,EQ,926,25.07,9009
2026-04-17,69.0,69.0,67.0,67.72,25150,EQ,801,31.4,15276
2026-04-20,67.73,68.0,66.85,67.78,12921,EQ,518,24.94,7087
2026-04-21,68.9,73.0,68.63,71.82,70889,EQ,1759,40.3,32917
2026-04-22,72.99,73.99,69.21,70.73,19145,EQ,779,24.58,6042
2026-04-23,70.73,72.38,69.21,69.69,16163,EQ,576,28.06,7423
2026-04-24,68.5,70.5,66.21,68.32,12489,EQ,505,24.73,7466
2026-04-27,68.32,72.0,67.98,71.03,17796,EQ,908,19.6,9328
2026-04-28,71.94,72.5,70.03,71.88,54652,EQ,2592,21.08,21033
2026-04-29,72.0,77.0,72.0,75.09,92932,EQ,1619,57.4,53521
2026-04-30,78.98,88.9,78.5,85.37,535988,EQ,9926,54.0,147924
