Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-19,45.0,45.09,40.12,40.58,738039378,EQ,1223374.0,603.28,268860795.0
2026-01-20,40.75,43.45,40.14,40.71,295990371,EQ,486545.0,608.35,52129373.0
2026-01-21,41.4,42.27,38.27,39.1,227367877,EQ,377123.0,602.9,32305705.0
2026-01-22,40.2,40.95,38.67,38.94,81826431,EQ,141058.0,580.09,16842289.0
2026-01-23,38.94,38.95,36.15,36.55,81632463,EQ,167199.0,488.24,19012718.0
2026-01-27,36.55,38.0,35.09,37.73,131538802,EQ,201608.0,652.45,20406207.0
2026-01-28,38.19,38.86,36.82,37.18,75489206,EQ,118031.0,639.57,16553232.0
2026-01-29,37.09,39.0,36.43,38.02,84812609,EQ,119093.0,712.15,14655660.0
2026-01-30,38.08,41.88,37.8,39.82,156252681,EQ,215765.0,724.18,25728829.0
2026-02-01,40.0,41.74,38.17,39.23,65870345,EQ,116702.0,564.43,11870563.0
2026-02-02,39.18,39.25,37.8,38.71,28264905,EQ,53957.0,523.84,6665262.0
2026-02-03,40.0,40.8,37.12,38.71,36306168,EQ,63478.0,571.95,10826165.0
2026-02-04,36.1,38.1,36.1,37.46,45277265,EQ,82403,549.46,10619606
2026-02-05,37.63,38.15,37.25,37.43,16848811,EQ,37124,453.85,4641251
2026-02-06,37.5,37.72,36.85,37.04,12409757,EQ,31291,396.59,4259363
2026-02-09,37.5,37.58,36.5,36.61,16783982,EQ,42537,394.57,6634880
2026-02-10,36.78,37.11,36.42,36.85,11882851,EQ,29875,397.75,3258053
2026-02-11,36.95,37.1,36.51,36.69,9497348,EQ,26232,362.05,2903368
2026-02-12,36.6,36.6,35.8,36.03,8157678,EQ,31440,259.47,4215176
2026-02-13,35.49,35.74,35.1,35.25,11926406,EQ,36998,322.35,5307939
2026-02-16,35.25,35.26,33.55,33.92,17403880,EQ,56184,309.77,7641325
2026-02-17,33.88,34.99,33.62,34.03,17178843,EQ,42529,403.93,4406596
2026-02-18,34.15,34.9,33.86,34.64,9266940,EQ,23318,397.42,2718767
2026-02-19,34.65,34.81,34.05,34.25,7232440,EQ,23078,313.39,2160472
2026-02-20,34.0,34.12,33.76,33.94,5717816,EQ,20401,280.27,2170822
2026-02-23,34.1,34.1,32.65,32.88,11444054,EQ,43328,264.13,5182524
2026-02-24,32.75,33.74,32.2,32.9,14291336,EQ,37514,380.96,3359941
2026-02-25,33.06,33.56,32.58,33.28,11041182,EQ,26629,414.63,3620604
2026-02-26,33.28,34.15,33.05,33.42,10604211,EQ,27331,387.99,2476662
2026-02-27,33.4,33.51,32.6,32.74,8637486,EQ,26733,323.1,3177815
2026-03-02,31.16,32.38,31.16,32.14,12534381,EQ,36845,340.19,5168383
2026-03-04,31.6,33.8,31.35,33.47,22621569,EQ,52903,427.6,5001216
2026-03-05,34.0,34.32,32.67,33.01,13592750,EQ,34668,392.08,4208206
2026-03-06,33.01,33.6,32.77,32.97,6618917,EQ,17746,372.98,1942082
2026-03-09,32.04,32.84,32.03,32.4,7064353,EQ,25401,278.11,2465007
2026-03-10,33.01,33.16,32.63,33.0,4970106,EQ,15180,327.41,2142240
2026-03-11,33.11,33.91,33.02,33.35,8797846,EQ,23115,380.61,2472503
