Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,61.5,64.05,61.1,63.7,1732,EQ,17,101.88,1426
2026-04-21,61.95,62.0,60.05,60.8,2207,EQ,34,64.91,2183
2026-04-22,62.0,62.0,60.3,61.95,3727,EQ,18,207.06,3591
2026-04-23,60.75,63.6,58.0,59.75,13904,EQ,170,81.79,10534
2026-04-24,64.95,64.95,57.9,63.1,10033,EQ,272,36.89,7529
2026-04-27,63.95,63.95,60.5,61.45,4013,EQ,179,22.42,2847
2026-04-28,63.45,63.45,60.0,60.85,3114,EQ,66,47.18,2950
2026-04-29,61.05,62.75,60.75,60.75,1840,EQ,52,35.38,1810
2026-04-30,60.75,61.7,59.5,59.75,2994,EQ,92,32.54,2450
2026-05-04,69.85,69.85,61.03,62.3,6262,EQ,160,39.14,5098
2026-05-05,62.3,62.32,60.6,61.29,3563,EQ,50,71.26,2913
2026-05-06,65.0,65.0,61.1,61.27,857,EQ,29,29.55,799
2026-05-07,62.6,71.5,62.0,69.11,47593,EQ,625,76.15,27777
2026-05-08,69.11,75.0,66.0,72.1,39631,EQ,1121,35.35,23341
