Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,609.95,609.95,599.9,600.0,32,EQ,8,4.0,30
2026-04-21,599.95,600.0,599.95,600.0,9,EQ,5,1.8,7
2026-04-22,632.3,632.3,569.95,593.8,382,EQ,54,7.07,302
2026-04-23,589.95,593.8,572.05,577.05,106,EQ,27,3.93,94
2026-04-24,577.1,590.0,577.05,584.5,73,EQ,10,7.3,71
2026-04-27,580.05,590.0,579.05,583.6,17,EQ,7,2.43,15
2026-04-28,583.0,604.8,562.55,600.6,89,EQ,11,8.09,88
2026-04-29,599.95,605.0,578.4,603.55,346,EQ,37,9.35,297
2026-04-30,602.95,603.0,578.0,598.0,56,EQ,7,8.0,52
2026-05-04,598.0,600.95,590.0,596.0,90,EQ,16,5.62,87
2026-05-05,586.05,586.05,569.0,573.3,168,EQ,14,12.0,149
2026-05-06,576.0,576.0,575.05,575.6,10,EQ,2,5.0,10
2026-05-07,621.0,621.0,571.05,600.0,294,EQ,36,8.17,270
2026-05-08,614.05,631.0,578.0,583.5,369,EQ,28,13.18,315
2026-05-11,589.0,599.0,574.05,574.35,445,EQ,33,13.48,442
2026-05-12,575.3,575.3,575.3,575.3,1,EQ,1,1.0,1
2026-05-13,575.3,580.0,570.0,570.1,130,EQ,24,5.42,105
2026-05-14,614.3,614.3,567.25,570.15,301,EQ,32,9.41,220
2026-05-15,563.25,563.25,563.25,563.25,10,EQ,2,5.0,10
2026-05-18,565.0,590.0,537.9,567.15,421,EQ,71,5.93,112
2026-05-19,567.15,602.0,567.0,584.9,139,EQ,24,5.79,122
2026-05-20,576.0,576.0,545.5,552.0,251,EQ,20,12.55,228
2026-05-21,560.05,572.85,550.0,571.45,178,EQ,24,7.42,103
2026-05-22,577.0,577.0,560.05,564.8,15,EQ,4,3.75,13
2026-05-25,577.0,584.6,563.15,577.55,182,EQ,30,6.07,105
2026-05-26,566.65,595.0,559.95,594.9,98,EQ,19,5.16,95
2026-05-27,589.9,591.9,572.15,572.15,209,EQ,7,29.86,207
2026-05-29,604.95,666.0,604.95,648.4,15805,EQ,1123,14.07,8016
2026-06-01,649.9,655.0,591.0,618.65,2092,EQ,268,7.81,878
2026-06-02,620.0,657.0,620.0,651.7,4775,EQ,284,16.81,4239
2026-06-03,630.1,658.05,630.0,645.55,1160,EQ,111,10.45,872
2026-06-04,645.55,654.5,635.0,638.75,904,EQ,106,8.53,559
2026-06-05,635.0,651.65,615.15,634.35,300,EQ,41,7.32,209
2026-06-08,631.0,640.0,601.0,618.95,447,EQ,45,9.93,320
