Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,34.5,35.5,33.2,35.05,12833,EQ,84,152.77,11570
2026-04-21,35.05,38.95,33.55,36.05,44645,EQ,367,121.65,22686
2026-04-22,37.2,37.2,34.25,35.0,40200,EQ,338,118.93,34793
2026-04-23,36.85,36.85,35.1,35.4,7942,EQ,201,39.51,6944
2026-04-24,35.0,36.8,32.25,33.35,40644,EQ,655,62.05,28685
2026-04-27,33.5,34.9,33.5,33.95,12839,EQ,176,72.95,10648
2026-04-28,35.75,35.75,34.1,34.6,6597,EQ,137,48.15,5538
2026-04-29,34.8,35.8,34.1,34.55,12378,EQ,167,74.12,10402
2026-04-30,34.6,34.95,33.65,33.85,9996,EQ,171,58.46,8522
2026-05-04,33.85,35.8,33.8,35.05,14494,EQ,167,86.79,13092
2026-05-05,35.4,35.4,34.2,34.64,4354,EQ,75,58.05,3091
2026-05-06,34.98,35.49,34.0,34.93,14961,EQ,108,138.53,14521
2026-05-07,34.8,36.55,34.1,35.44,50049,EQ,286,175.0,40186
2026-05-08,36.6,42.0,35.57,40.45,234500,EQ,902,259.98,189407
2026-05-11,41.01,43.0,38.6,41.19,230888,EQ,1398,165.16,129446
2026-05-12,42.65,43.7,38.0,38.38,256510,EQ,1438,178.38,78626
2026-05-13,38.94,41.79,37.73,40.23,72779,EQ,482,150.99,43986
2026-05-14,41.5,42.5,39.05,40.89,101727,EQ,607,167.59,48011
2026-05-15,41.05,41.49,39.5,39.97,20771,EQ,138,150.51,16090
2026-05-18,39.78,39.78,37.58,38.27,49137,EQ,455,107.99,30262
2026-05-19,37.5,39.96,37.39,37.6,28709,EQ,294,97.65,21648
2026-05-20,38.11,38.49,37.2,37.62,21402,EQ,230,93.05,11188
2026-05-21,37.5,40.6,36.53,37.67,230868,EQ,1278,180.65,143532
2026-05-22,39.9,43.74,38.77,42.01,270140,EQ,2108,128.15,138048
2026-05-25,42.99,48.1,41.51,47.0,793723,EQ,4562,173.99,295562
2026-05-26,47.2,49.59,43.3,44.93,516787,EQ,3617,142.88,236374
2026-05-27,49.99,49.99,44.0,45.45,227673,EQ,1604,141.94,127942
2026-05-29,46.8,48.0,45.6,46.22,165552,EQ,1117,148.21,112706
2026-06-01,45.0,46.0,37.11,38.04,429858,EQ,3474,123.74,247827
2026-06-02,38.0,39.82,37.3,38.94,70667,EQ,957,73.84,37020
2026-06-03,39.1,39.98,37.8,38.76,59656,EQ,602,99.1,29866
2026-06-04,39.84,39.84,37.1,37.54,56773,EQ,689,82.4,34472
2026-06-05,38.09,38.68,37.0,37.36,39707,EQ,565,70.28,22671
2026-06-08,36.66,38.58,36.48,36.91,50697,EQ,548,92.51,35198
2026-06-09,36.91,37.5,36.52,36.64,35454,EQ,451,78.61,27188
2026-06-10,37.0,37.39,36.0,36.81,27725,EQ,333,83.26,16345
2026-06-11,37.0,37.7,35.75,35.86,33597,EQ,512,65.62,21821
2026-06-12,35.7,37.67,35.7,36.95,38111,EQ,364,104.7,26371
2026-06-15,36.95,38.87,36.95,37.57,38228,EQ,403,94.86,28383
2026-06-16,37.1,38.6,37.1,37.78,27549,EQ,366,75.27,15823
2026-06-17,38.79,38.79,37.51,37.82,19529,EQ,461,42.36,6064
2026-06-18,37.89,39.2,37.1,38.27,48839,EQ,1037,47.1,13448
2026-06-19,38.27,38.82,35.68,37.93,61186,EQ,1638,37.35,26119
