Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,73.3,75.95,72.8,73.15,35667,EQ,271,131.61,34857
2026-04-21,73.15,73.5,71.0,72.9,27004,EQ,546,49.46,21730
2026-04-22,74.4,74.4,72.0,73.05,49335,EQ,651,75.78,31919
2026-04-23,73.6,75.0,72.1,73.3,100210,EQ,1027,97.58,64919
2026-04-24,73.95,73.95,72.1,72.3,49077,EQ,668,73.47,38764
2026-04-27,72.1,73.45,72.05,72.9,34891,EQ,743,46.96,24896
2026-04-28,73.5,73.5,72.4,72.75,32464,EQ,514,63.16,24365
2026-04-29,73.0,75.2,72.8,73.4,159883,EQ,2080,76.87,77371
2026-04-30,73.05,73.9,72.75,73.25,59987,EQ,696,86.19,48446
2026-05-04,73.85,75.0,73.3,73.61,82663,EQ,935,88.41,46763
2026-05-05,73.54,73.67,73.01,73.42,45831,EQ,753,60.86,35556
2026-05-06,74.79,74.79,74.0,74.47,70669,EQ,1059,66.73,49930
2026-05-07,75.0,79.5,74.56,77.53,545990,EQ,4849,112.6,306541
2026-05-08,78.9,79.0,77.06,77.13,85695,EQ,1791,47.85,60404
