Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-29,111.2,116.75,105.65,115.8,2189000,ST,1014,2158.78,2161000
2026-06-01,110.05,110.05,110.05,110.05,10000,ST,9,1111.11,10000
2026-06-02,104.55,112.9,104.55,106.15,271000,ST,110,2463.64,221000
2026-06-03,104.95,111.45,101.5,111.15,254000,ST,112,2267.86,223000
2026-06-04,113.4,116.7,113.4,116.7,23000,ST,21,1095.24,23000
2026-06-05,118.15,122.5,118.15,122.5,23000,ST,23,1000.0,23000
2026-06-08,126.0,128.6,126.0,128.6,84000,ST,47,1787.23,81000
2026-06-09,133.95,133.95,125.0,130.15,46000,ST,41,1121.95,37000
2026-06-10,132.85,132.85,123.65,124.8,303000,ST,65,4661.54,300000
2026-06-11,120.0,123.9,118.6,119.2,453000,ST,52,8711.54,324000
2026-06-12,127.9,136.5,121.0,134.55,214000,SM,117,1829.06,122000
2026-06-15,134.0,139.9,133.0,134.8,48000,SM,36,1333.33,31000
2026-06-16,133.05,136.0,130.0,132.75,19000,SM,19,1000.0,14000
2026-06-17,132.1,135.5,131.5,133.6,46000,SM,28,1642.86,33000
2026-06-18,137.0,142.0,133.05,140.35,132000,SM,102,1294.12,102000
2026-06-19,139.05,141.0,138.0,139.6,24000,SM,21,1142.86,21000
2026-06-22,138.5,141.55,137.0,138.0,107000,SM,36,2972.22,94000
2026-06-23,137.05,137.15,135.5,135.5,15000,SM,10,1500.0,12000
2026-06-24,131.5,145.0,131.5,143.4,126000,SM,66,1909.09,68000
2026-06-25,148.0,148.0,140.0,144.1,101000,SM,37,2729.73,79000
