Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,235.1,248.95,226.0,244.4,1185,EQ,65,18.23,859
2026-04-21,240.0,250.0,234.5,246.55,1752,EQ,74,23.68,1500
2026-04-22,246.0,255.0,234.0,242.8,2676,EQ,115,23.27,670
2026-04-23,242.05,242.05,237.0,237.4,334,EQ,47,7.11,252
2026-04-24,240.95,251.0,224.0,237.15,1981,EQ,103,19.23,959
2026-04-27,237.05,246.0,236.0,245.6,1406,EQ,28,50.21,1344
2026-04-28,249.95,249.95,237.0,237.0,743,EQ,41,18.12,510
2026-04-29,246.95,252.0,236.95,240.55,3628,EQ,108,33.59,2378
2026-04-30,241.8,246.95,233.0,240.1,1231,EQ,43,28.63,246
2026-05-04,242.01,250.0,242.01,248.98,456,EQ,14,32.57,450
2026-05-05,248.0,258.98,236.55,241.03,1936,EQ,127,15.24,1300
2026-05-06,251.75,289.23,237.0,286.49,38386,EQ,615,62.42,18585
2026-05-07,305.0,305.0,277.0,289.66,62259,EQ,1635,38.08,16147
2026-05-08,294.0,305.0,288.6,296.7,3691,EQ,207,17.83,1570
2026-05-11,298.19,298.19,283.3,296.35,1878,EQ,114,16.47,1652
2026-05-12,296.95,296.95,282.0,288.36,1449,EQ,88,16.47,1134
2026-05-13,288.0,312.0,275.5,301.17,61951,EQ,943,65.7,22879
2026-05-14,302.0,308.0,290.0,293.13,1528,EQ,166,9.2,1196
2026-05-15,293.0,293.13,285.35,289.58,525,EQ,43,12.21,398
2026-05-18,305.0,305.0,280.15,282.57,1290,EQ,109,11.83,809
2026-05-19,288.0,296.5,284.5,292.95,821,BE,29,28.31,821
2026-05-20,300.0,307.59,292.95,307.59,1234,BE,29,42.55,1234
2026-05-21,322.0,322.0,303.0,312.11,1731,BE,51,33.94,1731
2026-05-22,315.0,327.71,304.0,327.66,5713,BE,117,48.83,5713
2026-05-25,344.0,344.04,325.0,334.44,2191,BE,105,20.87,2191
2026-05-26,343.5,351.16,335.0,351.16,2281,BE,117,19.5,2281
2026-05-27,363.0,367.4,353.0,363.63,4298,BE,111,38.72,4298
2026-05-29,370.0,381.0,350.0,376.0,31842,BE,253,125.86,31842
2026-06-01,390.0,394.8,357.2,357.2,6245,BE,214,29.18,6245
2026-06-02,351.0,351.0,339.35,339.35,1169,BE,32,36.53,1169
2026-06-03,322.4,322.4,322.4,322.4,1171,BE,30,39.03,1171
2026-06-04,306.3,306.3,306.3,306.3,2906,BE,19,152.95,2906
2026-06-05,291.0,291.0,291.0,291.0,382,BE,12,31.83,382
2026-06-08,277.0,277.0,276.45,276.45,200,BE,17,11.76,200
2026-06-09,262.65,273.7,262.65,262.65,2059,BE,33,62.39,2059
2026-06-10,249.55,275.75,249.55,273.75,1908,BE,78,24.46,1908
2026-06-11,267.1,283.0,262.0,283.0,2763,BE,18,153.5,2763
2026-06-12,276.05,293.95,269.0,280.6,1646,BE,128,12.86,1646
