Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-20,45.26,47.52,43.0,46.65,7311,BE,55,132.93,7311
2026-02-23,47.0,48.98,44.4,45.68,12261,BE,97,126.4,12261
2026-02-24,47.84,47.84,44.46,45.0,2777,BE,50,55.54,2777
2026-02-25,43.1,46.49,43.1,44.16,4943,BE,102,48.46,4943
2026-02-26,44.16,45.96,42.01,43.92,8544,BE,88,97.09,8544
2026-02-27,43.0,43.99,42.11,42.61,2553,BE,88,29.01,2553
2026-03-02,40.51,43.35,40.48,42.76,12380,BE,140,88.43,12380
2026-03-04,40.67,41.98,40.63,40.63,7596,BE,105,72.34,7596
2026-03-05,40.63,41.49,38.6,40.0,17165,BE,172,99.8,17165
2026-03-06,40.0,40.0,38.0,38.6,14227,BE,111,128.17,14227
2026-03-09,38.99,38.99,36.7,37.78,14534,BE,121,120.12,14534
2026-03-10,37.67,39.65,37.67,39.28,4912,BE,64,76.75,4912
2026-03-11,39.19,40.0,38.2,38.84,2330,BE,53,43.96,2330
2026-03-12,38.84,40.0,37.14,40.0,8053,BE,59,136.49,8053
2026-03-13,39.98,39.98,38.0,38.11,8770,BE,75,116.93,8770
2026-03-16,38.11,38.98,36.55,38.78,4457,BE,54,82.54,4457
2026-03-17,38.57,38.78,37.5,37.99,6930,BE,51,135.88,6930
2026-03-18,39.85,39.88,38.28,39.88,3762,BE,44,85.5,3762
2026-03-19,39.7,40.5,39.7,39.71,14732,BE,59,249.69,14732
2026-03-20,41.6,41.68,38.21,38.74,6859,BE,60,114.32,6859
2026-03-23,38.0,38.0,36.81,37.37,6022,BE,126,47.79,6022
2026-03-24,37.37,38.9,35.62,36.42,6634,BE,61,108.75,6634
2026-03-25,36.42,38.24,35.4,38.0,7266,BE,60,121.1,7266
2026-03-27,37.99,37.99,36.1,36.14,14567,BE,74,196.85,14567
2026-03-30,37.0,37.39,34.51,36.01,7807,BE,58,134.6,7807
2026-04-01,36.0,37.05,35.01,36.87,8667,BE,66,131.32,8667
2026-04-02,36.98,36.98,35.05,36.46,5078,BE,92,55.2,5078
2026-04-06,36.48,38.1,35.36,37.58,1902,BE,44,43.23,1902
2026-04-07,37.43,37.99,36.05,37.15,4388,BE,62,70.77,4388
2026-04-08,38.87,39.0,37.0,39.0,7973,BE,67,119.0,7973
2026-04-09,40.9,40.95,39.98,40.95,10536,BE,64,164.62,10536
2026-04-10,40.75,42.99,40.75,42.99,6534,BE,33,198.0,6534
