Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,33.5,37.0,33.0,36.7,10813,EQ,85,127.21,6649
2026-04-21,35.3,36.65,35.3,35.6,181,EQ,10,18.1,173
2026-04-22,37.25,37.25,34.7,34.7,3681,EQ,125,29.45,2464
2026-04-23,34.65,35.8,32.1,34.95,9405,EQ,98,95.97,6560
2026-04-24,34.05,35.15,33.55,33.9,1686,EQ,29,58.14,1120
2026-04-27,34.65,35.0,32.95,33.15,16122,EQ,89,181.15,15148
2026-04-28,33.85,34.7,33.1,33.4,13416,EQ,169,79.38,9518
2026-04-29,34.1,34.1,33.1,33.3,3687,EQ,64,57.61,3069
2026-04-30,33.8,33.95,32.55,33.8,2305,EQ,56,41.16,1986
2026-05-04,35.0,35.0,33.66,33.7,6903,EQ,31,222.68,6832
2026-05-05,34.9,35.0,32.96,33.54,3626,EQ,65,55.78,2823
2026-05-06,33.54,34.8,33.0,34.29,5859,EQ,140,41.85,5074
2026-05-07,33.65,34.24,32.06,32.57,13516,EQ,160,84.48,11099
2026-05-08,34.0,35.0,33.3,34.17,12408,EQ,233,53.25,10196
2026-05-11,34.9,34.9,33.25,33.54,6811,EQ,148,46.02,5658
2026-05-12,33.58,33.9,32.8,33.59,4046,EQ,81,49.95,2945
2026-05-13,33.55,34.0,32.5,32.71,2094,EQ,46,45.52,1841
2026-05-14,33.0,33.22,32.71,32.99,1219,EQ,35,34.83,1218
2026-05-15,32.99,38.45,32.99,36.19,127960,EQ,927,138.04,37862
2026-05-18,38.9,38.9,34.2,38.15,129245,EQ,841,153.68,45314
2026-05-19,39.0,39.0,35.5,36.52,33208,EQ,298,111.44,21657
2026-05-20,36.06,36.98,35.5,36.16,14540,EQ,89,163.37,10457
2026-05-21,37.0,37.72,34.93,36.2,20430,EQ,312,65.48,10486
2026-05-22,35.3,37.3,33.0,35.99,34262,EQ,560,61.18,15221
2026-05-25,35.55,36.6,34.05,34.48,27163,EQ,248,109.53,19647
2026-05-26,35.7,35.7,32.15,33.55,14431,EQ,137,105.34,8630
