Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-09,860.0,898.05,812.55,812.55,297359,BE,5865.0,50.7,297359.0
2026-01-12,812.55,812.55,771.95,771.95,24399,BE,223.0,109.41,24399.0
2026-01-13,733.4,763.0,733.4,733.4,192767,BE,2771.0,69.57,192767.0
2026-01-14,696.75,770.05,696.75,767.05,203869,BE,4146.0,49.17,203869.0
2026-01-16,759.9,805.4,737.65,766.0,68333,BE,1611.0,42.42,68333.0
2026-01-19,740.1,758.95,727.7,727.7,30876,BE,604.0,51.12,30876.0
2026-01-20,691.35,715.0,691.35,691.35,50907,BE,1519.0,33.51,50907.0
2026-01-21,661.0,680.0,656.8,656.8,18262,BE,668.0,27.34,18262.0
2026-01-22,661.0,689.6,661.0,678.05,39797,BE,1231.0,32.33,39797.0
2026-01-23,695.0,695.0,651.05,666.75,13189,BE,811.0,16.26,13189.0
2026-01-27,677.5,681.0,636.0,653.6,58309,EQ,2330.0,25.03,38558.0
2026-01-28,641.1,744.0,641.1,731.35,86609,EQ,3603.0,24.04,56917.0
2026-01-29,722.1,751.05,689.95,713.95,63465,EQ,3575.0,17.75,31362.0
2026-01-30,703.2,770.0,687.4,751.15,59453,EQ,2431.0,24.46,44421.0
2026-02-01,735.0,782.95,710.05,724.2,41050,EQ,2310.0,17.77,25463.0
2026-02-02,712.0,748.9,700.0,737.9,33320,EQ,2466.0,13.51,22131.0
2026-02-03,740.05,821.65,740.05,790.15,241574,EQ,3865.0,62.5,198458.0
2026-02-04,790.15,807.0,786.8,801.7,21966,EQ,1048,20.96,15399
2026-02-05,790.0,833.0,790.0,829.25,41215,EQ,1574,26.18,25013
2026-02-06,830.0,840.0,792.0,813.5,45232,EQ,1653,27.36,30999
2026-02-09,842.45,862.0,820.3,848.65,66341,EQ,2973,22.31,42787
2026-02-10,849.0,887.7,816.7,839.75,39664,EQ,2258,17.57,25190
2026-02-11,841.0,901.0,797.05,859.7,134952,EQ,4526,29.82,88916
2026-02-12,900.0,968.0,881.65,925.85,272641,EQ,14132,19.29,95859
2026-02-13,920.0,941.8,836.0,852.9,113632,EQ,6717,16.92,40213
2026-02-16,853.0,887.0,831.1,851.45,69666,EQ,4566,15.26,41253
