Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-21,571.9,633.9,570.05,606.5,24241476,EQ,362381.0,66.89,6688613.0
2025-11-24,603.5,636.0,581.75,625.25,7318296,EQ,139274.0,52.55,1319359.0
2025-11-25,618.9,750.3,612.9,732.15,24054760,EQ,343501.0,70.03,1851239.0
2025-11-26,726.85,798.95,666.75,689.3,44194333,EQ,569768.0,77.57,2493727.0
2025-11-27,694.0,730.0,663.5,676.15,22489700,EQ,344627.0,65.26,1468612.0
2025-11-28,681.05,697.7,626.65,644.0,9308614,EQ,146949.0,63.35,899577.0
2025-12-01,635.0,643.7,617.2,626.5,4605155,EQ,93186.0,49.42,421242.0
2025-12-02,626.5,657.55,613.0,647.1,3781594,EQ,64236.0,58.87,317581.0
2025-12-03,643.95,667.2,624.05,634.15,5563170,EQ,109114.0,50.98,317341.0
2025-12-04,650.0,724.8,640.0,695.7,23906002,EQ,359553.0,66.49,1392939.0
2025-12-05,704.0,723.8,677.4,703.15,16893353,EQ,272923.0,61.9,1016659.0
2025-12-08,703.0,703.15,646.15,660.95,3568229,EQ,75555.0,47.23,346112.0
2025-12-09,651.0,715.95,628.75,705.55,9588344,EQ,171007.0,56.07,476885.0
2025-12-10,698.6,713.65,678.15,702.1,4033437,EQ,79339.0,50.84,203102.0
2025-12-11,691.0,736.9,683.0,725.25,7889718,EQ,136704.0,57.71,394332.0
2025-12-12,714.9,733.3,713.05,719.35,3060597,EQ,55260.0,55.39,207803.0
2025-12-15,718.65,742.0,688.0,703.4,4048985,EQ,79386.0,51.0,374109.0
2025-12-16,696.3,699.8,672.15,677.25,1941217,EQ,40792.0,47.59,198411.0
2025-12-17,680.4,689.4,661.35,679.9,1851063,EQ,40322.0,45.91,165223.0
2025-12-18,681.0,694.0,671.1,678.0,1192306,EQ,27882.0,42.76,91563.0
2025-12-19,678.9,685.8,668.15,672.25,808224,EQ,20262.0,39.89,87436.0
2025-12-22,679.0,726.8,668.4,693.45,3983314,EQ,91436.0,43.56,339512.0
2025-12-23,697.95,704.0,680.0,686.55,931789,EQ,23517.0,39.62,106522.0
