Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-10,120.6,122.18,120.6,122.02,150711,EQ,1842.0,81.82,91908.0
2025-11-11,122.0,124.2,121.5,123.77,91178,EQ,854.0,106.77,83634.0
2025-11-12,123.77,123.77,122.54,123.28,113544,EQ,673.0,168.71,106710.0
2025-11-13,123.28,126.2,122.75,125.88,108758,EQ,700.0,155.37,88632.0
2025-11-14,125.88,126.95,124.22,124.69,23419,EQ,528.0,44.35,7200.0
2025-11-17,124.69,124.69,121.0,122.76,29593,EQ,711.0,41.62,18853.0
2025-11-18,121.4,122.0,120.05,120.96,74421,EQ,693.0,107.39,35838.0
2025-11-19,120.98,123.37,120.98,122.78,124935,EQ,531.0,235.28,55867.0
2025-11-20,122.77,122.77,121.0,122.02,43734,EQ,331.0,132.13,40652.0
2025-11-21,122.02,122.67,120.0,122.45,99495,EQ,522.0,190.6,72994.0
2025-11-24,120.99,123.0,120.99,122.9,239540,EQ,514.0,466.03,17714.0
2025-11-25,123.0,124.78,123.0,124.3,108888,EQ,444.0,245.24,91651.0
2025-11-26,124.3,125.52,124.05,125.38,147919,EQ,423.0,349.69,137191.0
2025-11-27,125.38,125.67,124.74,125.25,280950,EQ,566.0,496.38,201245.0
2025-11-28,125.25,126.29,125.21,125.76,303419,EQ,757.0,400.82,229847.0
2025-12-01,126.0,127.95,126.0,127.88,281688,EQ,710.0,396.74,192619.0
2025-12-02,127.88,128.2,126.44,127.13,40537,EQ,490.0,82.73,10290.0
2025-12-03,120.0,128.2,120.0,127.6,26580,EQ,334.0,79.58,17630.0
2025-12-04,127.6,128.95,126.85,127.34,27331,EQ,367.0,74.47,17674.0
2025-12-05,127.33,128.2,126.9,128.08,27987,EQ,338.0,82.8,19484.0
2025-12-08,128.08,128.5,127.1,127.8,36553,EQ,342.0,106.88,24274.0
2025-12-09,127.8,128.2,126.72,127.92,199622,EQ,591.0,337.77,160404.0
2025-12-10,127.92,127.92,127.0,127.5,21264,EQ,225.0,94.51,17434.0
