Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-24,211.0,221.55,211.0,221.55,2364600,ST,2089,1131.93,2361600
2026-06-25,216.0,224.0,210.5,210.5,600000,ST,696,862.07,519600
2026-06-29,206.15,206.5,200.0,200.0,156000,ST,185,843.24,153000
2026-06-30,194.1,198.9,190.0,190.5,475800,ST,507,938.46,430800
2026-07-01,190.0,192.0,181.2,184.8,213000,ST,276,771.74,182400
2026-07-02,183.6,194.0,183.0,194.0,134400,ST,182,738.46,116400
2026-07-03,195.0,200.0,190.0,199.1,104400,ST,156,669.23,91800
2026-07-06,195.05,199.0,189.15,189.8,69000,ST,108,638.89,61200
2026-07-07,187.0,189.1,183.25,184.6,37800,ST,61,619.67,34800
2026-07-08,181.25,192.9,176.0,179.85,121800,ST,146,834.25,104400
