Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-30,8.54,8.96,8.54,8.96,60,BE,9.0,6.67,60.0
2026-02-01,9.4,9.4,9.4,9.4,7,BE,4.0,1.75,7.0
2026-02-02,9.87,9.87,9.87,9.87,331,BE,7.0,47.29,331.0
2026-02-03,10.36,10.36,10.36,10.36,77,BE,7.0,11.0,77.0
2026-02-04,10.87,10.87,10.87,10.87,28,BE,6,4.67,28
2026-02-05,11.41,11.41,11.41,11.41,31,BE,2,15.5,31
2026-02-06,11.98,11.98,11.98,11.98,24,BE,6,4.0,24
2026-02-16,12.57,12.57,12.57,12.57,48,BE,5,9.6,48
2026-02-23,12.0,13.19,12.0,13.19,130,BE,10,13.0,130
2026-03-02,13.84,13.84,13.84,13.84,83,BE,7,11.86,83
2026-03-09,14.53,14.53,14.53,14.53,52,BE,4,13.0,52
2026-03-16,15.25,15.25,15.25,15.25,349,BE,1,349.0,349
2026-03-23,15.25,16.01,15.25,16.01,128,BE,9,14.22,128
2026-03-30,16.81,16.81,16.81,16.81,85,BE,6,14.17,85
2026-04-01,17.65,17.65,17.65,17.65,13,BE,3,4.33,13
2026-04-02,18.53,18.53,18.53,18.53,3,BE,2,1.5,3
2026-04-06,19.45,19.45,19.45,19.45,112,BE,2,56.0,112
2026-04-07,20.42,20.42,20.42,20.42,250,BE,19,13.16,250
2026-04-08,21.44,21.44,21.44,21.44,22,BE,5,4.4,22
2026-04-09,22.51,22.51,22.51,22.51,7,BE,3,2.33,7
2026-04-13,23.63,23.63,23.63,23.63,265,BE,5,53.0,265
