Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-30,160.0,168.7,152.22,154.06,9685688,EQ,85987,112.64,2788472
2026-04-01,157.81,162.85,156.15,160.1,2023192,EQ,22881,88.42,770258
2026-03-30,160.0,168.7,152.22,154.06,9685688,EQ,85987,112.64,2788472
2026-04-01,157.81,162.85,156.15,160.1,2023192,EQ,22881,88.42,770258
2026-04-02,155.0,157.0,153.25,155.99,812346,EQ,17794,45.65,311940
2026-04-06,155.26,155.99,151.0,152.3,684788,EQ,10817,63.31,301281
2026-04-07,151.47,154.9,150.16,151.47,520265,EQ,9703,53.62,197671
2026-04-08,155.8,158.9,152.4,156.33,1116696,EQ,13908,80.29,495556
2026-04-09,156.32,168.4,154.52,163.29,1842279,EQ,22805,80.78,695239
2026-04-10,164.7,168.0,162.21,165.94,1176144,EQ,16598,70.86,443461
2026-04-13,164.0,173.0,160.35,170.09,3169293,EQ,37801,83.84,1166464
2026-04-15,173.6,173.9,168.72,170.9,2821908,EQ,23681,119.16,1334035
2026-04-16,173.0,176.4,169.62,172.73,8177320,EQ,48481,168.67,5264260
2026-04-17,175.01,187.85,175.01,180.87,14616501,EQ,84906,172.15,7820548
2026-04-20,182.0,193.0,181.0,188.99,7223254,EQ,53438,135.17,3360388
2026-04-21,191.2,192.6,184.0,185.05,2872680,EQ,27386,104.9,1416592
