Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,7.6,8.0,7.0,7.45,195967,EQ,331,592.05,111631
2026-04-21,7.85,8.0,7.5,7.7,616853,EQ,576,1070.93,501930
2026-04-22,7.6,7.65,7.35,7.6,191466,EQ,527,363.31,144648
2026-04-23,7.45,7.65,7.45,7.6,41798,EQ,265,157.73,35887
2026-04-24,7.45,7.6,7.3,7.35,109801,EQ,420,261.43,98265
2026-04-27,7.35,7.7,7.2,7.3,100776,EQ,473,213.06,73368
2026-04-28,7.3,7.45,7.2,7.3,62506,EQ,238,262.63,55593
2026-04-29,7.25,7.45,7.1,7.2,127635,EQ,878,145.37,93768
2026-04-30,7.15,7.35,6.95,7.3,161612,EQ,1548,104.4,116621
2026-05-04,7.25,7.28,7.05,7.13,89094,EQ,749,118.95,57915
2026-05-05,7.14,7.24,6.95,7.07,109974,EQ,585,187.99,73405
2026-05-06,7.04,7.45,7.04,7.28,135855,EQ,414,328.15,91524
2026-05-07,7.43,8.0,7.2,7.48,393572,EQ,544,723.48,162535
2026-05-08,7.3,8.2,7.3,7.99,1226919,EQ,854,1436.67,831059
