Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-15,1470.0,1497.8,1413.0,1438.4,12889175,EQ,416387.0,30.95,4297863.0
2025-12-16,1414.0,1466.5,1380.1,1441.1,3127896,EQ,138201.0,22.63,479703.0
2025-12-17,1438.0,1481.9,1380.0,1402.9,1210546,EQ,66630.0,18.17,226518.0
2025-12-18,1410.0,1434.0,1341.0,1366.4,533166,EQ,30032.0,17.75,147317.0
2025-12-19,1392.0,1438.7,1368.1,1374.3,591914,EQ,34997.0,16.91,93931.0
2025-12-22,1385.0,1393.0,1344.5,1354.5,186082,EQ,13078.0,14.23,47617.0
2025-12-23,1361.0,1374.3,1336.6,1362.6,209038,EQ,18505.0,11.3,40982.0
2025-12-24,1362.0,1380.8,1342.0,1347.7,115809,EQ,9435.0,12.27,31741.0
2025-12-26,1341.0,1369.9,1341.0,1364.7,134534,EQ,10936.0,12.3,45836.0
2025-12-29,1363.0,1380.0,1344.5,1365.4,92232,EQ,7204.0,12.8,34117.0
2025-12-30,1374.0,1395.0,1365.4,1385.1,107110,EQ,10696.0,10.01,39658.0
2025-12-31,1385.1,1425.9,1370.0,1384.9,133095,EQ,12067.0,11.03,35927.0
2026-01-01,1389.3,1415.0,1387.9,1402.4,88994,EQ,7054.0,12.62,19160.0
2026-01-02,1409.4,1455.0,1406.0,1443.5,229326,EQ,16706.0,13.73,99603.0
2026-01-05,1454.3,1524.0,1412.9,1467.1,497437,EQ,37330.0,13.33,92462.0
2026-01-06,1461.3,1479.1,1423.1,1430.4,112790,EQ,10601.0,10.64,33720.0
2026-01-07,1435.4,1477.0,1435.4,1447.5,133654,EQ,9635.0,13.87,31540.0
2026-01-08,1449.0,1484.8,1438.5,1463.0,161642,EQ,11554.0,13.99,53272.0
2026-01-09,1448.0,1463.2,1413.7,1430.1,82838,EQ,7330.0,11.3,25738.0
2026-01-12,1406.0,1431.4,1391.6,1400.3,165460,EQ,8187.0,20.21,111107.0
2026-01-13,1408.9,1465.0,1396.1,1432.9,161172,EQ,11666.0,13.82,95870.0
2026-01-14,1433.8,1479.9,1432.2,1475.2,61207,EQ,6384.0,9.59,21712.0
2026-01-16,1506.8,1519.6,1494.2,1500.5,111849,EQ,10468.0,10.68,60897.0
2026-01-19,1500.0,1541.0,1490.2,1506.2,128877,EQ,10990.0,11.73,35310.0
2026-01-20,1501.2,1505.0,1434.5,1458.8,40341,EQ,5461.0,7.39,18427.0
2026-01-21,1448.0,1456.6,1379.2,1388.3,66474,EQ,8999.0,7.39,22967.0
2026-01-22,1399.0,1416.6,1381.1,1390.6,38775,EQ,5133.0,7.55,10299.0
2026-01-23,1393.9,1477.3,1363.9,1404.8,111406,EQ,13948.0,7.99,26783.0
2026-01-27,1408.0,1426.0,1384.2,1419.6,47165,EQ,6007.0,7.85,24659.0
2026-01-28,1420.0,1452.0,1388.9,1449.8,37687,EQ,5063.0,7.44,14937.0
2026-01-29,1435.7,1478.6,1401.0,1466.4,90255,EQ,7554.0,11.95,56673.0
2026-01-30,1462.5,1486.0,1447.1,1479.2,27135,EQ,2957.0,9.18,14008.0
2026-02-01,1479.0,1485.0,1419.6,1448.7,10003,EQ,1953.0,5.12,2733.0
2026-02-02,1448.0,1468.0,1432.6,1459.6,31968,EQ,4802.0,6.66,12062.0
2026-02-03,1459.6,1508.3,1435.3,1501.8,67576,EQ,9455.0,7.15,19118.0
2026-02-04,1490.0,1505.0,1461.0,1474.6,14480,EQ,2041,7.09,5720
2026-02-05,1482.1,1538.0,1482.1,1526.0,65118,EQ,5969,10.91,33461
2026-02-06,1540.0,1560.0,1508.2,1537.3,73481,EQ,9081,8.09,24878
2026-02-09,1550.0,1644.0,1529.7,1635.5,106032,EQ,11699,9.06,36984
2026-02-10,1621.1,1651.0,1604.1,1633.6,58135,EQ,7594,7.66,21708
2026-02-11,1633.2,1660.8,1583.2,1606.7,64502,EQ,5487,11.76,38802
2026-02-12,1614.9,1636.0,1604.2,1614.1,17505,EQ,2751,6.36,5507
2026-02-13,1624.0,1624.0,1580.0,1593.1,30627,EQ,8065,3.8,15316
2026-02-16,1593.1,1594.5,1534.0,1543.2,18753,EQ,2893,6.48,8938
2026-02-17,1543.8,1590.0,1543.8,1577.2,18545,EQ,2650,7.0,7949
2026-02-18,1590.0,1606.0,1575.2,1588.2,12629,EQ,2011,6.28,4317
2026-02-19,1580.6,1594.0,1550.0,1568.6,22212,EQ,5456,4.07,11125
2026-02-20,1569.7,1570.0,1501.4,1524.1,12565,EQ,1931,6.51,4412
2026-02-23,1525.0,1595.0,1525.0,1574.8,36250,EQ,5982,6.06,14473
2026-02-24,1574.1,1619.5,1570.3,1594.7,30560,EQ,5166,5.92,10625
2026-02-25,1607.0,1633.6,1600.8,1618.9,12896,EQ,2301,5.6,5923
2026-02-26,1619.0,1638.5,1593.4,1612.4,11498,EQ,2025,5.68,5726
2026-02-27,1603.6,1624.8,1562.0,1587.2,11946,EQ,2845,4.2,4484
2026-03-02,1513.2,1615.0,1513.1,1580.0,14035,EQ,2119,6.62,5290
2026-03-04,1570.0,1570.0,1530.1,1545.3,10050,EQ,1736,5.79,4970
2026-03-05,1550.0,1572.9,1549.9,1565.0,11277,EQ,2729,4.13,5911
2026-03-06,1565.0,1605.0,1555.2,1581.4,8872,EQ,1500,5.91,4196
2026-03-09,1552.6,1589.4,1545.0,1567.4,8739,EQ,1578,5.54,3441
2026-03-10,1570.9,1699.0,1570.0,1631.5,99545,EQ,11191,8.9,16011
2026-03-11,1620.1,1685.0,1601.0,1616.5,30695,EQ,3598,8.53,8795
2026-03-12,1610.0,1621.8,1582.3,1588.6,7599,EQ,1526,4.98,3986
2026-03-13,1587.9,1603.9,1520.8,1538.6,55299,EQ,8727,6.34,31104
2026-03-16,1540.0,1567.4,1505.0,1554.7,95186,EQ,4564,20.86,80355
2026-03-17,1570.0,1580.0,1544.4,1561.0,54864,EQ,3565,15.39,47121
2026-03-18,1570.0,1666.9,1570.0,1631.1,39267,EQ,5505,7.13,17653
2026-03-19,1629.5,1635.2,1590.0,1601.6,18268,EQ,2793,6.54,7861
2026-03-20,1625.0,1660.0,1602.0,1650.5,22039,EQ,3161,6.97,8550
2026-03-23,1632.0,1637.0,1579.1,1591.4,20204,EQ,2387,8.46,11687
2026-03-24,1630.0,1630.0,1559.9,1572.7,26450,EQ,4739,5.58,12140
2026-03-25,1595.0,1630.0,1555.0,1582.5,66350,EQ,4951,13.4,38535
2026-03-27,1582.5,1606.7,1567.4,1581.4,38135,EQ,5345,7.13,23042
2026-03-30,1560.2,1575.1,1535.0,1556.0,33741,EQ,5673,5.95,23890
2026-04-01,1595.0,1611.8,1526.8,1541.0,21724,EQ,2529,8.59,8782
2026-04-02,1541.0,1568.0,1485.5,1499.2,30605,EQ,4173,7.33,15411
2026-04-06,1510.0,1519.9,1476.2,1484.9,12890,EQ,2461,5.24,6344
2026-04-07,1488.1,1523.7,1463.0,1516.2,49161,EQ,7811,6.29,27726
2026-04-08,1550.0,1575.0,1530.0,1554.7,15800,EQ,2073,7.62,6983
2026-04-09,1553.0,1590.3,1528.1,1561.9,39953,EQ,2074,19.26,29118
2026-04-10,1561.9,1583.9,1551.0,1564.5,22762,EQ,1763,12.91,17602
2026-04-13,1541.0,1603.8,1510.0,1577.3,21899,EQ,3814,5.74,8585
2026-04-15,1600.0,1600.5,1566.1,1582.0,13177,EQ,1756,7.5,6169
2026-04-16,1594.9,1599.0,1561.4,1574.8,9793,EQ,1146,8.55,4678
2026-04-17,1580.0,1640.8,1563.6,1619.5,32054,EQ,3869,8.28,14484
2026-04-20,1620.0,1724.0,1619.0,1698.3,76437,EQ,8148,9.38,23438
2026-04-21,1372.3,1698.3,1372.3,1612.6,98781,EQ,10083,9.8,27231
2026-04-22,1630.0,1649.0,1622.2,1631.0,15055,EQ,3329,4.52,5919
2026-04-23,1649.0,1710.0,1636.0,1644.5,44010,EQ,5566,7.91,21675
2026-04-24,1660.0,1674.3,1623.0,1633.4,13536,EQ,2404,5.63,5308
2026-04-27,1655.0,1695.0,1647.6,1686.3,23939,EQ,4031,5.94,11918
2026-04-28,1686.3,1743.8,1675.5,1685.2,37213,EQ,4344,8.57,14034
2026-04-29,1700.0,1712.0,1678.0,1690.2,10000,EQ,1739,5.75,4039
2026-04-30,1700.0,1742.5,1676.0,1726.6,27496,EQ,4803,5.72,10943
2026-05-04,1748.0,1765.0,1705.0,1730.6,17640,EQ,2912,6.06,7565
2026-05-05,1736.0,1786.6,1720.1,1760.8,23801,EQ,5062,4.7,9220
2026-05-06,1775.0,1790.0,1736.0,1745.8,10757,EQ,2315,4.65,4693
2026-05-07,1755.0,1755.0,1719.0,1742.9,7748,EQ,1724,4.49,3268
2026-05-08,1760.0,1760.0,1679.9,1712.3,12742,EQ,1896,6.72,7708
2026-05-11,1700.0,1807.4,1700.0,1755.8,47515,EQ,5440,8.73,15623
2026-05-12,1776.0,1949.4,1602.8,1631.2,265583,EQ,24633,10.78,73178
2026-05-13,1663.9,1718.8,1640.3,1707.2,72990,EQ,6099,11.97,24782
2026-05-14,1729.2,1810.0,1718.8,1785.9,107018,EQ,10552,10.14,49118
2026-05-15,1794.0,1849.9,1755.0,1777.3,43487,EQ,7841,5.55,13065
2026-05-18,1779.0,1828.0,1760.0,1820.2,31318,EQ,4188,7.48,15115
2026-05-19,1829.3,1864.0,1776.0,1781.8,54888,EQ,8303,6.61,32635
2026-05-20,1779.1,1829.8,1722.0,1731.8,45457,EQ,8282,5.49,23872
2026-05-21,1760.0,1760.0,1703.1,1706.4,27164,EQ,2975,9.13,17989
2026-05-22,1734.9,1734.9,1678.1,1684.6,28415,EQ,2850,9.97,20968
