Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-02,113.0,113.0,107.35,107.35,517052,BE,4253,121.57,517052
2026-07-03,101.99,101.99,101.99,101.99,99490,BE,2173,45.78,99490
2026-07-06,107.0,107.08,97.55,107.08,455798,BE,3729,122.23,455798
2026-07-07,111.3,111.3,103.65,105.72,355929,BE,1744,204.09,355929
2026-07-08,102.0,103.61,100.44,100.46,238399,BE,2100,113.52,238399
2026-07-09,102.0,102.0,95.55,99.17,250081,BE,2402,104.11,250081
2026-07-10,100.9,101.0,97.0,100.31,544391,BE,1092,498.53,544391
2026-07-13,100.31,100.31,95.6,99.4,184628,BE,1338,137.99,184628
2026-07-14,98.0,99.4,97.02,97.54,528079,BE,1402,376.66,528079
2026-07-15,99.9,102.41,97.25,101.1,313033,BE,1483,211.08,313033
2026-07-16,100.91,109.8,100.9,106.24,646568,EQ,7748,83.45,263957
