Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,115.0,124.3,115.0,120.2,2397728,EQ,24081,99.57,968966
2026-04-21,121.7,123.0,115.6,117.7,696467,EQ,6557,106.22,322538
2026-04-22,117.35,122.0,114.8,120.7,708848,EQ,6068,116.82,289250
2026-04-23,119.35,130.0,119.0,123.9,1299408,EQ,9908,131.15,550149
2026-04-24,125.7,126.9,118.5,119.1,596582,EQ,5024,118.75,348993
2026-04-27,122.0,124.25,118.8,123.55,396044,EQ,3523,112.42,220894
2026-04-28,123.95,125.35,120.7,122.95,383442,EQ,3420,112.12,202292
2026-04-29,124.0,130.95,121.2,126.1,1011895,EQ,8128,124.49,537028
2026-04-30,123.5,126.0,123.15,123.95,544374,EQ,5185,104.99,211433
2026-05-04,126.39,128.0,119.65,120.89,438369,EQ,4646,94.35,239818
2026-05-05,121.4,125.0,120.18,124.22,317562,EQ,2899,109.54,181410
2026-05-06,125.11,126.05,122.91,124.73,222260,EQ,2722,81.65,122378
2026-05-07,125.0,127.0,123.87,125.08,272933,EQ,3367,81.06,162796
2026-05-08,124.9,127.5,120.5,120.93,628417,EQ,6614,95.01,328069
2026-05-11,123.44,123.44,116.25,116.76,600036,EQ,6592,91.02,319286
2026-05-12,117.89,117.89,114.8,116.44,523404,EQ,4503,116.23,323294
2026-05-13,118.17,126.99,116.77,121.05,1403715,EQ,13507,103.93,497620
2026-05-14,122.89,124.0,120.35,121.12,308444,EQ,3502,88.08,178818
2026-05-15,126.0,127.45,121.39,122.67,727223,EQ,7366,98.73,356285
2026-05-18,125.62,125.62,117.5,121.8,452452,EQ,6940,65.19,209500
2026-05-19,123.99,140.0,123.64,135.87,5585752,EQ,52771,105.85,1769014
2026-05-20,135.9,154.7,135.9,150.54,7654925,EQ,66311,115.44,2600504
2026-05-21,153.54,159.0,142.5,144.78,3134095,EQ,27434,114.24,1131497
2026-05-22,145.9,146.8,140.8,142.87,1151741,EQ,14083,81.78,469199
2026-05-25,144.0,150.21,142.85,148.26,1258016,EQ,11262,111.7,543377
2026-05-26,149.79,177.91,149.5,176.86,9281769,EQ,53894,172.22,2851863
2026-05-27,180.7,181.5,164.6,166.71,4950909,EQ,43685,113.33,2285859
2026-05-29,166.73,169.95,160.5,162.28,1617858,EQ,16019,101.0,886522
2026-06-01,170.42,173.17,163.2,164.92,2055190,EQ,16932,121.38,1018072
2026-06-02,164.53,169.25,163.74,165.8,1286393,EQ,12478,103.09,603717
2026-06-03,166.5,180.39,166.5,174.73,5171197,EQ,38881,133.0,1737655
2026-06-04,175.04,176.49,167.0,168.55,1586238,EQ,12727,124.64,847081
2026-06-05,170.67,170.7,165.1,170.06,1605686,EQ,12276,130.8,961192
2026-06-08,168.01,168.01,160.0,161.55,1139866,EQ,9346,121.96,607394
