Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-19,68.66,69.4,67.02,67.26,22313,EQ,209,106.76,21905
2026-02-20,67.98,68.67,67.23,67.72,59776,EQ,193,309.72,48156
2026-02-23,68.11,68.36,67.1,67.55,2943407,EQ,679,4334.91,2935501
2026-02-24,67.55,67.97,66.34,67.0,97171,EQ,361,269.17,79063
2026-02-25,67.4,67.7,67.09,67.49,73339,EQ,107,685.41,70204
2026-02-26,67.64,68.37,67.58,68.36,146919,EQ,104,1412.68,143889
2026-02-27,68.56,68.56,67.26,67.51,87121,EQ,234,372.31,77617
2026-03-02,67.98,68.5,66.62,67.43,213467,EQ,644,331.47,161252
2026-03-04,68.78,68.78,66.4,66.77,231598,EQ,489,473.62,209633
2026-03-05,67.32,69.14,67.2,68.3,122549,EQ,388,315.85,93077
2026-03-06,69.03,72.0,68.36,69.86,462398,EQ,943,490.35,399871
2026-03-09,71.6,71.95,67.2,68.34,257122,EQ,1632,157.55,213141
2026-03-10,69.46,69.46,68.0,69.17,195443,EQ,554,352.79,170634
2026-03-11,70.89,71.1,67.66,67.88,247019,EQ,629,392.72,221136
2026-03-12,68.21,68.27,66.54,67.42,149610,EQ,480,311.69,120346
2026-03-13,68.2,68.2,64.9,65.0,205626,EQ,971,211.77,171616
2026-03-16,66.62,66.62,63.5,64.66,196722,EQ,697,282.24,106374
2026-03-17,65.9,66.21,64.52,65.75,250247,EQ,530,472.16,169993
2026-03-18,65.9,66.88,65.9,66.58,169099,EQ,573,295.11,116050
2026-03-19,66.58,66.58,63.63,63.94,85320,EQ,702,121.54,71491
2026-03-20,64.78,65.09,63.31,63.48,282947,EQ,666,424.85,227255
2026-03-23,65.06,65.06,60.33,60.61,252175,EQ,1216,207.38,146673
2026-03-24,61.97,72.0,60.81,62.09,217735,EQ,396,549.84,175064
2026-03-25,62.76,63.65,62.5,62.79,418912,EQ,829,505.32,267326
2026-03-27,63.1,63.1,60.73,61.09,217651,EQ,805,270.37,162359
2026-03-30,61.0,72.0,58.91,59.66,177245,EQ,1419,124.91,88985
2026-04-01,60.66,63.42,60.56,62.3,224919,EQ,904,248.8,118797
2026-04-02,62.35,62.59,60.25,62.36,136990,EQ,718,190.79,78994
2026-04-06,62.35,63.75,61.65,63.5,335709,EQ,670,501.06,304744
2026-04-07,63.55,64.15,62.61,64.02,186731,EQ,512,364.71,96826
2026-04-08,65.95,66.6,65.68,66.56,191380,EQ,670,285.64,146223
2026-04-09,66.89,68.06,65.99,67.5,352570,EQ,826,426.84,246524
2026-04-10,68.11,68.92,68.11,68.47,125307,EQ,526,238.23,74788
2026-04-13,68.47,68.77,66.43,68.7,186933,EQ,884,211.46,128725
2026-04-15,69.49,70.51,69.49,70.39,200958,EQ,817,245.97,151584
2026-04-16,72.7,72.7,70.55,71.35,222536,EQ,749,297.11,173992
2026-04-17,71.71,72.6,71.4,72.27,231742,EQ,1096,211.44,178976
2026-04-20,70.0,73.08,70.0,72.06,238257,EQ,835,285.34,144391
2026-04-21,72.0,73.15,71.97,72.44,216452,EQ,549,394.27,185264
2026-04-22,72.81,73.45,72.22,73.31,196376,EQ,707,277.76,154655
2026-04-23,75.14,75.14,72.8,73.76,306583,EQ,739,414.86,153200
2026-04-24,74.18,74.18,72.05,72.57,231224,EQ,891,259.51,195822
2026-04-27,73.87,73.88,72.73,73.07,201092,EQ,559,359.74,175031
2026-04-28,73.07,73.77,72.9,73.23,75213,EQ,436,172.51,53686
2026-04-29,73.91,74.72,73.66,74.02,259927,EQ,779,333.67,190801
2026-04-30,74.78,74.78,72.7,73.99,181448,EQ,552,328.71,157677
