Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-17,61.0,64.05,59.0,64.05,6168175,BE,18464.0,334.06,6168175.0
2025-09-18,63.25,63.25,60.84,60.84,2140022,BE,8322.0,257.15,2140022.0
2025-09-19,59.0,59.69,57.79,57.79,1059436,BE,4551.0,232.79,1059436.0
2025-09-22,54.9,60.44,54.9,59.88,1823405,BE,6122.0,297.84,1823405.0
2025-09-23,58.5,58.9,56.88,56.88,713918,BE,3147.0,226.86,713918.0
2025-09-24,55.01,56.99,54.03,54.03,395548,BE,3469.0,114.02,395548.0
2025-09-25,53.7,56.73,52.0,54.99,1171624,BE,3445.0,340.09,1171624.0
2025-09-26,56.69,56.69,52.24,53.16,308290,BE,2007.0,153.61,308290.0
2025-09-29,53.1,54.16,52.11,53.45,125967,BE,1045.0,120.54,125967.0
2025-09-30,53.25,53.25,51.25,51.79,207620,BE,2086.0,99.53,207620.0
2025-10-01,52.98,52.98,49.51,51.28,634755,EQ,4862.0,130.55,318409.0
2025-10-03,52.43,52.8,50.1,52.04,278559,EQ,3659.0,76.13,141239.0
2025-10-06,52.04,52.04,50.62,50.95,331000,EQ,2698.0,122.68,225149.0
2025-10-07,51.0,54.0,51.0,51.87,600199,EQ,4737.0,126.7,257844.0
2025-10-08,51.95,53.53,49.41,50.73,370623,EQ,2738.0,135.36,166983.0
2025-10-09,51.0,51.16,49.56,50.32,228305,EQ,2221.0,102.79,114517.0
2025-10-10,50.54,50.8,49.8,50.3,136465,EQ,1217.0,112.13,92930.0
2025-10-13,50.3,50.3,49.1,49.19,141142,EQ,1502.0,93.97,103205.0
2025-10-14,49.79,49.79,46.49,48.04,390207,EQ,3485.0,111.97,222167.0
2025-10-15,48.01,48.66,44.3,44.67,923285,EQ,6678.0,138.26,579285.0
2025-10-16,44.89,46.4,42.91,43.37,1351422,EQ,6864.0,196.89,808789.0
2025-10-17,43.37,44.2,42.52,42.73,353491,EQ,3871.0,91.32,165195.0
2025-10-20,43.8,43.8,40.48,42.45,460982,EQ,4031.0,114.36,215375.0
