Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-19,35.47,35.61,35.31,35.57,16757,EQ,111.0,150.96,13130.0
2025-12-22,35.74,36.6,35.72,35.98,16853,EQ,115.0,146.55,15240.0
2025-12-23,36.16,36.27,36.04,36.22,11123,EQ,84.0,132.42,10691.0
2025-12-24,36.22,36.37,36.13,36.18,13177,EQ,143.0,92.15,12064.0
2025-12-26,36.18,36.3,36.12,36.16,3303,EQ,110.0,30.03,2677.0
2025-12-29,36.34,36.34,35.86,35.91,20779,EQ,152.0,136.7,15702.0
2025-12-30,36.8,36.8,35.84,36.02,7118,EQ,98.0,72.63,6346.0
2025-12-31,36.11,36.48,36.11,36.41,4456,EQ,56.0,79.57,4336.0
2026-01-01,36.46,36.52,36.3,36.47,20622,EQ,57.0,361.79,20372.0
2026-01-02,36.6,37.01,36.58,37.01,4225,EQ,53.0,79.72,4120.0
2026-01-05,37.75,37.75,36.74,36.77,6793,EQ,111.0,61.2,4926.0
2026-01-06,37.68,37.68,36.79,36.87,10960,EQ,83.0,132.05,8219.0
2026-01-07,36.87,37.05,36.8,36.99,12516,EQ,73.0,171.45,12516.0
2026-01-08,37.17,37.17,35.93,35.99,27423,EQ,348.0,78.8,26510.0
2026-01-09,36.14,36.25,35.8,35.91,27468,EQ,125.0,219.74,26101.0
2026-01-12,36.0,36.25,35.65,36.23,45799,EQ,154.0,297.4,31251.0
2026-01-13,36.3,36.42,36.13,36.38,6871,EQ,79.0,86.97,4149.0
2026-01-14,36.19,36.78,36.19,36.62,16525,EQ,63.0,262.3,12892.0
2026-01-16,36.77,36.99,36.71,36.86,6873,EQ,83.0,82.81,5422.0
2026-01-19,37.33,37.33,36.56,36.67,7949,EQ,120.0,66.24,7060.0
2026-01-20,36.67,36.67,35.93,35.98,10467,EQ,146.0,71.69,9347.0
2026-01-21,35.98,36.12,35.55,35.98,23821,EQ,116.0,205.35,15098.0
2026-01-22,36.71,36.71,36.11,36.22,11340,EQ,63.0,180.0,7383.0
2026-01-23,36.27,36.48,35.92,35.93,3736,EQ,70.0,53.37,2828.0
2026-01-27,36.3,36.49,35.93,36.39,7887,EQ,86.0,91.71,5945.0
2026-01-28,37.4,38.03,36.75,37.32,4855,EQ,106.0,45.8,4227.0
2026-01-29,37.38,37.83,37.38,37.81,18622,EQ,76.0,245.03,10462.0
2026-01-30,37.99,37.99,36.66,36.88,8875,EQ,190.0,46.71,8462.0
2026-02-01,37.8,37.8,35.6,36.05,26021,EQ,225.0,115.65,24605.0
2026-02-02,36.0,36.65,35.65,36.62,19589,EQ,115.0,170.34,8977.0
2026-02-03,36.99,37.39,36.83,37.12,48875,EQ,87.0,561.78,38773.0
2026-02-04,37.3,37.42,36.82,37.41,17333,EQ,80,216.66,13145
2026-02-05,37.59,37.59,37.0,37.18,2839,EQ,77,36.87,1749
2026-02-06,37.36,37.36,36.74,37.16,44278,EQ,114,388.4,17192
2026-02-09,37.42,37.42,37.09,37.28,22760,EQ,89,255.73,16417
2026-02-10,37.46,37.56,37.27,37.47,7897,EQ,113,69.88,5562
2026-02-11,37.47,37.51,37.2,37.38,8787,EQ,102,86.15,6204
2026-02-12,37.38,37.39,36.8,36.91,22093,EQ,162,136.38,13726
2026-02-13,37.09,37.09,35.95,36.13,11964,EQ,199,60.12,11785
2026-02-16,36.24,36.49,35.95,36.47,7792,EQ,89,87.55,4450
2026-02-17,36.41,36.63,36.35,36.56,8943,EQ,86,103.99,8805
2026-02-18,36.56,36.73,36.44,36.71,8468,EQ,87,97.33,7458
2026-02-19,36.8,36.93,36.17,36.24,26564,EQ,162,163.98,20662
2026-02-20,36.12,36.46,36.12,36.43,20182,EQ,67,301.22,18655
2026-02-23,36.61,36.63,36.2,36.43,4341,EQ,109,39.83,3643
2026-02-24,36.21,36.43,36.0,36.36,9954,EQ,100,99.54,9592
2026-02-25,36.5,37.0,36.5,36.91,27349,EQ,93,294.08,20595
2026-02-26,36.99,37.08,36.75,36.92,3430,EQ,98,35.0,2852
2026-02-27,36.93,37.06,36.76,36.8,4070,EQ,85,47.88,3935
2026-03-02,36.03,36.6,35.9,36.34,31263,EQ,219,142.75,28220
2026-03-04,36.5,36.5,35.31,35.37,42895,EQ,272,157.7,33338
2026-03-05,35.72,36.04,35.72,35.92,4688,EQ,73,64.22,4034
2026-03-06,36.09,36.13,35.77,35.81,7901,EQ,86,91.87,7889
2026-03-09,35.81,35.81,34.69,35.03,28433,EQ,202,140.76,21970
2026-03-10,35.33,35.54,34.98,35.5,12768,EQ,100,127.68,8510
2026-03-11,35.67,35.87,35.29,35.3,6130,EQ,118,51.95,3365
2026-03-12,34.9,35.86,34.87,35.64,5353,EQ,83,64.49,4185
2026-03-13,35.57,35.59,34.69,34.77,33270,EQ,270,123.22,32477
2026-03-16,34.68,34.75,34.01,34.36,26045,EQ,229,113.73,23196
2026-03-17,34.38,34.73,34.22,34.67,6135,EQ,77,79.68,3806
2026-03-18,34.97,35.15,34.82,34.96,7054,EQ,61,115.64,7007
2026-03-19,34.56,34.61,33.91,34.05,17241,EQ,235,73.37,15869
2026-03-20,34.45,34.78,34.25,34.3,4373,EQ,77,56.79,2667
2026-03-23,34.47,34.47,33.15,33.25,43767,EQ,222,197.15,38039
2026-03-24,33.6,33.88,33.34,33.71,15608,EQ,85,183.62,14672
