Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,4700.0,4823.0,4700.0,4787.85,49,EQ,19,2.58,41
2026-04-21,4823.0,4998.0,4600.0,4861.05,821,EQ,302,2.72,506
2026-04-22,4899.95,4900.0,4781.1,4852.8,199,EQ,114,1.75,102
2026-04-23,4852.8,5200.0,4751.0,4949.75,2002,EQ,734,2.73,1592
2026-04-24,4989.95,5125.05,4835.55,5004.5,1205,EQ,400,3.01,866
2026-04-27,5078.0,5100.0,4900.0,4981.05,915,EQ,203,4.51,775
2026-04-28,4970.8,5040.0,4894.55,4939.35,589,EQ,218,2.7,400
2026-04-29,4967.45,5059.7,4940.1,4980.5,199,EQ,108,1.84,127
2026-04-30,4940.0,5027.85,4940.0,4969.55,376,EQ,85,4.42,262
2026-05-04,4969.5,5199.0,4969.5,5088.5,2868,EQ,1348,2.13,1982
2026-05-05,4975.3,5167.0,4975.3,5035.1,564,EQ,256,2.2,390
2026-05-06,5035.1,5150.0,5000.0,5101.8,751,EQ,297,2.53,472
2026-05-07,5100.0,5165.9,5059.0,5072.9,436,EQ,142,3.07,324
2026-05-08,5040.0,5142.8,5017.1,5104.0,525,EQ,260,2.02,308
