Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-17,50.0,52.5,47.5,47.5,79374,BE,478,166.05,79374
2026-02-18,45.13,45.13,45.13,45.13,5291,BE,136,38.9,5291
2026-02-19,42.88,42.88,42.88,42.88,5869,BE,138,42.53,5869
2026-02-20,40.74,45.02,40.74,41.22,202710,BE,793,255.62,202710
2026-02-23,39.16,39.16,39.16,39.16,52381,BE,260,201.47,52381
2026-02-24,37.25,38.0,37.21,37.21,42344,BE,393,107.75,42344
2026-02-25,35.35,36.99,35.35,35.35,109675,BE,432,253.88,109675
2026-02-26,33.59,33.59,33.59,33.59,23123,BE,160,144.52,23123
2026-02-27,31.92,31.92,31.92,31.92,97221,BE,471,206.41,97221
2026-03-02,30.33,33.51,30.33,33.19,198907,BE,618,321.86,198907
2026-03-04,33.98,33.98,28.61,29.5,178323,EQ,2242,79.54,109813
2026-03-05,30.5,33.0,28.6,30.05,91116,EQ,748,121.81,46146
2026-03-06,31.0,31.0,27.75,29.05,132374,EQ,955,138.61,100894
2026-03-09,25.55,27.9,25.55,26.3,116438,EQ,1066,109.23,53640
2026-03-10,26.3,27.9,26.16,26.43,100233,EQ,772,129.84,70031
2026-03-11,25.25,27.46,25.25,25.92,48832,EQ,597,81.8,30379
2026-03-12,25.92,26.08,24.7,25.12,95691,EQ,759,126.08,79342
2026-03-13,25.7,26.78,22.3,23.83,71381,EQ,717,99.56,57204
2026-03-16,23.83,23.83,21.34,22.29,72032,EQ,726,99.22,59860
2026-03-17,22.29,24.98,22.29,22.91,317480,EQ,1538,206.42,259127
2026-03-18,23.49,24.8,23.1,23.35,195290,EQ,907,215.31,148662
2026-03-19,23.0,24.02,22.4,22.52,94961,EQ,716,132.63,64972
2026-03-20,22.01,23.43,21.82,21.96,131658,EQ,530,248.41,102058
2026-03-23,23.48,23.48,20.85,21.0,170033,EQ,754,225.51,137890
2026-03-24,21.8,22.0,20.01,20.23,138880,EQ,1162,119.52,105043
2026-03-25,20.05,21.21,19.1,20.02,136378,EQ,1155,118.08,115205
2026-03-27,20.49,20.5,19.1,19.19,144675,EQ,838,172.64,118113
2026-03-30,20.0,21.1,17.28,17.36,304014,EQ,1776,171.18,227370
2026-04-01,19.0,19.09,18.2,18.92,122851,EQ,3139,39.14,103877
2026-04-02,18.86,19.87,17.65,18.57,125266,EQ,1393,89.93,87760
2026-04-06,18.61,20.42,18.61,20.4,489605,EQ,3726,131.4,449807
2026-04-07,20.98,22.3,20.39,21.73,179204,EQ,956,187.45,135937
2026-04-08,23.9,23.9,22.56,23.39,231035,EQ,567,407.47,198569
2026-04-09,23.02,23.57,22.23,22.32,86600,EQ,591,146.53,55366
2026-04-10,21.55,23.4,21.55,22.97,167444,EQ,794,210.89,136022
2026-04-13,22.39,22.59,21.85,22.25,34331,EQ,475,72.28,21353
2026-04-15,22.24,23.36,21.92,23.36,154216,EQ,378,407.98,134729
2026-04-16,23.61,24.52,23.61,24.52,24167,EQ,64,377.61,24132
2026-04-17,25.74,25.74,25.0,25.74,129418,EQ,731,177.04,99113
2026-04-20,26.69,27.02,25.56,26.37,116778,EQ,1187,98.38,76393
2026-04-21,25.15,26.0,25.06,25.06,255122,EQ,958,266.31,213423
2026-04-22,25.95,25.95,24.02,24.79,58277,EQ,581,100.3,37762
2026-04-23,24.42,25.85,24.42,24.6,95582,EQ,477,200.38,59493
2026-04-24,25.5,25.5,24.63,25.02,120670,EQ,636,189.73,93035
2026-04-27,25.99,25.99,24.01,24.84,99424,EQ,905,109.86,73249
2026-04-28,24.0,25.8,23.6,24.58,85572,EQ,436,196.27,55998
2026-04-29,25.49,25.49,24.21,24.87,194940,EQ,726,268.51,180943
2026-04-30,25.25,26.11,24.16,26.11,79541,EQ,1456,54.63,69046
2026-05-04,27.41,27.41,27.41,27.41,23642,EQ,67,352.87,23642
2026-05-05,28.78,28.78,28.78,28.78,35844,EQ,98,365.76,35844
2026-05-06,30.21,30.21,30.21,30.21,97695,EQ,86,1135.99,97695
2026-05-07,31.72,31.72,29.26,30.1,537604,EQ,1317,408.2,382681
2026-05-08,31.3,31.35,28.71,29.0,221332,EQ,2059,107.49,142926
2026-05-11,27.7,29.38,27.7,28.66,142512,EQ,1113,128.04,97395
2026-05-12,28.5,29.5,27.23,27.31,56214,EQ,463,121.41,39389
2026-05-13,27.31,28.67,27.31,27.86,98759,EQ,622,158.78,78019
2026-05-14,28.5,28.5,27.22,27.75,84558,EQ,813,104.01,53572
2026-05-15,27.26,28.44,27.26,27.7,72820,EQ,841,86.59,47081
2026-05-18,28.9,28.9,26.32,26.87,105985,EQ,678,156.32,79315
2026-05-19,26.87,28.21,26.87,28.21,95150,EQ,265,359.06,79663
2026-05-20,27.46,27.8,26.8,26.8,81462,EQ,223,365.3,71165
2026-05-21,26.0,28.0,26.0,27.47,88984,EQ,492,180.86,67815
2026-05-22,27.47,27.58,26.1,26.19,81830,EQ,668,122.5,59716
2026-05-25,26.01,27.19,25.55,26.0,47805,EQ,1036,46.14,38141
2026-05-26,26.0,26.97,24.7,25.34,51478,EQ,1046,49.21,37658
2026-05-27,26.6,26.6,25.22,25.83,19599,EQ,258,75.97,11885
2026-05-29,26.02,26.02,24.55,25.08,33403,EQ,277,120.59,25367
2026-06-01,25.98,25.98,23.9,24.46,63441,EQ,554,114.51,51531
2026-06-02,23.3,24.76,23.3,24.47,18732,EQ,170,110.19,11721
2026-06-03,25.1,25.69,24.71,25.22,30661,EQ,240,127.75,27247
2026-06-04,26.45,26.45,24.25,25.34,88546,EQ,803,110.27,59527
2026-06-05,24.55,25.34,24.51,24.82,39076,EQ,292,133.82,30099
2026-06-08,24.82,24.93,24.0,24.07,33032,EQ,343,96.3,29097
2026-06-09,24.89,24.89,23.6,23.92,63704,EQ,536,118.85,57892
2026-06-10,23.8,24.79,23.53,23.67,35298,EQ,880,40.11,29243
2026-06-11,23.4,24.6,23.4,23.57,54033,EQ,196,275.68,50768
2026-06-12,24.4,24.67,23.25,23.51,48969,EQ,243,201.52,44820
2026-06-15,24.0,24.66,23.52,23.65,52148,EQ,717,72.73,38528
2026-06-16,23.8,24.35,23.41,23.52,38185,EQ,309,123.58,32615
2026-06-17,23.52,23.52,23.06,23.4,41352,EQ,458,90.29,33484
2026-06-18,24.3,24.3,23.2,23.29,37951,EQ,1021,37.17,28955
2026-06-19,23.32,23.75,22.13,23.23,71323,BE,157,454.29,71323
2026-06-22,23.7,24.3,23.12,23.76,81815,BE,205,399.1,81815
2026-06-23,24.25,24.25,23.1,23.41,52063,BE,139,374.55,52063
2026-06-24,24.38,24.38,23.16,23.64,161663,BE,156,1036.3,161663
2026-06-25,24.3,24.3,23.22,23.91,189817,BE,241,787.62,189817
