Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-10-10,1001.43,1001.44,1001.43,1001.44,700,EQ,7.0,100.0,700.0
2025-10-13,1026.47,1026.47,996.0,1001.56,4,EQ,3.0,1.33,3.0
2025-10-14,1001.69,1001.71,1001.69,1001.71,680,EQ,2.0,340.0,675.0
2025-10-15,1001.85,1001.85,1001.85,1001.85,1,EQ,1.0,1.0,1.0
2025-10-16,1006.85,1006.85,1001.97,1001.97,2,EQ,2.0,1.0,0.0
2025-10-24,1003.42,1003.42,1003.42,1003.42,66,EQ,1.0,66.0,66.0
2025-10-28,1003.71,1003.71,1003.71,1003.71,50,EQ,1.0,50.0,50.0
2025-10-31,1004.44,1004.44,1004.44,1004.44,1,EQ,1.0,1.0,1.0
2025-11-04,1004.85,1004.85,1004.85,1004.85,1,EQ,1.0,1.0,1.0
2025-11-06,1009.87,1009.87,1004.98,1004.98,5,EQ,4.0,1.25,5.0
2025-11-10,1005.5,1005.5,1005.5,1005.5,66,EQ,1.0,66.0,66.0
2025-11-11,1005.64,1005.64,1005.64,1005.64,2,EQ,1.0,2.0,2.0
2025-11-12,1005.79,1005.79,1005.79,1005.79,248,EQ,1.0,248.0,248.0
2025-11-14,1006.33,1006.33,1006.33,1006.33,1,EQ,1.0,1.0,1.0
2025-11-17,1006.48,1006.48,1006.48,1006.48,1640,EQ,7.0,234.29,1640.0
2025-11-26,1007.71,1007.73,1007.71,1007.73,1041,EQ,3.0,347.0,600.0
2025-11-27,1007.87,1007.87,1007.87,1007.87,11,EQ,2.0,5.5,11.0
2025-11-28,1008.29,1008.3,1008.29,1008.3,2604,EQ,7.0,372.0,2604.0
2025-12-01,1008.41,1008.42,1008.41,1008.41,2002,EQ,6.0,333.67,2001.0
2025-12-02,1008.57,1008.57,1008.56,1008.57,2048,EQ,4.0,512.0,2048.0
2025-12-03,1008.69,1008.71,1008.69,1008.71,5023,EQ,10.0,502.3,4200.0
2025-12-04,1008.82,1008.82,1008.82,1008.82,4100,EQ,4.0,1025.0,4100.0
2025-12-05,1009.25,1009.25,1009.23,1009.24,3524,EQ,6.0,587.33,2924.0
2025-12-08,1009.39,1009.39,1009.39,1009.39,10305,EQ,4.0,2576.25,10305.0
2025-12-09,1009.53,1009.53,1009.53,1009.53,3500,EQ,2.0,1750.0,3500.0
2025-12-10,1009.66,1009.66,1009.65,1009.66,2502,EQ,4.0,625.5,2502.0
2025-12-11,1009.78,1009.79,1009.78,1009.78,4024,EQ,4.0,1006.0,4024.0
2025-12-12,1010.18,1010.19,1010.18,1010.18,13777,EQ,4.0,3444.25,13775.0
2025-12-15,1010.32,1010.32,1010.32,1010.32,2500,EQ,2.0,1250.0,2500.0
2025-12-16,1010.46,1010.46,1010.45,1010.46,2510,EQ,3.0,836.67,2510.0
2025-12-17,1010.61,1010.61,1010.59,1010.59,4500,EQ,3.0,1500.0,3500.0
2025-12-18,1010.74,1010.74,1010.72,1010.72,4634,EQ,7.0,662.0,3608.0
2025-12-19,1011.13,1011.13,1011.12,1011.12,3100,EQ,2.0,1550.0,3100.0
2025-12-22,1011.26,1011.28,1011.26,1011.28,2325,EQ,9.0,258.33,2074.0
2025-12-23,1011.42,1011.42,1011.42,1011.42,400,EQ,5.0,80.0,400.0
2025-12-24,1011.7,1011.7,1011.69,1011.7,2520,EQ,5.0,504.0,2520.0
2025-12-26,1012.1,1012.12,1012.1,1012.12,7270,EQ,6.0,1211.67,7125.0
2025-12-29,1012.26,1012.26,1012.24,1012.24,2500,EQ,3.0,833.33,1000.0
2025-12-30,1012.4,1012.4,1012.4,1012.4,500,EQ,1.0,500.0,500.0
2025-12-31,1012.54,1012.54,1012.54,1012.54,77152,EQ,10.0,7715.2,77152.0
2026-01-01,1012.68,1012.68,1012.67,1012.68,2613,EQ,9.0,290.33,2609.0
2026-01-02,1013.07,1013.09,1013.07,1013.08,5695,EQ,72.0,79.1,2853.0
2026-01-05,1013.21,1013.23,1013.21,1013.23,2995,EQ,63.0,47.54,2313.0
2026-01-06,1013.35,1013.35,1013.35,1013.35,3383,EQ,2.0,1691.5,3383.0
2026-01-07,1013.51,1013.51,1013.49,1013.5,1686,EQ,5.0,337.2,1268.0
2026-01-08,1013.65,1013.65,1013.65,1013.65,2500,EQ,2.0,1250.0,2500.0
2026-01-09,1014.08,1014.09,1014.08,1014.09,2551,EQ,4.0,637.75,2551.0
2026-01-12,1014.21,1014.22,1014.21,1014.22,5105,EQ,5.0,1021.0,5105.0
2026-01-13,1014.37,1014.37,1014.37,1014.37,2000,EQ,2.0,1000.0,2000.0
2026-01-14,1014.65,1014.65,1014.64,1014.65,2560,EQ,5.0,512.0,2560.0
2026-01-16,1015.04,1015.06,1015.04,1015.06,1154,EQ,11.0,104.91,977.0
2026-01-19,1015.17,1015.19,1015.17,1015.17,5530,EQ,4.0,1382.5,5500.0
2026-01-20,1015.33,1015.33,1015.32,1015.33,901,EQ,5.0,180.2,901.0
2026-01-21,1010.0,1015.46,1010.0,1015.46,2621,EQ,7.0,374.43,2177.0
2026-01-22,1015.61,1015.61,1015.61,1015.61,3598,EQ,4.0,899.5,3598.0
2026-01-23,1016.17,1016.17,1016.14,1016.15,3506,EQ,5.0,701.2,3500.0
2026-01-27,1016.28,1016.29,1016.28,1016.28,4180,EQ,9.0,464.44,4179.0
2026-01-28,1016.41,1016.42,1016.41,1016.42,19746,EQ,11.0,1795.09,19742.0
2026-01-29,1016.57,1016.57,1016.57,1016.57,2000,EQ,1.0,2000.0,2000.0
2026-01-30,1016.97,1016.99,1016.97,1016.99,5500,EQ,2.0,2750.0,4500.0
2026-02-01,1020.0,1020.0,1017.05,1017.05,2,EQ,2.0,1.0,0.0
2026-02-02,1017.12,1017.12,1017.11,1017.11,1001,EQ,4.0,250.25,1001.0
2026-02-03,1017.24,1017.24,1017.23,1017.23,6511,EQ,7.0,930.14,6276.0
2026-02-04,1017.33,1017.33,1017.33,1017.33,7000,EQ,3,2333.33,7000
2026-02-05,1017.46,1017.46,1017.44,1017.46,3378,EQ,8,422.25,3001
2026-02-06,1018.13,1018.13,1017.79,1017.79,1066,EQ,6,177.67,1033
2026-02-09,1017.9,1017.92,1017.9,1017.9,18683,EQ,9,2075.89,13283
2026-02-10,1018.0,1018.02,1018.0,1018.02,4480,EQ,3,1493.33,3000
2026-02-11,1018.15,1018.15,1018.14,1018.15,2509,EQ,4,627.25,2509
2026-02-12,1018.27,1018.27,1018.26,1018.27,1586,EQ,8,198.25,1576
2026-02-13,1018.64,1018.64,1018.64,1018.64,1500,EQ,2,750.0,1500
2026-02-16,1018.79,1018.79,1018.77,1018.77,6060,EQ,7,865.71,6000
2026-02-17,1018.92,1018.92,1018.92,1018.92,3219,EQ,9,357.67,3219
2026-02-18,1019.18,1019.18,1019.18,1019.18,2800,EQ,5,560.0,2800
2026-02-19,1019.41,1019.41,1019.17,1019.17,2100,EQ,6,350.0,2069
2026-02-20,1019.58,1019.58,1019.57,1019.58,3110,EQ,4,777.5,3110
2026-02-23,1019.69,1019.71,1019.69,1019.69,37625,EQ,14,2687.5,31621
2026-02-24,1019.84,1019.84,1019.83,1019.84,2469,EQ,9,274.33,2388
2026-02-25,1019.97,1019.97,1019.97,1019.97,2002,EQ,4,500.5,2002
2026-02-26,1020.1,1020.1,1020.09,1020.09,2061,EQ,4,515.25,2061
2026-02-27,1020.48,1020.48,1020.48,1020.48,3060,EQ,2,1530.0,3060
2026-03-02,1020.73,1020.74,1020.73,1020.73,3381,EQ,7,483.0,3381
2026-03-04,1020.86,1020.88,1020.86,1020.88,8394,EQ,7,1199.14,7294
2026-03-05,1021.01,1021.01,1021.0,1021.01,2500,EQ,5,500.0,2423
2026-03-06,1021.4,1021.4,1021.38,1021.39,5917,EQ,9,657.44,4895
2026-03-09,1021.49,1021.51,1021.49,1021.51,1093,EQ,4,273.25,591
2026-03-10,1021.62,1021.63,1021.62,1021.63,1852,EQ,7,264.57,1852
2026-03-11,1021.77,1021.77,1021.75,1021.75,1362,EQ,7,194.57,1340
2026-03-12,1021.88,1021.88,1021.88,1021.88,1000,EQ,2,500.0,1000
2026-03-13,1022.27,1022.3,1022.27,1022.28,8523,EQ,10,852.3,8513
2026-03-16,1022.41,1022.44,1022.41,1022.43,1069,EQ,6,178.17,553
2026-03-17,1022.57,1022.57,1022.55,1022.55,1656,EQ,10,165.6,1651
2026-03-18,1028.0,1043.0,1022.84,1022.84,634,EQ,17,37.29,576
2026-03-19,1030.0,1030.0,1022.83,1022.83,860,EQ,13,66.15,801
2026-03-20,1025.0,1025.0,1023.25,1023.25,2117,EQ,11,192.45,1234
2026-03-23,1023.4,1023.42,1023.4,1023.4,582,EQ,6,97.0,580
2026-03-24,1023.56,1023.56,1023.55,1023.55,1048,EQ,3,349.33,1048
2026-03-25,1023.82,1023.84,1023.82,1023.84,8400,EQ,5,1680.0,7900
2026-03-27,1024.25,1024.27,1024.25,1024.27,1030,EQ,4,257.5,1030
2026-03-30,1024.79,1024.81,1024.79,1024.81,5362,EQ,9,595.78,5362
2026-04-01,1024.72,1024.74,1024.72,1024.74,392,EQ,6,65.33,305
2026-04-02,1025.32,1025.32,1025.3,1025.3,2614,EQ,9,290.44,2340
2026-04-06,1025.3,1025.42,1025.3,1025.41,726,EQ,9,80.67,724
2026-04-07,1025.56,1025.56,1025.54,1025.54,2553,EQ,12,212.75,2550
2026-04-08,1025.71,1025.71,1025.7,1025.7,1082,EQ,12,90.17,1030
2026-04-09,1025.85,1025.85,1025.85,1025.85,663,EQ,4,165.75,663
2026-04-10,1026.23,1026.26,1026.23,1026.26,20602,EQ,9,2289.11,20502
2026-04-13,1026.55,1026.56,1026.54,1026.55,3653,EQ,9,405.89,3524
