Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,41.5,45.65,41.5,45.6,1540016,EQ,5617,274.17,1154168
2026-04-21,46.35,46.4,43.35,43.35,1667132,EQ,4677,356.45,1172873
2026-04-22,41.2,41.95,41.2,41.2,386196,EQ,2447,157.82,327975
2026-04-23,39.6,43.25,39.25,40.95,1678644,EQ,6747,248.8,801503
2026-04-24,41.85,41.9,38.95,39.2,803426,EQ,4064,197.69,451369
2026-04-27,40.0,40.45,37.25,37.65,2088941,EQ,5220,400.18,1260865
2026-04-28,37.05,39.05,37.05,38.05,669029,EQ,3527,189.69,368356
2026-04-29,38.15,39.2,36.95,37.4,1258056,EQ,7020,179.21,713064
2026-04-30,38.25,38.25,36.2,36.9,799924,EQ,4175,191.6,454285
2026-05-04,37.79,37.79,36.25,37.03,675591,EQ,4662,144.91,334458
2026-05-05,37.68,37.68,36.3,36.58,415877,EQ,3542,117.41,254202
2026-05-06,36.01,37.13,36.01,36.48,650821,EQ,3950,164.76,357039
2026-05-07,37.15,37.15,36.1,36.36,654446,EQ,4563,143.42,374004
2026-05-08,36.19,38.17,36.16,36.79,2083043,EQ,7767,268.19,813129
