Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-18,217.0,227.71,207.0,219.4,36063490,EQ,308835.0,116.77,15455265.0
2025-11-19,220.69,241.34,220.25,236.28,34006914,EQ,231043.0,147.19,9813421.0
2025-11-20,236.0,237.69,222.0,232.63,8065061,EQ,65146.0,123.8,3098598.0
2025-11-21,229.5,239.26,224.62,232.81,4738179,EQ,79347.0,59.71,1657537.0
2025-11-24,229.0,230.12,214.0,217.09,4553487,EQ,96071.0,47.4,1719412.0
2025-11-25,216.5,224.4,208.61,214.77,3776850,EQ,40622.0,92.98,1564324.0
2025-11-26,214.77,215.0,210.0,210.63,2061951,EQ,42447.0,48.58,818292.0
2025-11-27,214.42,214.48,209.66,212.62,1249261,EQ,16732.0,74.66,481511.0
2025-11-28,216.1,223.8,213.5,217.26,3529972,EQ,50185.0,70.34,1189543.0
2025-12-01,220.29,222.4,215.3,218.88,1717549,EQ,32424.0,52.97,767328.0
2025-12-02,227.01,240.76,225.55,239.34,34596081,EQ,202019.0,171.25,6675422.0
2025-12-03,240.51,248.4,229.0,242.4,18275546,EQ,168849.0,108.24,2886722.0
2025-12-04,238.71,239.13,218.16,219.86,6258735,EQ,82554.0,75.81,1455749.0
2025-12-05,222.0,223.9,210.23,212.66,4977840,EQ,68754.0,72.4,937779.0
2025-12-08,212.8,214.6,197.4,202.61,8728197,EQ,86456.0,100.96,3168657.0
2025-12-09,204.5,205.8,194.81,201.68,2718353,EQ,32246.0,84.3,655863.0
2025-12-10,203.2,204.0,198.59,200.2,1097543,EQ,15937.0,68.87,411626.0
2025-12-11,201.8,201.8,190.71,200.07,2463622,EQ,29087.0,84.7,830740.0
2025-12-12,200.61,201.98,190.81,193.72,2240405,EQ,26996.0,82.99,1020649.0
2025-12-15,192.77,192.98,185.05,189.26,2334184,EQ,40535.0,57.58,1082553.0
2025-12-16,192.0,193.8,184.45,186.4,2232561,EQ,27983.0,79.78,803546.0
2025-12-17,186.0,186.37,176.24,177.63,2680002,EQ,44403.0,60.36,1019012.0
2025-12-18,177.63,178.01,171.51,172.93,1561455,EQ,25027.0,62.39,556349.0
2025-12-19,173.78,186.1,171.61,185.16,4573753,EQ,48555.0,94.2,1546035.0
2025-12-22,188.86,196.1,185.43,188.42,3028078,EQ,45017.0,67.27,722919.0
2025-12-23,188.42,188.42,183.6,184.81,692148,EQ,13809.0,50.12,272044.0
2025-12-24,184.29,191.0,182.15,188.42,1992519,EQ,31327.0,63.6,698399.0
