Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-13,35.99,40.0,35.99,36.23,67624,EQ,142.0,476.23,42603.0
2025-11-14,37.37,37.37,36.11,36.19,7915,EQ,111.0,71.31,6237.0
2025-11-17,36.43,36.5,36.33,36.48,15048,EQ,108.0,139.33,13073.0
2025-11-18,36.59,36.59,36.15,36.25,57201,EQ,85.0,672.95,38275.0
2025-11-19,36.23,36.26,36.05,36.15,999539,EQ,156.0,6407.3,988466.0
2025-11-20,36.02,36.4,36.02,36.22,8981,EQ,85.0,105.66,7872.0
2025-11-21,36.17,36.2,35.84,35.88,368543,EQ,137.0,2690.09,365158.0
2025-11-24,35.95,35.95,35.45,35.49,10453,EQ,137.0,76.3,7856.0
2025-11-25,35.49,35.55,35.32,35.39,6213,EQ,86.0,72.24,5644.0
2025-11-26,35.49,36.03,35.49,36.01,18911,EQ,51.0,370.8,16491.0
2025-11-27,36.11,36.11,35.69,35.79,789478,EQ,139.0,5679.7,780052.0
2025-11-28,35.67,35.73,35.57,35.6,14286,EQ,98.0,145.78,14005.0
2025-12-01,36.49,36.49,35.5,35.6,28704,EQ,126.0,227.81,23426.0
2025-12-02,35.78,35.78,35.39,35.41,17441,EQ,151.0,115.5,12297.0
2025-12-03,35.46,35.51,35.07,35.17,14660,EQ,132.0,111.06,14431.0
2025-12-04,35.09,35.25,34.96,35.02,12507,EQ,180.0,69.48,8745.0
2025-12-05,35.0,36.0,34.86,34.96,93791,EQ,155.0,605.1,86023.0
2025-12-08,35.66,35.66,34.36,34.48,55722,EQ,242.0,230.26,25764.0
2025-12-09,35.34,35.34,34.03,34.69,313181,EQ,121.0,2588.27,306378.0
2025-12-10,34.79,34.96,34.59,34.66,19584,EQ,105.0,186.51,18097.0
2025-12-11,35.33,35.33,34.48,34.75,13607,EQ,91.0,149.53,9681.0
2025-12-12,35.45,35.45,34.89,35.05,28559,EQ,112.0,254.99,24270.0
2025-12-15,35.22,35.22,34.75,35.07,71927,EQ,143.0,502.99,67765.0
2025-12-16,35.94,35.94,34.7,34.82,31842,EQ,149.0,213.7,29130.0
2025-12-17,34.83,34.93,34.7,34.78,12602,EQ,99.0,127.29,11798.0
2025-12-18,34.68,34.68,34.35,34.51,95682,EQ,224.0,427.15,75338.0
2025-12-19,34.58,34.86,34.5,34.83,172078,EQ,128.0,1344.36,170573.0
2025-12-22,35.71,36.5,34.91,35.12,91095,EQ,175.0,520.54,79721.0
2025-12-23,35.13,35.35,35.03,35.25,84455,EQ,176.0,479.86,78576.0
2025-12-24,35.42,35.5,35.11,35.13,275283,EQ,206.0,1336.33,222091.0
