Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-25,71.99,72.0,70.5,71.35,955,EQ,23,41.52,529
2026-05-26,70.48,73.27,70.42,71.58,6135,EQ,42,146.07,4540
2026-05-27,71.5,72.9,71.03,71.71,3836,EQ,41,93.56,2396
2026-05-29,71.71,73.7,71.22,71.41,1063,EQ,22,48.32,673
2026-06-01,72.97,72.97,69.6,69.84,1457,EQ,36,40.47,973
2026-06-02,69.81,70.97,69.2,69.86,2018,EQ,34,59.35,966
2026-06-03,69.75,70.29,69.41,70.03,1867,EQ,15,124.47,1867
2026-06-04,70.03,70.5,69.97,70.27,10313,EQ,8,1289.12,10100
2026-06-05,70.67,70.67,70.24,70.5,180,EQ,9,20.0,180
2026-06-08,70.5,70.5,69.0,69.29,2691,EQ,35,76.89,2180
2026-06-09,69.87,70.06,69.39,69.74,857,EQ,9,95.22,530
2026-06-10,69.6,69.85,69.31,69.32,6043,EQ,11,549.36,5836
2026-06-11,69.16,69.29,68.59,68.74,844,EQ,14,60.29,354
2026-06-12,69.41,70.47,68.8,69.81,1632,EQ,11,148.36,419
2026-06-15,70.97,71.79,70.84,71.66,1198,EQ,21,57.05,623
2026-06-16,71.66,71.66,71.37,71.48,752,EQ,3,250.67,752
2026-06-17,71.13,71.69,71.13,71.3,832,EQ,9,92.44,531
2026-06-18,70.95,71.65,70.66,71.1,832,EQ,10,83.2,682
2026-06-19,71.81,72.16,71.45,72.16,582,EQ,5,116.4,578
