Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-27,26.34,27.0,26.12,26.17,6494,EQ,38.0,170.89,5263.0
2025-11-28,26.71,26.72,26.1,26.28,5019,EQ,35.0,143.4,2543.0
2025-12-01,26.41,26.8,26.07,26.69,1032,EQ,35.0,29.49,767.0
2025-12-02,27.22,27.22,26.07,26.47,7619,EQ,84.0,90.7,2919.0
2025-12-03,26.59,27.0,26.46,26.92,3642,EQ,29.0,125.59,2288.0
2025-12-04,26.97,26.97,26.14,26.63,904,EQ,33.0,27.39,520.0
2025-12-05,26.76,26.79,26.25,26.48,1977,EQ,37.0,53.43,1444.0
2025-12-08,26.41,26.41,25.92,26.17,4823,EQ,46.0,104.85,4429.0
2025-12-09,25.65,26.7,25.65,26.5,1248,EQ,27.0,46.22,837.0
2025-12-10,26.7,26.7,26.24,26.51,1799,EQ,27.0,66.63,1132.0
2025-12-11,26.51,26.51,25.82,26.51,1510,EQ,31.0,48.71,1303.0
2025-12-12,26.51,26.77,26.24,26.53,1946,EQ,19.0,102.42,1139.0
2025-12-15,26.4,26.52,26.4,26.52,779,EQ,21.0,37.1,779.0
2025-12-16,25.98,26.11,25.85,25.91,45806,EQ,154.0,297.44,45705.0
2025-12-17,26.04,26.04,25.76,25.84,3217,EQ,37.0,86.95,3205.0
2025-12-18,25.77,25.91,25.75,25.76,954,EQ,21.0,45.43,954.0
2025-12-19,25.91,26.03,25.87,25.91,1686,EQ,23.0,73.3,1665.0
2025-12-22,26.45,26.45,26.06,26.09,4331,EQ,17.0,254.76,2212.0
2025-12-23,26.15,26.16,26.1,26.16,10110,EQ,20.0,505.5,10109.0
2025-12-24,26.16,26.24,26.06,26.11,517,EQ,23.0,22.48,510.0
2025-12-26,26.24,26.24,25.98,26.0,873,EQ,32.0,27.28,867.0
2025-12-29,26.07,26.07,25.86,25.99,17976,EQ,41.0,438.44,17821.0
2025-12-30,25.93,26.0,25.86,25.89,1463,EQ,22.0,66.5,1432.0
2025-12-31,26.11,26.13,25.93,26.08,66106,EQ,26.0,2542.54,66102.0
2026-01-01,26.22,26.22,26.08,26.09,888,EQ,16.0,55.5,777.0
2026-01-02,26.2,26.25,26.16,26.24,3794,EQ,22.0,172.45,3794.0
2026-01-05,26.24,26.36,26.18,26.21,4198,EQ,14.0,299.86,3243.0
2026-01-06,26.21,26.27,26.15,26.17,1895,EQ,17.0,111.47,1894.0
2026-01-07,26.08,26.17,26.02,26.12,4266,EQ,41.0,104.05,4265.0
2026-01-08,26.05,26.05,25.85,25.87,5820,EQ,33.0,176.36,5820.0
2026-01-09,25.85,25.9,25.61,25.67,4796,EQ,52.0,92.23,4778.0
2026-01-12,26.21,26.21,25.45,25.76,16792,EQ,51.0,329.25,12128.0
2026-01-13,25.78,25.78,25.57,25.67,3142,EQ,28.0,112.21,3138.0
2026-01-14,25.71,25.71,25.54,25.6,7044,EQ,23.0,306.26,6874.0
2026-01-16,25.6,25.83,25.6,25.64,4032,EQ,34.0,118.59,3837.0
2026-01-19,25.49,25.59,25.4,25.58,49198,EQ,45.0,1093.29,40476.0
2026-01-20,25.45,25.51,25.25,25.31,9285,EQ,44.0,211.02,6226.0
2026-01-21,25.26,25.35,24.97,25.11,42145,EQ,107.0,393.88,27378.0
2026-01-22,25.4,25.42,25.15,25.26,2650,EQ,31.0,85.48,1530.0
2026-01-23,25.15,25.35,25.0,25.13,3824,EQ,53.0,72.15,3129.0
2026-01-27,25.01,25.3,25.0,25.23,24513,EQ,38.0,645.08,16928.0
2026-01-28,25.35,25.41,25.16,25.29,3640,EQ,29.0,125.52,3607.0
2026-01-29,25.92,25.92,25.14,25.42,6713,EQ,20.0,335.65,6553.0
2026-01-30,25.3,25.47,25.28,25.44,853,EQ,28.0,30.46,849.0
2026-02-01,25.45,25.48,24.73,25.31,69337,EQ,81.0,856.01,7605.0
2026-02-02,24.87,25.23,24.76,25.19,6900,EQ,59.0,116.95,3430.0
2026-02-03,25.69,25.98,25.53,25.84,8363,EQ,31.0,269.77,8100.0
2026-02-04,25.72,25.88,25.67,25.83,5690,EQ,49,116.12,5397
2026-02-05,25.82,25.88,25.59,25.85,2089,EQ,37,56.46,254
