Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-10-01,183.85,197.7,183.85,190.66,10651072,EQ,88340.0,120.57,5320482.0
2025-10-03,189.99,196.9,188.05,194.25,2150705,EQ,16980.0,126.66,1250188.0
2025-10-06,195.0,199.0,184.31,186.01,1464721,EQ,14908.0,98.25,696843.0
2025-10-07,186.24,186.82,179.32,183.96,785050,EQ,15609.0,50.29,362363.0
2025-10-08,182.39,195.4,182.39,188.86,1057637,EQ,13448.0,78.65,392444.0
2025-10-09,188.28,195.75,186.38,191.7,954381,EQ,11880.0,80.34,386252.0
2025-10-10,192.67,199.7,190.8,193.75,2103239,EQ,23362.0,90.03,757898.0
2025-10-13,192.98,199.5,189.0,197.96,1029382,EQ,24354.0,42.27,518087.0
2025-10-14,199.5,202.0,196.3,200.39,1049408,EQ,16539.0,63.45,475884.0
2025-10-15,205.0,205.0,196.56,198.31,1065101,EQ,23819.0,44.72,523815.0
2025-10-16,200.0,201.64,197.52,200.17,386268,EQ,7090.0,54.48,228451.0
2025-10-17,200.17,203.5,199.5,200.0,440501,EQ,12899.0,34.15,227741.0
2025-10-20,201.0,202.95,198.0,200.23,334274,EQ,8183.0,40.85,170115.0
2025-10-21,202.0,204.5,201.16,203.44,302287,EQ,4976.0,60.75,237240.0
2025-10-23,227.0,244.12,215.74,232.07,27492547,EQ,187713.0,146.46,4809194.0
2025-10-24,239.01,278.0,237.65,268.57,78020660,EQ,498062.0,156.65,5008174.0
2025-10-27,275.0,280.0,255.3,272.03,30168256,EQ,231184.0,130.49,3305325.0
2025-10-28,280.49,282.77,247.83,251.97,22455802,EQ,185770.0,120.88,4142590.0
2025-10-29,254.0,272.31,253.52,268.75,23217328,EQ,144719.0,160.43,2522286.0
2025-10-30,264.0,266.96,258.5,264.73,4158754,EQ,30351.0,137.02,641608.0
2025-10-31,264.0,264.0,256.0,258.62,2246207,EQ,17956.0,125.1,520113.0
2025-11-03,257.4,302.0,250.3,295.6,22719839,EQ,160888.0,141.22,2923791.0
2025-11-04,291.0,305.0,282.2,301.45,21651145,EQ,143063.0,151.34,2506672.0
2025-11-06,299.2,332.0,293.0,326.35,41098507,EQ,279908.0,146.83,3745523.0
2025-11-07,321.6,344.0,316.85,327.95,37005645,EQ,278305.0,132.97,3875226.0
2025-11-10,325.0,338.0,318.05,330.05,19427277,EQ,141821.0,136.98,1872306.0
2025-11-11,331.65,334.0,306.45,317.9,9941992,EQ,79462.0,125.12,1578581.0
2025-11-12,317.75,324.45,308.1,310.55,6913865,EQ,51904.0,133.2,1123841.0
2025-11-13,314.6,320.8,312.65,317.25,3621071,EQ,26808.0,135.07,859427.0
2025-11-14,317.2,329.2,312.4,327.55,4716828,EQ,38200.0,123.48,1199237.0
2025-11-17,335.85,335.85,322.3,328.6,2970862,EQ,26581.0,111.77,618262.0
2025-11-18,330.0,331.5,323.65,329.35,1961098,EQ,17376.0,112.86,614410.0
2025-11-19,332.0,337.95,297.35,308.15,4700469,EQ,44303.0,106.1,1238815.0
2025-11-20,312.3,337.8,312.25,323.65,7450018,EQ,60183.0,123.79,1208538.0
2025-11-21,324.0,324.7,305.65,309.5,2291819,EQ,23475.0,97.63,589111.0
2025-11-24,313.8,314.9,302.0,304.8,2588114,EQ,27203.0,95.14,507598.0
