Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-27,86.65,88.05,85.47,87.59,1801,EQ,26.0,69.27,1731.0
2025-11-28,87.59,87.59,86.08,86.39,2028,EQ,45.0,45.07,2025.0
2025-12-01,87.0,87.0,85.1,86.07,1340,EQ,39.0,34.36,834.0
2025-12-02,86.74,86.74,85.76,86.39,606,EQ,8.0,75.75,605.0
2025-12-03,86.06,86.11,85.49,85.63,1236,EQ,10.0,123.6,1236.0
2025-12-04,85.48,86.0,85.0,85.29,398,EQ,22.0,18.09,259.0
2025-12-05,85.31,86.48,85.31,86.34,169,EQ,4.0,42.25,169.0
2025-12-08,85.29,85.89,85.27,85.29,777,EQ,12.0,64.75,649.0
2025-12-09,85.3,85.42,84.0,85.36,403,EQ,18.0,22.39,378.0
2025-12-10,85.42,85.42,83.62,84.66,111,EQ,19.0,5.84,70.0
2025-12-11,84.81,85.32,83.93,84.97,1375,EQ,14.0,98.21,604.0
2025-12-12,85.2,85.63,84.75,85.42,261,EQ,20.0,13.05,213.0
2025-12-15,85.84,85.84,84.1,85.55,523,EQ,16.0,32.69,466.0
2025-12-16,84.89,85.02,84.44,84.89,904,EQ,18.0,50.22,886.0
2025-12-17,84.88,84.88,84.45,84.61,129,EQ,5.0,25.8,128.0
2025-12-18,84.6,84.79,84.25,84.44,117,EQ,11.0,10.64,114.0
2025-12-19,84.02,85.22,84.02,84.6,303,EQ,8.0,37.88,253.0
2025-12-22,85.13,85.7,85.13,85.7,10090,EQ,12.0,840.83,9055.0
2025-12-23,85.28,85.55,85.22,85.22,307,EQ,11.0,27.91,227.0
2025-12-24,85.4,85.48,85.4,85.4,139,EQ,4.0,34.75,139.0
2025-12-26,86.9,86.9,85.1,85.13,474,EQ,14.0,33.86,421.0
2025-12-29,84.11,85.1,84.11,84.83,1846,EQ,14.0,131.86,1736.0
2025-12-30,84.78,84.94,84.67,84.67,1721,EQ,6.0,286.83,1721.0
2025-12-31,84.61,85.26,84.59,84.94,358,EQ,9.0,39.78,357.0
2026-01-01,85.34,85.34,84.91,85.07,247,EQ,7.0,35.29,247.0
2026-01-02,85.5,85.73,85.42,85.73,576,EQ,8.0,72.0,561.0
2026-01-05,85.7,85.7,85.45,85.54,1977,EQ,10.0,197.7,1760.0
