Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-19,110.0,115.5,104.5,115.5,2617600,ST,912,2870.18,2614400
2025-12-22,111.0,120.9,109.75,119.5,387200,ST,213,1817.84,361600
2025-12-23,117.1,125.45,117.0,125.45,180800,ST,85,2127.06,172800
2025-12-24,131.0,131.7,130.0,131.7,393600,ST,101,3897.03,328000
2025-12-26,133.05,138.25,133.05,138.25,110400,ST,52,2123.08,108800
2025-12-29,145.15,145.15,136.0,144.2,240000,ST,116,2068.97,196800
2025-12-30,137.0,148.3,137.0,144.5,192000,ST,110,1745.45,182400
2025-12-31,145.0,147.4,140.5,145.5,62400,ST,36,1733.33,62400
2026-01-01,140.05,152.75,140.05,152.75,59200,ST,33,1793.94,49600
2026-01-02,160.35,160.35,160.3,160.35,228800,ST,52,4400.0,228800
2026-01-05,168.0,183.5,168.0,177.65,422400,SM,188,2246.81,340800
2026-01-06,193.75,213.15,181.0,213.15,318400,SM,174,1829.89,158400
2026-01-07,245.0,255.75,220.0,255.75,545600,SM,318,1715.72,257600
2026-01-08,243.0,268.5,243.0,268.5,200000,ST,115,1739.13,160000
2026-01-09,281.9,281.9,265.1,270.05,84800,ST,53,1600.0,80000
2026-01-12,264.0,264.0,256.55,258.6,86400,ST,48,1800.0,83200
2026-01-13,250.0,250.0,245.7,245.7,20800,ST,13,1600.0,20800
2026-01-14,233.45,245.0,233.45,233.75,83200,ST,38,2189.47,78400
2026-01-16,233.7,233.7,222.1,229.8,46400,ST,27,1718.52,43200
2026-01-19,229.8,229.8,218.35,218.35,17600,ST,10,1760.0,17600
2026-01-20,207.45,207.45,207.45,207.45,4800,ST,3,1600.0,4800
2026-01-21,197.1,197.1,197.1,197.1,4800,ST,3,1600.0,4800
2026-01-22,187.25,187.25,187.25,187.25,6400,ST,3,2133.33,6400
2026-01-23,178.0,196.6,177.9,196.6,46400,ST,24,1933.33,41600
2026-01-27,206.0,206.4,206.0,206.4,8000,ST,5,1600.0,8000
2026-01-28,216.7,216.7,216.7,216.7,4800,ST,3,1600.0,4800
2026-01-29,227.5,227.5,227.5,227.5,4800,ST,3,1600.0,4800
2026-01-30,238.85,238.85,216.15,225.05,81600,ST,50,1632.0,73600
2026-02-01,213.8,215.0,213.8,213.8,40000,ST,14,2857.14,40000
2026-02-04,209.55,209.55,209.55,209.55,1600,ST,1,1600.0,1600
2026-02-05,205.4,205.4,205.4,205.4,1600,ST,1,1600.0,1600
2026-02-06,201.3,201.3,201.3,201.3,3200,ST,2,1600.0,3200
2026-02-09,197.3,197.3,197.3,197.3,1600,ST,1,1600.0,1600
2026-02-10,193.4,193.4,193.4,193.4,9600,ST,6,1600.0,9600
2026-02-11,189.55,189.55,189.55,189.55,1600,ST,1,1600.0,1600
2026-02-12,185.8,185.8,185.8,185.8,1600,ST,1,1600.0,1600
2026-02-13,182.1,182.1,182.1,182.1,12800,ST,8,1600.0,12800
2026-02-16,178.5,185.7,178.5,185.7,59200,ST,33,1793.94,59200
2026-02-17,187.85,187.85,182.0,182.0,17600,ST,10,1760.0,16000
2026-02-18,178.4,178.4,178.4,178.4,561600,ST,12,46800.0,560000
2026-02-19,174.85,174.85,174.85,174.85,6400,ST,4,1600.0,6400
2026-02-20,171.4,171.45,171.4,171.45,145600,ST,8,18200.0,145600
2026-02-23,168.1,168.1,168.1,168.1,19200,ST,4,4800.0,19200
2026-02-24,164.75,164.75,164.75,164.75,11200,ST,7,1600.0,11200
2026-02-25,161.5,161.5,161.5,161.5,17600,ST,11,1600.0,17600
2026-02-26,158.3,164.0,158.3,163.5,19200,ST,9,2133.33,19200
2026-02-27,165.0,165.0,160.25,160.25,16000,ST,9,1777.78,14400
2026-03-02,157.05,157.05,157.05,157.05,4800,ST,3,1600.0,4800
2026-03-04,153.95,153.95,153.95,153.95,3200,ST,2,1600.0,3200
2026-03-05,150.9,151.0,150.9,150.9,6400,ST,4,1600.0,6400
2026-03-06,147.9,148.2,147.9,148.2,14400,ST,8,1800.0,14400
2026-03-09,141.0,152.0,140.8,150.0,17600,ST,11,1600.0,17600
2026-03-10,145.0,157.5,145.0,153.25,70400,ST,24,2933.33,68800
2026-03-11,155.0,160.85,153.0,160.85,19200,ST,10,1920.0,19200
2026-03-12,167.95,168.8,167.5,168.8,8000,ST,5,1600.0,8000
2026-03-13,168.8,168.8,163.25,163.25,6400,ST,4,1600.0,6400
2026-03-16,159.25,159.25,155.1,155.1,16000,ST,10,1600.0,16000
2026-03-17,148.0,148.0,148.0,148.0,1600,ST,1,1600.0,1600
2026-03-18,147.0,147.0,140.6,140.65,9600,ST,6,1600.0,9600
2026-03-19,134.0,134.0,133.65,133.65,12800,ST,8,1600.0,11200
2026-03-20,127.0,140.3,127.0,137.65,196800,ST,14,14057.14,193600
2026-03-23,137.0,141.0,130.9,140.5,17600,ST,9,1955.56,16000
2026-03-24,140.5,140.5,134.0,134.25,30400,ST,13,2338.46,30400
2026-03-25,134.0,140.0,132.0,135.0,11200,ST,7,1600.0,11200
2026-03-27,141.75,141.75,130.0,132.15,32000,ST,9,3555.56,32000
2026-03-30,127.0,134.95,127.0,129.65,32000,ST,8,4000.0,32000
2026-04-01,123.2,136.1,123.2,136.1,3200,ST,2,1600.0,3200
2026-04-02,142.9,142.9,142.8,142.8,19200,ST,12,1600.0,19200
2026-04-06,149.0,149.9,140.1,145.0,27200,ST,17,1600.0,24000
2026-04-07,151.65,152.25,137.75,140.7,880000,ST,89,9887.64,852800
2026-04-08,140.0,147.7,136.0,147.5,36800,ST,20,1840.0,36800
2026-04-09,150.0,150.0,150.0,150.0,1600,ST,1,1600.0,1600
2026-04-10,154.95,156.95,150.0,156.95,8000,ST,5,1600.0,8000
2026-04-13,149.5,165.0,145.0,153.25,59200,SM,34,1741.18,38400
2026-04-15,150.25,159.85,147.55,149.15,52800,SM,30,1760.0,33600
2026-04-16,149.55,150.0,146.0,148.0,33600,SM,14,2400.0,25600
2026-04-17,147.0,149.25,145.0,146.1,35200,SM,11,3200.0,32000
