Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-24,120.8,120.8,114.8,114.8,207200,ST,147,1409.52,207200
2026-08-25,109.1,109.1,109.1,109.1,184800,ST,115,1606.96,184800
2026-08-26,103.65,106.65,103.65,103.65,723200,ST,489,1478.94,717600
2026-08-27,98.5,98.5,98.5,98.5,29600,ST,25,1184.0,29600
2026-08-28,94.0,94.0,93.6,93.6,209600,ST,39,5374.36,209600
2026-08-31,88.95,88.95,88.95,88.95,10400,ST,8,1300.0,10400
2026-09-01,84.55,84.55,84.55,84.55,6400,ST,7,914.29,6400
2026-09-02,80.35,80.35,80.35,80.35,5600,ST,6,933.33,5600
2026-09-03,76.35,76.35,76.35,76.35,7200,ST,9,800.0,7200
2026-09-04,72.55,72.55,72.55,72.55,13600,ST,16,850.0,13600
2026-09-07,65.3,65.3,65.3,65.3,342400,SM,121,2829.75,342400
2026-09-08,58.8,70.0,58.8,58.8,1150400,SM,779,1476.77,597600
2026-09-09,55.5,58.0,53.25,54.4,129600,SM,159,815.09,98400
2026-09-10,56.25,57.1,55.4,55.9,212000,SM,184,1152.17,136800
