Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,310.05,319.95,310.0,318.4,1894,EQ,73,25.95,1632
2026-04-21,316.95,330.0,308.0,315.75,5528,EQ,181,30.54,4850
2026-04-22,316.3,319.95,314.55,314.75,12911,EQ,229,56.38,7125
2026-04-23,315.3,325.1,308.15,322.35,17397,EQ,448,38.83,11276
2026-04-24,326.0,327.6,314.0,318.4,5355,EQ,268,19.98,3194
2026-04-27,323.45,324.0,308.0,313.7,6698,EQ,440,15.22,4272
2026-04-28,315.25,318.7,311.0,312.8,3571,EQ,258,13.84,2151
2026-04-29,314.75,322.2,310.0,312.2,4048,EQ,307,13.19,2306
2026-04-30,309.95,315.0,309.35,311.05,2342,EQ,162,14.46,1506
2026-05-04,314.95,314.95,248.85,297.65,21202,EQ,1024,20.71,11710
2026-05-05,311.0,311.0,294.7,297.25,12671,EQ,410,30.9,10254
2026-05-06,299.1,304.35,299.1,301.25,6097,EQ,295,20.67,4512
2026-05-07,301.55,305.3,299.0,300.35,8349,EQ,299,27.92,6754
2026-05-08,300.6,302.95,285.0,288.65,17413,EQ,940,18.52,10136
2026-05-11,288.0,290.0,278.5,281.0,16613,EQ,794,20.92,10506
2026-05-12,280.1,290.6,279.0,286.2,18820,EQ,760,24.76,14158
2026-05-13,287.7,287.7,282.1,285.45,6246,EQ,326,19.16,4131
2026-05-14,283.9,292.2,283.9,291.5,8653,EQ,297,29.13,4609
2026-05-15,288.9,298.8,288.9,292.65,5115,EQ,200,25.58,3103
2026-05-18,295.1,295.1,285.1,286.6,10399,EQ,320,32.5,8331
2026-05-19,289.85,297.6,288.1,294.15,6094,EQ,341,17.87,4269
2026-05-20,294.0,309.0,289.1,306.35,22029,EQ,633,34.8,18717
2026-05-21,314.85,314.85,301.0,306.2,10654,EQ,380,28.04,8478
2026-05-22,306.5,308.8,301.0,301.45,5726,EQ,368,15.56,3732
2026-05-25,312.0,312.0,296.3,304.35,13355,EQ,434,30.77,10464
2026-05-26,305.85,312.0,285.0,287.65,49328,EQ,1226,40.23,39749
2026-05-27,287.0,295.95,286.25,294.6,15160,EQ,737,20.57,9617
2026-05-29,299.95,300.05,292.2,295.7,11098,EQ,388,28.6,7517
2026-06-01,297.15,308.15,293.8,301.1,64915,EQ,1065,60.95,53251
2026-06-02,303.3,318.0,302.75,312.35,39028,EQ,1246,31.32,28064
2026-06-03,320.0,320.0,305.0,316.75,26262,EQ,1076,24.41,20956
2026-06-04,319.0,322.0,312.15,319.9,9810,EQ,513,19.12,8109
2026-06-05,315.4,345.0,315.4,335.15,75882,EQ,2514,30.18,40034
2026-06-08,335.15,356.85,330.05,343.85,186627,EQ,4348,42.92,80667
2026-06-09,349.0,350.0,331.5,341.5,96613,EQ,2685,35.98,63415
2026-06-10,344.0,347.55,321.25,327.95,46107,EQ,1381,33.39,19778
2026-06-11,323.05,337.8,321.05,330.05,27026,EQ,810,33.37,14644
2026-06-12,335.0,340.8,332.0,338.35,28639,EQ,884,32.4,12689
