Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-22,50.38,50.45,50.18,50.25,8316,EQ,47,176.94,6699
2026-05-25,50.63,50.67,50.16,50.3,14732,EQ,102,144.43,12928
2026-05-26,50.3,50.34,50.0,50.32,3010,EQ,30,100.33,2692
2026-05-27,50.39,50.39,50.07,50.2,1094,EQ,17,64.35,744
2026-05-29,50.05,50.1,49.36,49.48,4996,EQ,60,83.27,3151
2026-06-01,49.62,49.62,48.25,48.3,9866,EQ,102,96.73,8366
2026-06-02,48.11,48.78,48.0,48.74,15341,EQ,48,319.6,9129
2026-06-03,48.52,48.54,47.95,48.14,64062,EQ,112,571.98,40404
2026-06-04,48.31,48.61,48.13,48.33,11342,EQ,30,378.07,10223
2026-06-05,48.33,48.38,48.06,48.26,1299,EQ,25,51.96,940
2026-06-08,47.95,48.49,47.87,48.05,2314,EQ,35,66.11,1406
2026-06-09,48.37,48.6,48.2,48.4,10589,EQ,29,365.14,9869
2026-06-10,49.29,49.45,48.03,48.27,12914,EQ,64,201.78,5853
2026-06-11,48.68,48.93,48.38,48.39,3613,EQ,37,97.65,3106
2026-06-12,48.96,48.97,48.62,48.89,1653,EQ,19,87.0,918
2026-06-15,51.09,51.09,49.05,49.12,8592,EQ,34,252.71,1588
2026-06-16,49.44,49.77,49.22,49.71,30710,EQ,40,767.75,23622
2026-06-17,49.78,49.95,49.43,49.67,6453,EQ,45,143.4,3450
2026-06-18,49.91,49.91,49.59,49.77,5718,EQ,46,124.3,3224
2026-06-19,49.54,49.75,49.25,49.55,4052,EQ,37,109.51,3182
2026-06-22,49.79,49.79,49.33,49.47,7426,EQ,35,212.17,3984
2026-06-23,50.38,50.38,49.1,49.22,28319,EQ,45,629.31,17486
2026-06-24,49.3,49.37,49.16,49.29,3659,EQ,19,192.58,3550
2026-06-25,49.41,49.7,49.35,49.65,15405,EQ,28,550.18,14949
