Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-16,876.0,897.3,831.3,847.15,6818588,EQ,185867,36.69,3909649
2026-02-17,830.0,921.0,830.0,888.25,5830776,EQ,122935,47.43,1484488
2026-02-18,894.0,915.0,862.65,869.95,1707290,EQ,48869,34.94,426318
2026-02-19,870.7,904.4,870.0,877.9,1200158,EQ,34416,34.87,271013
2026-02-20,877.0,883.7,851.25,858.95,674793,EQ,22885,29.49,225153
2026-02-23,873.0,873.95,833.25,840.0,734726,EQ,24768,29.66,230393
2026-02-24,836.95,852.0,824.5,831.85,829553,EQ,25026,33.15,314580
2026-02-25,833.0,844.45,802.35,808.65,815905,EQ,44084,18.51,305916
2026-02-26,815.0,825.95,804.0,811.7,346336,EQ,12810,27.04,133753
2026-02-27,813.0,820.0,767.0,778.5,640456,EQ,27559,23.24,292680
2026-03-02,733.7,774.65,733.7,751.5,725782,EQ,23133,31.37,358503
2026-03-04,735.0,792.0,734.1,786.3,910252,EQ,33293,27.34,279373
2026-03-05,796.2,798.0,746.15,759.15,426794,EQ,22706,18.8,144318
2026-03-06,780.0,826.0,771.05,798.4,3121482,EQ,115584,27.01,556127
2026-03-09,783.0,792.0,766.05,776.3,705553,EQ,30098,23.44,314824
2026-03-10,790.0,852.0,789.55,843.2,1126178,EQ,31096,36.22,560727
2026-03-11,843.2,862.4,833.3,842.65,679391,EQ,28690,23.68,299902
2026-03-12,834.95,860.0,833.75,847.1,658941,EQ,32151,20.5,256633
2026-03-13,850.0,850.0,792.45,796.05,468624,EQ,18222,25.72,245231
2026-03-16,757.55,787.7,754.0,764.8,343711,EQ,19148,17.95,143466
2026-03-17,771.0,799.9,765.2,796.3,380121,EQ,22400,16.97,139196
2026-03-18,799.05,824.8,799.0,806.15,374371,EQ,12448,30.07,187819
2026-03-19,799.0,805.0,790.05,794.75,127126,EQ,9279,13.7,59727
2026-03-20,804.8,829.8,803.05,823.1,331703,EQ,13411,24.73,164691
2026-03-23,808.0,815.0,776.1,800.9,223676,EQ,11961,18.7,92065
2026-03-24,829.0,829.0,790.0,821.05,293856,EQ,16790,17.5,134454
2026-03-25,813.25,845.0,813.25,823.65,488390,EQ,25708,19.0,174926
2026-03-27,815.1,815.1,787.0,792.55,264646,EQ,15793,16.76,127665
2026-03-30,782.0,786.9,743.35,759.45,317632,EQ,17880,17.76,148566
2026-04-01,793.0,806.05,779.55,798.05,191856,EQ,12884,14.89,77514
2026-04-02,782.5,802.75,775.0,792.65,151304,EQ,8663,17.47,53865
2026-04-06,798.6,798.6,781.2,790.2,201267,EQ,12459,16.15,69813
2026-04-07,782.1,809.9,782.1,794.15,140646,EQ,8743,16.09,47974
2026-04-08,811.0,824.0,801.1,814.3,370613,EQ,22408,16.54,164527
2026-04-09,815.0,838.5,813.1,821.8,312637,EQ,15155,20.63,153681
2026-04-10,824.95,834.8,812.5,829.2,370372,EQ,13376,27.69,235343
2026-04-13,820.0,858.8,808.8,849.6,812221,EQ,32111,25.29,342121
2026-04-15,860.1,879.9,850.0,873.95,623360,EQ,22988,27.12,286514
2026-04-16,883.4,892.0,870.05,874.75,330504,EQ,20771,15.91,167820
2026-04-17,880.0,903.0,872.15,878.7,542435,EQ,18074,30.01,280411
2026-04-20,882.95,882.95,835.05,841.6,358725,EQ,20346,17.63,168111
2026-04-21,849.85,918.0,848.85,892.65,1733290,EQ,53812,32.21,507667
2026-04-22,892.7,929.8,887.6,905.3,1046145,EQ,35621,29.37,403422
2026-04-23,901.0,984.85,895.65,960.75,2887978,EQ,101506,28.45,956505
2026-04-24,969.75,986.0,939.25,947.45,1312519,EQ,43011,30.52,488471
2026-04-27,942.0,1004.4,942.0,972.25,1044232,EQ,37725,27.68,397312
2026-04-28,972.25,1007.05,963.9,978.5,788641,EQ,39548,19.94,305300
