Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,1542.85,1549.85,1460.0,1513.35,9427,EQ,742,12.7,6184
2026-04-21,1486.8,1537.95,1486.8,1493.95,4751,EQ,554,8.58,2919
2026-04-22,1486.8,1527.45,1452.65,1487.35,18921,EQ,1647,11.49,10323
2026-04-23,1465.05,1509.8,1461.6,1475.85,10634,EQ,1238,8.59,5857
2026-04-24,1494.95,1494.95,1443.3,1466.25,9434,EQ,969,9.74,5902
2026-04-27,1481.95,1492.0,1465.0,1468.7,7152,EQ,849,8.42,4249
2026-04-28,1476.0,1487.0,1450.5,1457.4,3669,EQ,708,5.18,2403
2026-04-29,1474.65,1474.65,1424.95,1446.1,13020,EQ,1422,9.16,8868
2026-04-30,1463.0,1463.0,1415.0,1424.45,4821,EQ,868,5.55,2756
2026-05-04,1457.8,1467.7,1400.0,1413.2,9087,EQ,1545,5.88,5460
2026-05-05,1415.0,1559.8,1402.6,1527.8,24573,EQ,2637,9.32,12124
2026-05-06,1550.2,1727.8,1550.2,1658.2,77068,EQ,8103,9.51,36598
2026-05-07,1669.0,1686.5,1570.9,1581.4,23655,EQ,2702,8.75,14086
2026-05-08,1581.4,1869.0,1581.4,1740.4,126500,EQ,12695,9.96,51297
2026-05-11,1736.9,1828.9,1700.0,1796.6,46001,EQ,6241,7.37,20008
2026-05-12,1796.6,1805.7,1599.2,1636.2,42455,EQ,4840,8.77,20145
2026-05-13,1636.2,1697.0,1632.5,1665.0,17138,EQ,2464,6.96,9109
2026-05-14,1660.1,1696.9,1600.0,1668.6,15151,EQ,2128,7.12,8351
2026-05-15,1668.6,1668.6,1553.0,1573.9,16479,EQ,2263,7.28,10138
2026-05-18,1550.0,1550.0,1426.2,1488.0,20611,EQ,3597,5.73,11663
2026-05-19,1507.9,1694.0,1495.0,1613.7,28359,EQ,3640,7.79,7832
2026-05-20,1624.8,1688.0,1584.1,1654.2,12891,EQ,1768,7.29,7317
2026-05-21,1659.9,1740.0,1635.3,1659.9,17579,EQ,2508,7.01,9284
2026-05-22,1668.5,1696.0,1557.5,1590.2,26624,EQ,3760,7.08,12851
2026-05-25,1630.0,1689.0,1602.1,1627.1,17867,EQ,2338,7.64,8680
2026-05-26,1642.0,1665.6,1580.0,1593.6,14720,EQ,1974,7.46,8355
2026-05-27,1617.5,1680.0,1588.5,1665.8,25260,EQ,3307,7.64,12215
2026-05-29,1600.0,1748.0,1565.0,1584.0,105637,EQ,10563,10.0,50842
2026-06-01,1607.7,1637.8,1500.4,1515.1,51892,EQ,5747,9.03,24268
2026-06-02,1516.0,1570.0,1507.7,1530.5,15151,EQ,2406,6.3,8543
2026-06-03,1545.0,1566.8,1482.0,1508.0,31259,EQ,4420,7.07,19580
2026-06-04,1508.4,1546.8,1480.5,1489.7,31972,EQ,4494,7.11,17245
2026-06-05,1514.9,1525.0,1490.0,1502.7,12011,EQ,1690,7.11,7371
2026-06-08,1502.7,1516.3,1430.3,1449.2,28560,EQ,3107,9.19,17487
2026-06-09,1468.0,1522.5,1468.0,1484.3,13794,EQ,1762,7.83,6843
2026-06-10,1484.0,1498.8,1455.0,1476.8,20615,EQ,2277,9.05,13051
2026-06-11,1489.0,1489.0,1395.0,1406.4,26697,EQ,4065,6.57,17331
2026-06-12,1439.7,1505.4,1416.7,1478.8,21546,EQ,3352,6.43,10352
