Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-26,185.0,191.65,165.4,168.67,64773158,EQ,415891,155.75,22150447
2026-08-27,172.0,173.94,164.1,165.13,7060479,EQ,49449,142.78,1987229
2026-08-28,165.13,170.4,156.91,158.66,5358385,EQ,46651,114.86,1457792
2026-08-31,157.91,158.66,149.55,150.97,3306446,EQ,24227,136.48,1431755
2026-09-01,152.5,164.4,149.51,161.79,6737896,EQ,52982,127.17,1237206
2026-09-02,159.75,164.7,158.1,163.83,2433047,EQ,24912,97.67,723943
2026-09-03,164.4,164.4,156.51,157.62,1287005,EQ,12816,100.42,401701
2026-09-04,158.0,162.01,157.51,161.1,1327301,EQ,15002,88.47,377772
2026-09-07,161.75,161.99,154.2,155.42,1078393,EQ,9214,117.04,535137
2026-09-08,156.9,157.2,152.54,153.64,555867,EQ,6358,87.43,205683
2026-09-09,153.65,160.0,152.61,158.69,1067431,EQ,11878,89.87,336773
2026-09-10,160.24,163.9,153.25,155.33,1928025,EQ,27727,69.54,547222
