Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-27,83.0,87.15,79.5,80.26,8849112,BE,30060,294.38,8849112
2026-03-02,78.1,84.05,76.25,82.72,1805882,BE,10811,167.04,1805882
2026-03-04,80.21,82.15,78.59,80.78,628028,BE,7490,83.85,628028
2026-03-05,80.01,81.94,79.0,79.8,356202,BE,4365,81.6,356202
2026-03-06,78.01,79.88,75.81,75.81,327687,BE,3631,90.25,327687
2026-03-09,72.02,76.0,72.02,73.59,450903,BE,2469,182.63,450903
2026-03-10,74.9,77.26,72.49,77.26,238396,BE,992,240.32,238396
2026-03-11,81.12,81.12,80.0,81.09,507232,BE,1830,277.18,507232
2026-03-12,79.1,83.0,77.77,80.87,317932,BE,2247,141.49,317932
2026-03-13,82.49,83.0,78.4,80.97,330262,BE,1324,249.44,330262
2026-03-16,81.3,82.9,76.0,81.57,757933,EQ,4819,157.28,320440
2026-03-17,80.29,88.0,79.22,85.0,1758210,EQ,10684,164.56,788863
2026-03-18,85.25,99.75,85.25,94.78,2646464,EQ,16333,162.03,1076108
2026-03-19,82.51,85.79,78.5,80.55,3452698,EQ,22690,152.17,1193828
2026-03-20,82.7,82.99,76.01,77.04,731455,EQ,6423,113.88,356821
2026-03-23,77.0,77.38,69.18,70.67,628770,EQ,6462,97.3,343876
2026-03-24,72.4,79.54,71.46,78.1,727663,EQ,6374,114.16,340574
2026-03-25,79.99,81.75,78.03,78.84,365435,EQ,3304,110.6,187064
2026-03-27,78.5,78.5,74.0,75.41,265194,EQ,2843,93.28,143804
2026-03-30,73.81,74.89,71.0,71.53,424067,EQ,3011,140.84,303053
2026-04-01,73.69,79.73,73.69,78.8,504208,EQ,3604,139.9,284104
2026-04-02,77.0,81.5,72.73,76.51,816921,EQ,3945,207.08,274356
2026-04-06,77.99,80.24,75.05,79.3,760756,EQ,4287,177.46,321018
2026-04-07,78.51,79.5,76.95,78.72,472780,EQ,2648,178.54,220439
2026-04-08,80.0,82.5,79.0,79.22,1048310,EQ,4695,223.28,570672
2026-04-09,79.0,94.0,78.0,89.17,6001239,EQ,30806,194.81,1956316
2026-04-10,90.79,99.8,88.68,95.13,5427074,EQ,27938,194.25,1521012
2026-04-13,93.21,104.0,91.52,96.23,4506310,EQ,25516,176.61,1355028
2026-04-15,98.19,101.2,96.71,98.73,2101806,EQ,9461,222.15,912593
2026-04-16,99.94,106.8,96.42,104.12,3279474,EQ,16995,192.97,1100165
2026-04-17,105.99,108.0,96.1,96.91,2437045,EQ,14777,164.92,1006595
2026-04-20,97.4,98.88,92.9,95.94,895480,EQ,5686,157.49,367521
2026-04-21,97.5,105.0,96.51,103.24,2613511,EQ,11843,220.68,1046716
2026-04-22,104.85,119.7,104.0,117.59,7023005,EQ,38069,184.48,1557132
2026-04-23,117.59,128.8,116.03,125.47,4714110,EQ,27293,172.72,1047518
2026-04-24,127.99,133.0,118.25,124.39,2403785,EQ,17806,135.0,652603
2026-04-27,127.48,129.6,123.1,128.17,1150597,EQ,10836,106.18,493940
2026-04-28,128.45,128.95,121.77,121.77,295776,BE,1827,161.89,295776
2026-04-29,117.0,117.0,115.69,115.69,112702,BE,986,114.3,112702
2026-04-30,109.91,121.47,109.91,121.47,466216,BE,2287,203.85,466216
